ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,load
-0.084833465,0.336391019,0.727666212,0.284860868,0.157216464,0.150550507,0.299531137,0.145582554,-0.02687689,0.055283177,0.000155007,-0.111373271,0.082754379,0.028477747,-0.023124218,5.5
-0.04684581,0.289916008,0.538304286,0.174659465,0.194968393,0.062329664,0.227171512,0.090608585,0.020410255,0.020336849,-0.002327825,-0.095761101,0.071227969,0.015773518,-0.012424606,5.5
-0.047517444,0.263149648,0.574644113,0.1879187,0.198232181,0.091427151,0.166249232,0.101292464,0.029889443,0.016017299,-0.003360379,-0.094898074,0.071988991,0.014139177,-0.015783972,5.5
-0.043621638,0.259776579,0.472856724,0.145080421,0.184821686,0.00089835,0.089451578,0.08360267,0.053788657,-0.008041689,-0.007051755,-0.088583368,0.062829679,0.00952345,-0.006106891,5.5
-0.052820776,0.249012952,0.505146973,0.149475082,0.212153445,0.056851092,0.121410378,0.111415934,0.107618146,-0.001523583,-0.003576686,-0.089234382,0.066248826,0.011461602,-0.010132042,5.5
-0.060427219,0.250349243,0.539358774,0.167389833,0.214495372,0.004511985,0.100318978,-0.006450099,0.139957405,0.005933979,-0.006324248,-0.07913713,0.065443584,0.011380593,-0.006779356,5.5
-0.054849492,0.220060345,0.536617344,0.170135493,0.207548695,0.032474693,0.062693636,0.014906917,0.123088794,0.004233694,-0.007288305,-0.077592813,0.0644524,0.009041114,-0.008287998,5.5
-0.081749703,0.233894362,0.524690194,0.139289943,0.253557231,0.045486784,0.078740338,0.030238814,0.06597418,0.008603724,-0.004020188,-0.076217044,0.065135211,0.007111151,-0.006513634,5.5
-0.091612433,0.234586143,0.516359557,0.133295479,0.245327669,0.089675069,0.13397674,0.075627813,0.066453037,0.016177663,0.0024143,-0.074374425,0.06372067,0.01048708,-0.01049911,5.5
-0.125383991,0.232877424,0.595749233,0.159577441,0.266541457,0.054367216,0.032128877,0.004278885,0.117845082,0.012505064,0.000178233,-0.067760854,0.065762802,0.006593844,-0.010094867,5.5
-0.137602966,0.219322354,0.620575955,0.152654742,0.280949294,0.044426888,-0.053796259,-0.028943652,0.026984096,0.009057732,-0.003023729,-0.064922471,0.060901926,0.006941292,-0.005210587,5.5
-0.129465943,0.204329538,0.600279468,0.138424117,0.278780877,0.080512587,0.038124607,-0.023255711,0.150266748,0.014383064,0.008273546,-0.056982001,0.06258809,0.008075645,-0.011070947,5.5
-0.128597334,0.174909984,0.571026551,0.08948797,0.335308005,0.051886036,-0.07258161,-0.079890087,0.076153847,-0.000229909,0.002991777,-0.049016088,0.056473493,0.001270542,-0.003858326,5.5
-0.134085245,0.187317153,0.573244041,0.091505978,0.33556615,0.042103947,-0.079047892,-0.063830617,0.07034933,-0.001905618,0.001136524,-0.053050883,0.057427053,0.003964961,-9.75E-07,5.5
-0.114531718,0.171473033,0.549306822,0.095317853,0.311885141,0.079849381,-0.030509365,-0.009629524,0.144350634,-0.003457974,0.005847475,-0.05437731,0.058855886,0.002702464,-0.007135675,5.5
-0.125005427,0.186452626,0.581906174,0.119018709,0.304345008,0.066969628,-0.052956358,-0.010809216,0.143536109,-0.003437169,0.002192828,-0.058422725,0.058780447,0.003674273,-0.007543873,5.5
-0.107593974,0.184256178,0.641015719,0.173947698,0.244941101,0.110008013,-0.037894244,0.004094702,0.000661339,0.014397101,-0.001004462,-0.065444073,0.059464997,0.007280726,-0.012279018,5.5
-0.097283696,0.19159438,0.665855966,0.186560276,0.243355738,0.134356233,0.052897224,-0.015398256,0.034640517,0.028267517,0.002572414,-0.066981269,0.061446633,0.014004614,-0.01394169,5.5
-0.101123786,0.199381125,0.720358288,0.197670037,0.281570246,0.141248394,0.044453612,-0.044095597,-0.006404551,0.033315014,-0.000539554,-0.073135208,0.06531745,0.013564609,-0.013452977,5.5
-0.098825206,0.21166436,0.755162764,0.234793001,0.262987488,0.078471582,-0.025899377,-0.096324118,-0.029089591,0.030517148,-0.009490489,-0.077293307,0.068955499,0.010030344,-0.008785721,5.5
-0.073818152,0.187797971,0.74732729,0.239883293,0.258680278,0.142979635,-0.007855524,-0.024258302,-0.044786542,0.030244131,-0.010632196,-0.085198466,0.069820981,0.010466443,-0.015497849,5.5
-0.057908735,0.209923054,0.655687254,0.214193322,0.239974159,0.147466037,0.110895159,0.05105737,0.00902048,0.029410053,-0.006704427,-0.090609811,0.068600339,0.011534945,-0.015609878,5.5
-0.048329167,0.184923241,0.684821238,0.238929111,0.227452616,0.170988699,0.056740052,0.056687949,-0.002559214,0.02859412,-0.012479515,-0.09154878,0.069755866,0.010297248,-0.01787009,5.5
-0.035610715,0.19463403,0.630252996,0.229656672,0.201723556,0.142485827,0.109715565,0.050718225,0.061237597,0.027524991,-0.012265277,-0.088567725,0.067833247,0.011671091,-0.015177116,5.5
0.007772148,0.147458964,0.536686933,0.208166943,0.15103805,0.168570821,0.109717824,0.098310925,0.065510518,0.019234238,-0.013331315,-0.083874214,0.061880486,0.012164097,-0.01713215,5.5
-0.00603556,0.157297736,0.653975619,0.29000797,0.117195223,0.193755989,0.101169265,0.079875254,0.086031875,0.035532085,-0.018508878,-0.088409846,0.065777803,0.017625393,-0.023669079,5.5
-0.00999255,0.169573499,0.653942983,0.304995115,0.102812226,0.140614665,0.04528127,0.041215162,0.058435919,0.033213677,-0.02709729,-0.087835361,0.06656184,0.016642612,-0.018782772,5.5
-0.000590056,0.134254159,0.671085391,0.325648177,0.084666001,0.217563841,0.052367531,0.077074356,0.053293872,0.042737248,-0.027553508,-0.084392183,0.066834794,0.017404908,-0.028014207,5.5
-0.007897434,0.143707265,0.644332119,0.33466099,0.04606763,0.190092724,0.088588136,0.051473378,0.121756104,0.048829209,-0.026742025,-0.074937654,0.064852876,0.019656173,-0.026500432,5.5
-0.051673115,0.159766002,0.730178051,0.367869244,0.059679849,0.200806282,0.00609344,0.069202109,0.051141873,0.051815694,-0.03055029,-0.080208384,0.066599229,0.020066397,-0.027742484,5.5
-0.046815482,0.154346509,0.735437003,0.402813187,-0.012623889,0.178603847,-0.009668895,0.059884559,0.080693266,0.053550561,-0.031016291,-0.076689997,0.063615289,0.024534973,-0.027528355,5.5
-0.042273015,0.158040611,0.661198567,0.368117269,-0.009089116,0.118996364,-0.003319124,0.028076303,0.15992035,0.043114563,-0.030562374,-0.069731962,0.061590842,0.02223943,-0.021004177,5.5
-0.042539166,0.151910529,0.632084105,0.362138485,-0.025296173,0.088628284,-0.086911989,0.04220268,0.104737988,0.030540617,-0.036005073,-0.069994245,0.057134889,0.018296341,-0.01851645,5.5
-0.039015539,0.161801609,0.57209356,0.32259002,-0.010094301,0.086573401,-0.06120921,0.091067155,0.089196132,0.021564541,-0.031520446,-0.072378902,0.057137339,0.014056891,-0.019227925,5.5
-0.027181415,0.176562147,0.512452568,0.274283813,0.01241617,0.075159802,0.015167407,0.087302835,0.101967336,0.0176173,-0.0257675,-0.071848348,0.052745893,0.016175697,-0.018247518,5.5
-0.031505503,0.204227945,0.485377513,0.247125408,0.024601419,0.051690592,0.068876156,0.082164747,0.113819736,0.016682413,-0.020906714,-0.070594545,0.053624547,0.017264425,-0.013202653,5.5
-0.031231382,0.180835538,0.514816787,0.234241849,0.062068255,0.053568399,-0.017961573,0.041130933,0.050357357,0.010454788,-0.024329518,-0.068737937,0.052728884,0.016229973,-0.01214726,5.5
-0.039148925,0.202858144,0.501053169,0.235810811,0.044119917,0.016906518,0.006016674,0.039242901,0.134325695,0.005756249,-0.021252401,-0.068218815,0.051264813,0.018764789,-0.011544389,5.5
-0.052832859,0.241105399,0.473873595,0.214338976,0.057347269,-0.016521037,0.053892193,0.049594956,0.140218837,0.003335358,-0.016940041,-0.071518911,0.051264123,0.018416057,-0.008760916,5.5
-0.06230818,0.259610125,0.499129525,0.20481286,0.10114366,-0.014030407,0.054841572,0.052419982,0.088425453,0.003939827,-0.016960283,-0.077933635,0.055568634,0.016807304,-0.006575946,5.5
-0.046219116,0.271830263,0.40549267,0.141368684,0.133820068,-0.022201149,0.147163715,0.066111512,0.096306669,-0.000141727,-0.010464781,-0.076494873,0.054231954,0.014324644,-0.004234471,5.5
-0.038549805,0.274666312,0.402227525,0.135665916,0.12978712,0.016471999,0.2031905,0.115079766,0.097138538,0.002451239,-0.004973807,-0.079738516,0.056885984,0.015177008,-0.005748701,5.5
-0.051662663,0.315097882,0.407592874,0.135408557,0.136897063,-0.022348274,0.235481627,0.109667537,0.107989399,0.00076939,-0.003796004,-0.086143659,0.055670578,0.016606273,-0.003205924,5.5
-0.059897953,0.335491223,0.433946211,0.123715114,0.179478596,-0.019175225,0.236300714,0.111849298,0.056341931,-0.001043447,-0.002375175,-0.091897199,0.059206466,0.013123053,-0.004571516,5.5
-0.014762868,0.305490749,0.341258539,0.068618252,0.19308814,-0.038716172,0.249049243,0.079563517,0.031361672,-0.010909674,-0.003391856,-0.087774586,0.052765753,0.011824333,0.00218697,5.5
-0.021936769,0.326855992,0.374463504,0.054953462,0.270608576,-0.081583494,0.237357253,-0.010881638,0.028698847,-0.009395426,-0.007368157,-0.08702718,0.061571107,0.005652937,0.008110916,5.5
-0.012642706,0.333294584,0.40166762,0.073653431,0.261961592,-0.047830132,0.277169211,0.022366215,0.034627771,-0.004693451,-0.005987589,-0.092917638,0.064628775,0.008145155,0.00400594,5.5
0.009398389,0.314150356,0.3114842,0.017112882,0.292816084,-0.068498767,0.275956844,0.009806281,0.02501171,-0.015673072,-0.006827864,-0.088631581,0.060926608,0.002666524,0.009157069,5.5
0.012322125,0.298448906,0.316498262,0.046543223,0.239940052,-0.072997548,0.258261559,-0.010313425,0.081833791,-0.012250447,-0.00895754,-0.08000618,0.059487299,0.005153913,0.007537952,5.5
-0.019091573,0.31374208,0.370534787,0.08432348,0.214529359,-0.044170449,0.274804338,0.01672651,0.086276941,0.001543674,-0.007625201,-0.079327584,0.061222299,0.010185694,0.006131542,5.5
-0.034847592,0.312568691,0.398541284,0.105577434,0.204603344,-0.045521541,0.258706268,-0.001711981,0.090875226,0.007869957,-0.008666463,-0.077127449,0.059887685,0.012245865,0.004544662,5.5
-0.073468589,0.318275757,0.454455657,0.140237247,0.19939635,-0.058438761,0.192225879,0.010426744,0.204444888,0.001825709,-0.008877026,-0.075624505,0.061899189,0.009669704,0.002104128,5.5
-0.064016317,0.311966875,0.46253048,0.14079759,0.204795302,-0.044946395,0.219534763,-0.030998687,0.121637606,0.015454457,-0.010197137,-0.07258889,0.061664407,0.01089129,0.003535313,5.5
-0.069260322,0.291233495,0.513116103,0.151060742,0.232107757,-0.0060574,0.172290524,-0.040559088,0.063803764,0.02030927,-0.012570745,-0.071849659,0.06454149,0.008680247,0.000849827,5.5
-0.088213158,0.301507333,0.512791294,0.151559423,0.228248824,-0.012291916,0.165893494,-0.027311978,0.057708076,0.020279609,-0.010881683,-0.071016454,0.061255941,0.00847046,-9.74E-05,5.5
-0.109512392,0.313024943,0.517370661,0.14699136,0.244701256,-0.01346635,0.151884743,-0.007468372,0.073068432,0.018050991,-0.010926593,-0.071137285,0.062153086,0.007657576,0.001171647,5.5
-0.117386335,0.291723016,0.572946656,0.161591855,0.276378342,-0.013635346,0.048509968,-0.065749744,0.014585999,0.017677157,-0.018988713,-0.068345928,0.061521976,0.004812775,-0.001069994,5.5
-0.099024914,0.277763483,0.579160307,0.196593646,0.229769514,-0.023232692,0.031021511,-0.082342436,0.071756155,0.019766545,-0.023497154,-0.065149378,0.066556443,0.005820708,-0.002740616,5.5
