ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,joint_angle
0,0,1.70E-05,0.001200642,0,0.002466436,2.69E-06,0,1.08E-05,0.25,0.666666667,0,0.5,1,0,1.195211009
0.001852315,0.000147567,0.001041389,0.004636881,0.000447718,0.013558007,2.84E-05,4.03E-07,0.000207691,0,0,0,0,0,0.5,1.190141904
0.004361362,0.000535566,0.01002318,0.003521405,0.000923976,0.017291098,1.72E-05,5.46E-07,0.000348991,0,0.333333333,0,0,0,0,1.185074454
0.00518941,0.00041726,0.008358698,0.000691609,0.002204344,0.025504128,8.37E-07,4.08E-06,0.000713886,0.25,0.333333333,0,0,0.5,0,1.180008659
0.003662727,0.000805308,0.008346028,0.004481882,0.005426365,0.041960617,2.58E-05,3.22E-05,0.00177757,0,0,0,0,0.5,0.5,1.174926381
0.000931129,0.005558323,0.027183597,0.007382746,0.01277192,0.03681011,6.31E-05,0.000173971,0.001399975,0,0,0,0.5,0,0,1.169915066
0.0034299,0.010795851,0.037920179,0.007843773,0.003940505,0.012150501,6.99E-05,1.58E-05,5.03E-05,0,0.333333333,0.333333333,0,0,0,1.165056049
0.006108723,0.009513506,0.026622913,0.003135898,0.006869058,0.043479159,4.42E-06,5.08E-05,0.001943565,0.25,0,0,0,0,0,1.160419948
0.003695897,0.004524962,0.005789475,0.006321397,0.012708125,0.050762279,4.75E-05,0.000168989,0.002620528,0,0,0,0,0,0.5,1.156063442
0.001883893,0.002435969,0.016966093,0.00242741,0.009743447,0.037467108,3.55E-06,0.000107216,0.001406126,0.25,0,0,0,0.5,0,1.152027841
0.006107605,0.002256386,0.032919941,0.016540654,0.012763246,0.025796869,0.000295889,0.000187863,0.000691086,0,0,0,0,0.5,0,1.14833864
0.016580867,0.002376611,0.041088402,0.019797872,0.013376514,0.010654436,0.000408838,0.000141946,0.000123059,0,0.333333333,0,0,0.5,0,1.145005576
0.023294173,0.012595754,0.043047043,0.006142677,0.0363106,0.005479277,2.76E-05,0.001340297,3.32E-05,0.25,0,0.333333333,0,0,0,1.142024322
0.017851746,0.027150464,0.039924588,0.025256534,0.015184449,0.004922363,0.000684495,0.000237488,2.66E-05,0,0,0,0,0,0,1.13937991
0.004934477,0.029696103,0.03523878,0.040664458,0.003762343,0.01965442,0.00168709,1.43E-05,0.000403215,0,0.333333333,0,0.5,0,0,1.137050424
0.019948919,0.023987127,0.016761634,0.040283024,0.018944347,0.057305551,0.001674518,0.000373525,0.003320032,0,0,0,0,0,0,1.135009985
0.03550058,0.011087875,0.017006214,0.01822601,0.027926181,0.085272343,0.000361322,0.000786873,0.007331977,0,0,0,0,0,0.5,1.133230058
0.037673023,0.004684429,0.055405732,0.008711481,0.028500844,0.067708967,9.24E-05,0.000810254,0.004661726,0.25,0,0,0,0.5,0,1.131678729
0.028771221,0.01837712,0.074601339,0.023674007,0.024865514,0.017026359,0.00061241,0.000624231,0.000150471,0,0,0.333333333,0,0,0,1.130319736
0.021316813,0.028763497,0.064519096,0.005041871,0.013565959,0.042997289,1.09E-05,0.000193555,0.001908232,0.25,0,0,0,0,0,1.129113091
0.017821969,0.03206841,0.042124171,0.02510957,0.001469754,0.042320949,0.000704668,1.54E-06,0.001802049,0,0.666666667,0,0,0,0,1.128017189
0.010011293,0.032478238,0.024025221,0.069277882,0.001469951,0.036926258,0.004903071,2.12E-06,0.001387381,0,0.333333333,0,0.5,0,0,1.126991293
