time,value
0,-1.005723101
0.0005,0.21505453
0.001,0.520248938
0.0015,-0.090139878
0.002,-0.700528693
0.0025,-0.090139878
0.003,0.520248938
0.0035,0.21505453
0.004,0.21505453
0.0045,0.825443346
0.005,1.130637753
0.0055,0.21505453
0.006,-0.090139878
0.0065,0.520248938
0.007,1.741026569
0.0075,1.741026569
0.008,1.130637753
0.0085,1.435832161
0.009,1.741026569
0.0095,0.825443346
0.01,-0.395334285
0.0105,-0.395334285
0.011,0.520248938
0.0115,1.130637753
0.012,0.21505453
0.0125,-1.005723101
0.013,-1.616111916
0.0135,-1.310917508
0.014,-0.700528693
0.0145,-0.090139878
0.015,-0.090139878
0.0155,0.21505453
0.016,-0.090139878
0.0165,-0.395334285
0.017,-1.005723101
0.0175,-1.005723101
0.018,-0.395334285
0.0185,0.21505453
0.019,0.825443346
0.0195,0.520248938
0.02,-0.090139878
0.0205,-0.090139878
0.021,-0.090139878
0.0215,-0.090139878
0.022,-0.700528693
0.0225,-0.700528693
0.023,-0.090139878
0.0235,0.825443346
0.024,0.825443346
0.0245,0.21505453
0.025,0.21505453
0.0255,0.520248938
0.026,0.825443346
0.0265,0.825443346
0.027,0.520248938
0.0275,0.520248938
0.028,-0.090139878
0.0285,-0.395334285
0.029,-0.700528693
0.0295,-0.395334285
0.03,-0.395334285
0.0305,-0.090139878
0.031,-0.090139878
0.0315,-0.090139878
0.032,-0.090139878
0.0325,0.21505453
0.033,0.520248938
0.0335,1.130637753
0.034,1.130637753
0.0345,0.520248938
0.035,-0.090139878
0.0355,-0.395334285
0.036,-0.700528693
0.0365,-0.090139878
0.037,0.825443346
0.0375,0.825443346
0.038,-0.395334285
0.0385,-1.310917508
0.039,-1.310917508
0.0395,-0.395334285
0.04,-0.395334285
0.0405,-0.700528693
0.041,-0.090139878
0.0415,1.130637753
0.042,1.130637753
0.0425,-0.090139878
0.043,-1.616111916
0.0435,-1.310917508
0.044,-0.395334285
0.0445,0.21505453
0.045,-0.090139878
0.0455,-0.395334285
0.046,-1.921306324
0.0465,-3.142083955
0.047,-2.226500731
0.0475,-0.090139878
0.048,0.825443346
0.0485,0.21505453
0.049,-0.395334285
0.0495,-0.090139878
0.05,0.520248938
0.0505,-0.090139878
0.051,-1.310917508
0.0515,-1.616111916
0.052,-0.395334285
0.0525,0.825443346
0.053,1.130637753
