time,value
0,-0.862505935
0.0005,-0.862505935
0.001,-0.862505935
0.0015,-0.862505935
0.002,-1.167700343
0.0025,-1.778089158
0.003,-2.083283566
0.0035,-1.167700343
0.004,-0.557311527
0.0045,-0.557311527
0.005,-1.167700343
0.0055,-1.778089158
0.006,-2.083283566
0.0065,-1.778089158
0.007,-0.862505935
0.0075,-0.252117119
0.008,-0.252117119
0.0085,-1.778089158
0.009,-2.388477973
0.0095,-1.167700343
0.01,-0.252117119
0.0105,-1.167700343
0.011,-2.693672381
0.0115,-2.693672381
0.012,-2.083283566
0.0125,-2.083283566
0.013,-2.083283566
0.0135,-2.083283566
0.014,-1.778089158
0.0145,-1.778089158
0.015,-1.778089158
0.0155,-1.47289475
0.016,-1.778089158
0.0165,-2.693672381
0.017,-2.998866789
0.0175,-2.388477973
0.018,-1.47289475
0.0185,-2.083283566
0.019,-2.388477973
0.0195,-1.47289475
0.02,-0.252117119
0.0205,0.358271696
0.021,-0.252117119
0.0215,-1.167700343
0.022,-1.778089158
0.0225,-2.083283566
0.023,-1.778089158
0.0235,-0.557311527
0.024,0.358271696
0.0245,-0.252117119
0.025,-1.778089158
0.0255,-2.388477973
0.026,-1.167700343
0.0265,-0.252117119
0.027,-1.167700343
0.0275,-3.609255604
0.028,-4.524838827
0.0285,-3.304061196
0.029,-1.778089158
0.0295,-1.778089158
0.03,-2.083283566
0.0305,-1.167700343
0.031,0.053077288
0.0315,0.663466104
0.032,-0.252117119
0.0325,-0.862505935
0.033,-0.862505935
0.0335,-0.252117119
0.034,0.053077288
0.0345,0.053077288
0.035,0.053077288
0.0355,0.053077288
0.036,-0.252117119
0.0365,-0.557311527
0.037,-0.557311527
0.0375,-0.862505935
0.038,-1.47289475
0.0385,-1.778089158
0.039,-1.167700343
0.0395,-0.252117119
0.04,0.358271696
0.0405,-0.252117119
0.041,-0.557311527
0.0415,-1.167700343
0.042,-0.862505935
0.0425,-1.167700343
0.043,-1.778089158
0.0435,-2.083283566
0.044,-1.778089158
0.0445,-1.47289475
0.045,-0.862505935
0.0455,-1.167700343
0.046,-1.167700343
0.0465,-0.862505935
0.047,-0.252117119
0.0475,0.053077288
0.048,-0.862505935
0.0485,-2.388477973
0.049,-2.693672381
0.0495,-1.47289475
0.05,-0.252117119
0.0505,-0.557311527
0.051,-1.778089158
0.0515,-2.388477973
0.052,-2.388477973
0.0525,-2.388477973
0.053,-2.388477973
0.0535,-2.083283566
0.054,-1.778089158
0.0545,-1.778089158
0.055,-1.47289475
0.0555,-1.167700343
0.056,-0.862505935
0.0565,-1.167700343
0.057,-0.557311527
0.0575,1.273854919
0.058,3.105021365
0.0585,2.799826958
0.059,0.663466104
0.0595,-0.252117119
0.06,0.053077288
0.0605,0.968660511
0.061,0.968660511
0.0615,1.273854919
0.062,1.579049327
0.0625,1.273854919
0.063,0.358271696
0.0635,0.358271696
0.064,1.884243735
0.0645,3.410215773
0.065,2.799826958
0.0655,0.968660511
0.066,0.358271696
0.0665,1.579049327
0.067,3.105021365
0.0675,3.105021365
0.068,2.189438142
0.0685,1.884243735
0.069,1.884243735
0.0695,1.273854919
0.07,0.053077288
0.0705,-0.252117119
0.071,-0.557311527
0.0715,-0.862505935
0.072,-1.47289475
0.0725,-1.167700343
0.073,-0.252117119
0.0735,-0.252117119
0.074,-1.778089158
