time,value
0,1.499587439
0.005,1.499776406
0.01,1.499968092
0.015,1.500162497
0.02,1.500345851
0.025,1.50051762
0.03,1.500678103
0.035,1.500827849
0.04,1.500967644
0.045,1.501099477
0.05,1.501228344
0.055,1.501364074
0.06,1.501521921
0.065,1.501721844
0.07,1.501987896
0.075,1.502347725
0.08,1.502830513
0.085,1.503463875
0.09,1.504271793
0.095,1.505273475
0.1,1.506482042
0.105,1.507903302
0.11,1.509534898
0.115,1.511366101
0.12,1.513378971
0.125,1.515549679
0.13,1.517848676
0.135,1.52024103
0.14,1.522687628
0.145,1.525146091
0.15,1.527570768
0.155,1.531343272
0.16,1.534964053
0.165,1.538329392
0.17,1.541815936
0.175,1.544930006
0.18,1.548029692
0.185,1.550775424
0.19,1.553211498
0.195,1.555134638
0.2,1.55668217
0.205,1.558049516
0.21,1.559293747
0.215,1.560304877
0.22,1.561009124
0.225,1.561608406
0.23,1.562383917
0.235,1.563107433
0.24,1.563837184
0.245,1.564644809
0.25,1.565663028
0.255,1.566755475
0.26,1.568096524
0.265,1.569606874
0.27,1.571014292
0.275,1.57288603
0.28,1.574957415
0.285,1.57712736
0.29,1.579452289
0.295,1.582168798
0.3,1.585051921
0.305,1.588252516
0.31,1.591349965
0.315,1.594579159
0.32,1.59797234
0.325,1.601646319
0.33,1.605228999
0.335,1.609167639
0.34,1.613128471
0.345,1.617203038
0.35,1.62149232
0.355,1.625904823
0.36,1.630463907
0.365,1.635110815
0.37,1.639850053
0.375,1.644763884
0.38,1.649801013
0.385,1.654881979
0.39,1.659963179
0.395,1.66500273
0.4,1.670144742
0.405,1.675220323
0.41,1.680284439
0.415,1.685143598
0.42,1.689978019
0.425,1.694848601
0.43,1.699726178
0.435,1.704787361
0.44,1.709742584
0.445,1.714468358
0.45,1.71925292
0.455,1.724009782
0.46,1.728681491
0.465,1.733078977
0.47,1.737467166
0.475,1.741910041
0.48,1.74606884
0.485,1.750246999
0.49,1.75429781
0.495,1.758334036
0.5,1.762100129
0.505,1.765590483
0.51,1.768654106
0.515,1.77167104
0.52,1.774276396
