ch1,ch2,ch3,angle
0.007239735,0.003238494,0.026936488,1.195211009
0.083861043,0.043178314,0.06671916,1.190141904
0.187648209,0.148192709,0.415532075,1.185074454
0.221900561,0.116172571,0.350890981,1.180008659
0.158749044,0.221200046,0.350398922,1.174926381
0.045756025,1.507632475,1.081966553,1.169915066
0.149118139,2.925201346,1.498927796,1.165056049
0.259928084,2.57812682,1.060192073,1.160419948
0.160121141,1.227947146,0.25111375,1.156063442
0.085167285,0.662548377,0.685164031,1.152027841
0.259881848,0.613943165,1.304740699,1.14833864
0.693110096,0.646482635,1.621967524,1.145005576
0.970807146,3.412356048,1.698032441,1.142024322
0.74568021,7.351677093,1.576770139,1.13937991
0.211355216,8.040669854,1.394794145,1.137050424
0.832430139,6.495500523,0.677223759,1.135009985
1.475727235,3.004239361,0.68672215,1.133230058
1.565590695,1.271107862,2.177989097,1.131678729
1.19736613,4.977118045,2.923461334,1.130319736
0.889013316,7.788254334,2.531911717,1.129113091
0.744448483,8.68274905,1.662192195,1.128017189
0.42135855,8.793671448,0.959309231,1.126991293
1.777745007,8.163984176,0.280927961,1.125997666
2.70131389,5.061456836,0.933646555,1.12500297
2.523450118,1.586971465,2.797258026,1.123978671
1.516214049,6.488254664,4.186721309,1.122901382
0.384382936,9.743316761,4.34685185,1.121754055
1.378743378,8.484527377,2.869990659,1.120526854
2.290217091,6.171101539,0.79334626,1.119216362
2.405817958,5.696445089,2.953067227,1.117823984
1.8021953,4.533657513,4.74667577,1.116355213
0.877240103,2.119360486,5.095726433,1.108931372
0.231956998,1.131395706,4.529152078,1.101584431
0.911566954,3.964140972,3.204968533,1.094420949
1.43058101,5.728944533,1.349571404,1.087336117
1.597451752,7.126178478,0.947155347,1.080315835
1.52518392,7.104970207,3.223930465,1.073298499
1.123843544,5.425013504,4.924973352,1.066330331
0.438656322,2.830061916,5.508823109,1.059539312
0.287145378,0.722339678,4.924906425,1.052698505
0.852340983,1.643928154,3.300157638,1.0459035
1.237536035,3.403398931,1.099564221,1.039182019
1.373688495,4.87831365,1.030866338,1.032393233
1.413364044,4.400530087,2.911454822,1.025458538
0.985710077,4.04442735,4.195773251,1.018493023
0.329962011,2.7883538,4.593040367,1.011465598
1.3732885,0.328323818,3.854626012,1.004446396
2.213653315,0.503456446,2.081844849,0.997424144
1.982232719,0.902929781,0.535950995,0.990226578
0.941498265,0.576075335,2.093588721,0.982737922
0.397987856,1.981903053,3.378547399,0.97486645
1.476883989,2.463477738,3.428336075,0.966751691
2.11524327,3.802515008,2.133845424,0.958232151
1.966958332,3.91403836,0.528846767,0.949595763
1.278103485,3.025394555,1.296417889,0.94072437
0.434589709,2.050792434,2.28075991,0.931550565
0.461282796,1.224208858,2.42533869,0.922179172
1.137212671,0.528212106,1.801625433,0.912849434
1.389868017,2.008085388,0.672246378,0.903591316
1.342816321,3.511870239,0.249423427,0.894334605
1.09926946,3.920675543,0.673763424,0.885075413
0.634817826,3.171183737,0.92446369,0.875944885
0.151307544,2.428027736,1.116663481,0.867301508
0.250760835,2.093908277,1.198350982,0.858851124
0.473218204,1.127724155,1.21725935,0.850616421
0.55137277,1.187403786,1.029239321,0.842557932
0.438750728,2.467405166,0.707857888,0.834772841
0.282274902,1.84280294,0.241465636,0.827377274
0.26727068,3.188262616,0.213814822,0.820416628
0.378358681,3.566282967,0.448852119,0.813606336
0.433430376,1.474895993,0.727752142,0.807253822
0.317306653,0.821727556,1.06168271,0.800966172
0.069403428,2.725211303,1.051869132,0.794985598
0.047410792,3.900419422,0.758455846,0.789149083
0.408463441,3.533207127,0.610606511,0.783747533
0.767145188,0.860156708,0.470897636,0.778648256
0.90880101,1.778374973,0.161580097,0.773624077
0.789336674,1.183359639,0.307030643,0.768583346
0.267633262,0.660357087,0.797661395,0.763478118
0.414511758,1.395499597,1.082553167,0.75838679
0.966663159,3.204342407,0.987046616,0.753385438
1.335422789,3.731840345,0.460455673,0.748485948
1.289263979,3.339285381,0.224027922,0.743545611
0.808720304,3.31017726,0.751903291,0.738873506
0.227936605,2.246576851,0.977271001,0.7342025
0.354370069,1.460640637,0.766311652,0.729535156
0.925589832,5.008975969,0.325440322,0.725265883
1.223523733,6.236501584,0.164498286,0.720809902
1.000867721,6.559104281,0.508110921,0.716259673
0.718537427,5.306609898,0.643669724,0.711587056
0.585351507,1.982044703,0.382156789,0.706861617
0.729268729,0.826065917,0.25530975,0.701804928
0.809212805,1.202467092,0.378712345,0.696582483
0.523187677,1.421085634,0.217292343,0.690934979
0.266129104,1.412044938,0.915416223,0.684971833
1.110832693,1.490023714,1.260535545,0.678581654
1.772506009,3.207508822,0.868667464,0.671820922
2.007508414,3.855677162,0.236609492,0.664728048
1.802669857,2.868907864,0.838304324,0.657282978
1.184145715,1.760613172,1.533448581,0.649322973
0.365296761,1.410860906,1.748015509,0.641054566
0.107875269,0.390828096,1.453878592,0.632434753
0.47069973,0.902769925,0.844651726,0.623443137
1.489927371,1.483889403,0.277705587,0.614380142
2.497223428,2.767327976,0.251998805,0.604841397
2.912269718,4.426580956,0.212993351,0.595019774
2.287333471,4.068928169,1.570676929,0.585059289
0.844060869,1.439962067,3.608476268,0.574751626
0.744851718,0.163036071,4.612846368,0.564236901
1.996052286,1.50374328,3.573873188,0.553739055
2.6470138,3.600750664,1.064494206,0.543030086
2.466840421,4.113535199,1.643384221,0.532197172
1.644227528,3.482311675,3.608610197,0.521234175
0.610687595,1.369278524,4.779489369,0.509917973
0.383207292,1.458833357,4.589758964,0.498620022
