type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon Ultium-RT BRACHIORAD.","s",0.00000,2000,53200,"uV"

time,value
0.00000,-0.2679792975
0.00050,0.03721511018
0.00100,-0.8783681129
0.00150,-1.793951336
0.00200,-0.2679792975
0.00250,2.783964779
0.00300,3.699548003
0.00350,1.257992741
0.00400,-1.488756928
0.00450,-2.404340151
0.00500,-1.488756928
0.00550,-0.2679792975
0.00600,1.257992741
0.00650,3.699548003
0.00700,4.920325633
0.00750,3.699548003
0.00800,1.868381556
0.00850,0.9527983333
0.00900,-0.2679792975
0.00950,-3.319923375
0.01000,-3.319923375
0.01050,1.868381556
0.01100,8.887852934
0.01150,8.582658526
0.01200,1.563187149
0.01250,-5.151089821
0.01300,-10.03420034
0.01350,-16.44328291
0.01400,-24.37833751
0.01450,-24.98872632
0.01500,-14.30692205
0.01550,0.03721511018
0.01600,8.582658526
0.01650,11.02421379
0.01700,12.55018583
0.01750,14.68654668
0.01800,14.38135227
0.01850,11.3294082
0.01900,7.97226971
0.01950,6.141103264
0.02000,5.530714449
0.02050,7.361880895
0.02100,12.85538023
0.02150,19.2644628
0.02200,22.62160128
0.02250,22.01121246
0.02300,19.5696572
0.02350,17.43329635
0.02400,15.90732431
0.02450,14.68654668
0.02500,14.07615786
0.02550,16.82290753
0.02600,25.36835095
0.02650,37.57612726
0.02700,43.98520982
0.02750,38.18651607
0.02800,23.2319901
0.02850,8.887852934
0.02900,0.3424095179
0.02950,-3.319923375
0.03000,-5.456284228
0.03050,-6.677061859
0.03100,-7.287450675
0.03150,-7.592645082
0.03200,-5.151089821
0.03250,-0.2679792975
0.03300,4.920325633
0.03350,4.920325633
0.03400,0.03721511018
0.03450,-4.845895413
0.03500,-6.677061859
0.03550,-3.93031219
0.03600,3.394353595
0.03650,12.24499142
0.03700,16.82290753
0.03750,14.68654668
0.03800,12.85538023
0.03850,16.51771313
0.03900,20.18004602
0.03950,15.6021299
0.04000,4.920325633
0.04050,-1.793951336
0.04100,-1.793951336
0.04150,-1.183562521
0.04200,-2.099145744
0.04250,-1.183562521
0.04300,3.394353595
0.04350,7.056686487
0.04400,7.97226971
0.04450,8.582658526
0.04500,9.193047341
0.04550,8.887852934
0.04600,10.71901938
0.04650,18.34887957
0.04700,27.80990621
0.04750,30.55665588
0.04800,30.25146147
0.04850,38.18651607
0.04900,53.75143087
0.04950,61.07609665
0.05000,54.05662527
0.05050,47.3423483
0.05100,56.49818053
0.05150,72.36828974
0.05200,74.50465059
0.05250,57.41376376
0.05300,35.134572
0.05350,18.65407398
0.05400,7.056686487
0.05450,-4.235506598
0.05500,-16.1380885
0.05550,-26.51469836
0.05600,-38.11208585
0.05650,-51.54063979
0.05700,-63.13802728
0.05750,-68.63152662
0.05800,-68.02113781
0.05850,-64.35880491
0.05900,-60.08608321
0.05950,-55.20297268
0.06000,-47.8783069
0.06050,-37.19650263
0.06100,-24.98872632
0.06150,-14.61211646
0.06200,-9.729005936
0.06250,-10.03420034
0.06300,-10.64458916
0.06350,-6.677061859
0.06400,3.699548003
0.06450,16.51771313
0.06500,26.28393417
0.06550,29.03068384
0.06600,27.80990621
0.06650,25.67354536
0.06700,24.14757332
0.06750,20.48524043
0.06800,14.38135227
0.06850,9.498241749
0.06900,8.582658526
0.06950,8.582658526
0.07000,4.615131226
0.07050,-2.709534559
0.07100,-8.203033898
0.07150,-9.423811529
0.07200,-8.813422713
0.07250,-10.33939475
0.07300,-12.78095001
0.07350,-14.00172764
0.07400,-13.39133883
0.07450,-13.39133883
0.07500,-12.47575561
0.07550,-6.371867452
0.07600,1.868381556
0.07650,7.056686487
0.07700,5.225520041
0.07750,0.03721511018
0.07800,-3.625117782
0.07850,-5.456284228
0.07900,-6.371867452
0.07950,-4.540701005
0.08000,0.3424095179
0.08050,3.699548003
0.08100,3.089159187
0.08150,2.783964779
0.08200,7.361880895
0.08250,12.24499142
0.08300,8.887852934
0.08350,-0.2679792975
0.08400,-4.540701005
0.08450,0.6476039256
0.08500,8.277464118
0.08550,10.10863056
0.08600,7.361880895
0.08650,6.75149208
0.08700,9.193047341
0.08750,11.02421379
0.08800,10.71901938
0.08850,9.193047341
0.08900,6.446297672
0.08950,3.394353595
0.09000,0.9527983333
0.09050,0.3424095179
0.09100,0.03721511018
0.09150,-2.404340151
0.09200,-7.287450675
0.09250,-10.94978357
0.09300,-9.729005936
0.09350,-3.625117782
0.09400,2.783964779
0.09450,7.361880895
0.09500,8.277464118
0.09550,7.361880895
0.09600,6.141103264
0.09650,4.920325633
0.09700,3.699548003
0.09750,3.699548003
0.09800,4.309936818
0.09850,4.615131226
0.09900,3.699548003
0.09950,4.615131226
0.10000,8.582658526
0.10050,13.16057464
0.10100,15.90732431
0.10150,19.5696572
0.10200,29.94626706
0.10250,45.20598745
0.10300,55.2774029
0.10350,51.61507001
0.10400,37.57612726
0.10450,22.62160128
0.10500,14.07615786
0.10550,12.55018583
0.10600,15.6021299
0.10650,19.5696572
0.10700,21.40082365
0.10750,20.79043483
0.10800,21.70601806
0.10850,25.36835095
0.10900,27.5047118
0.10950,25.36835095
0.11000,19.87485161
0.11050,14.68654668
0.11100,10.71901938
0.11150,8.582658526
0.11200,10.10863056
0.11250,13.16057464
0.11300,10.71901938
0.11350,1.257992741
0.11400,-7.287450675
0.11450,-7.287450675
0.11500,-3.319923375
0.11550,-7.287450675
0.11600,-18.88483817
0.11650,-25.90430954
0.11700,-20.1056158
0.11750,-8.508228305
0.11800,-0.5731737052
0.11850,2.173575964
0.11900,5.835908857
0.11950,10.71901938
0.12000,13.46576905
0.12050,13.16057464
