type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon Ultium-RT BICEPS BR.","s",0.00000,2000,61720,"uV"

time,value
0.00000,12.20350572
0.00050,14.33986658
0.00100,14.95025539
0.00150,13.42428335
0.00200,10.67753368
0.00250,6.710006383
0.00300,2.132090267
0.00350,-2.445825848
0.00400,-6.413353148
0.00450,-9.465297225
0.00500,-11.60165808
0.00550,-13.73801893
0.00600,-14.95879656
0.00650,-14.04321334
0.00700,-10.99126926
0.00750,-8.244519594
0.00800,-6.413353148
0.00850,-5.802964333
0.00900,-5.802964333
0.00950,-5.802964333
0.01000,-6.413353148
0.01050,-6.10815874
0.01100,-3.361409071
0.01150,1.216507044
0.01200,6.099617568
0.01250,9.456756052
0.01300,11.59311691
0.01350,11.89831131
0.01400,10.06714487
0.01450,7.320395198
0.01500,7.015200791
0.01550,9.456756052
0.01600,10.98272809
0.01650,10.06714487
0.01700,8.846367237
0.01750,8.541172829
0.01800,7.625589606
0.01850,4.878839937
0.01900,2.437284675
0.01950,1.82689586
0.02000,1.216507044
0.02050,-0.004270586415
0.02100,-0.6146594018
0.02150,-1.225048217
0.02200,-2.751020256
0.02250,-4.582186702
0.02300,-3.666603479
0.02350,0.3009238213
0.02400,4.268451121
0.02450,6.404811975
0.02500,8.846367237
0.02550,11.89831131
0.02600,11.89831131
0.02650,9.151561645
0.02700,8.235978422
0.02750,10.37233928
0.02800,11.2879225
0.02850,8.235978422
0.02900,8.235978422
0.02950,15.56064421
0.03000,23.1905044
0.03050,21.66453236
0.03100,12.50870013
0.03150,3.963256714
0.03200,-0.3094649941
0.03250,-3.971797887
0.03300,-7.939325187
0.03350,-10.38088045
0.03400,-12.21204689
0.03450,-15.87437979
0.03500,-18.92632386
0.03550,-18.31593505
0.03600,-14.65360216
0.03650,-12.82243571
0.03700,-12.5172413
0.03750,-10.68607486
0.03800,-6.718547556
0.03850,-4.88738111
0.03900,-6.10815874
0.03950,-7.328936371
0.04000,-7.023741964
0.04050,-6.10815874
0.04100,-5.192575517
0.04150,-3.361409071
0.04200,-1.835437033
0.04250,-1.835437033
0.04300,-1.835437033
0.04350,-0.004270586415
0.04400,3.047673491
0.04450,3.047673491
0.04500,-0.3094649941
0.04550,-2.751020256
0.04600,-1.225048217
0.04650,0.3009238213
0.04700,-1.225048217
0.04750,-5.192575517
0.04800,-7.634130779
0.04850,-8.244519594
0.04900,-9.160102817
0.04950,-11.60165808
0.05000,-13.73801893
0.05050,-14.04321334
0.05100,-12.21204689
0.05150,-9.770491633
0.05200,-7.328936371
0.05250,-4.582186702
0.05300,-1.835437033
0.05350,-0.3094649941
0.05400,-0.004270586415
0.05450,0.3009238213
0.05500,2.437284675
0.05550,6.099617568
0.05600,8.846367237
0.05650,9.456756052
0.05700,8.846367237
0.05750,8.846367237
0.05800,8.541172829
0.05850,7.625589606
0.05900,6.710006383
0.05950,8.541172829
0.06000,12.20350572
0.06050,14.64506098
0.06100,14.95025539
0.06150,15.2554498
0.06200,18.00219947
0.06250,20.74894914
0.06300,20.74894914
0.06350,18.61258828
0.06400,17.08661624
0.06450,16.47622743
0.06500,14.64506098
0.06550,10.06714487
0.06600,4.878839937
0.06650,1.216507044
0.06700,-2.14063144
0.06750,-7.634130779
0.06800,-14.34840775
0.06850,-20.4522959
0.06900,-24.4198232
0.06950,-25.03021202
0.07000,-23.50423998
0.07050,-20.75749031
0.07100,-18.62112946
0.07150,-16.17957419
0.07200,-12.82243571
0.07250,-8.85490841
0.07300,-6.718547556
0.07350,-7.634130779
0.07400,-8.85490841
0.07450,-7.328936371
0.07500,-3.361409071
0.07550,-0.9198538095
0.07600,-1.225048217
0.07650,-1.835437033
0.07700,-0.004270586415
0.07750,3.047673491
0.07800,5.489228752
0.07850,5.79442316
0.07900,4.878839937
0.07950,3.963256714
0.08000,3.047673491
0.08050,3.047673491
0.08100,4.268451121
0.08150,5.489228752
0.08200,5.79442316
0.08250,5.184034345
0.08300,5.184034345
0.08350,6.710006383
0.08400,9.151561645
0.08450,11.59311691
0.08500,14.03467217
0.08550,17.69700506
0.08600,22.88530999
0.08650,26.85283729
0.08700,27.76842051
0.08750,25.02167085
0.08800,21.96972677
0.08850,20.13856032
0.08900,17.69700506
0.08950,12.20350572
0.09000,5.79442316
0.09050,0.606118229
0.09100,-2.751020256
0.09150,-7.634130779
0.09200,-12.21204689
0.09250,-14.34840775
0.09300,-14.95879656
0.09350,-17.40035183
0.09400,-20.75749031
0.09450,-19.53671268
0.09500,-13.12763012
0.09550,-7.634130779
0.09600,-6.10815874
0.09650,-4.582186702
0.09700,-0.004270586415
0.09750,2.742479083
0.09800,0.606118229
0.09850,-0.9198538095
0.09900,3.352867898
0.09950,9.76195046
0.10000,7.930784014
0.10050,-1.835437033
0.10100,-10.07568604
0.10150,-10.99126926
0.10200,-10.99126926
0.10250,-15.87437979
0.10300,-22.28346235
0.10350,-24.4198232
0.10400,-23.19904557
0.10450,-22.58865676
0.10500,-21.97826794
0.10550,-19.84190709
0.10600,-16.4847686
0.10650,-14.95879656
0.10700,-14.34840775
0.10750,-12.21204689
0.10800,-8.549714002
0.10850,-5.497769925
0.10900,-3.971797887
0.10950,-1.530242625
0.11000,1.82689586
0.11050,5.489228752
0.11100,7.930784014
0.11150,10.37233928
0.11200,11.59311691
0.11250,11.2879225
0.11300,9.456756052
0.11350,8.846367237
0.11400,9.151561645
0.11450,8.846367237
0.11500,6.710006383
0.11550,4.878839937
0.11600,3.658062306
0.11650,3.658062306
0.11700,4.878839937
0.11750,7.625589606
0.11800,10.98272809
0.11850,12.20350572
0.11900,10.67753368
0.11950,7.625589606
0.12000,4.878839937
0.12050,3.352867898
0.12100,2.742479083
0.12150,3.047673491
0.12200,3.658062306
0.12250,3.352867898
0.12300,2.437284675
0.12350,1.521701452
0.12400,-0.004270586415
0.12450,-2.445825848
0.12500,-4.582186702
0.12550,-5.192575517
0.12600,-4.276992294
0.12650,-3.666603479
0.12700,-4.276992294
0.12750,-5.192575517
0.12800,-5.802964333
0.12850,-6.10815874
0.12900,-5.802964333
0.12950,-4.88738111
0.13000,-3.666603479
0.13050,-3.056214663
0.13100,-3.056214663
0.13150,-3.056214663
0.13200,-1.530242625
0.13250,-0.004270586415
0.13300,1.521701452
0.13350,1.82689586
0.13400,1.521701452
0.13450,0.9113126367
0.13500,0.606118229
0.13550,1.216507044
0.13600,3.047673491
0.13650,4.878839937
0.13700,5.184034345
0.13750,4.573645529
0.13800,3.963256714
0.13850,4.268451121
0.13900,4.878839937
0.13950,5.79442316
0.14000,7.015200791
0.14050,7.930784014
0.14100,7.930784014
0.14150,6.710006383
0.14200,8.235978422
0.14250,13.72947776
0.14300,20.44375473
0.14350,24.10608762
0.14400,23.80089321
0.14450,20.74894914
0.14500,17.39181065
0.14550,14.03467217
0.14600,10.98272809
0.14650,9.151561645
0.14700,7.930784014
0.14750,5.79442316
0.14800,3.352867898
0.14850,0.606118229
0.14900,-2.445825848
0.14950,-6.718547556
0.15000,-10.07568604
0.15050,-10.99126926
0.15100,-10.68607486
0.15150,-12.21204689
0.15200,-15.56918538
0.15250,-18.01074064
0.15300,-17.40035183
0.15350,-17.70554623
0.15400,-20.14710149
0.15450,-21.97826794
0.15500,-19.84190709
0.15550,-16.4847686
0.15600,-14.04321334
0.15650,-12.21204689
0.15700,-8.244519594
0.15750,-3.361409071
0.15800,-3.056214663
0.15850,-7.328936371
0.15900,-10.38088045
0.15950,-7.939325187
0.16000,-2.445825848
0.16050,1.521701452
0.16100,4.268451121
0.16150,7.625589606
0.16200,10.06714487
0.16250,10.67753368
0.16300,10.67753368
0.16350,10.98272809
0.16400,10.98272809
0.16450,10.37233928
0.16500,11.89831131
0.16550,16.78142184
0.16600,21.66453236
0.16650,23.1905044
0.16700,23.49569881
0.16750,24.71647644
0.16800,24.41128203
0.16850,19.83336591
0.16900,15.56064421
0.16950,17.08661624
0.17000,21.05414354
0.17050,17.08661624
0.17100,4.573645529
0.17150,-7.023741964
0.17200,-12.82243571
0.17250,-16.4847686
0.17300,-21.97826794
0.17350,-26.86137846
0.17400,-28.69254491
0.17450,-30.52371136
0.17500,-33.57565543
0.17550,-33.57565543
0.17600,-28.08215609
0.17650,-23.19904557
0.17700,-23.80943439
0.17750,-26.25098965
0.17800,-23.80943439
0.17850,-17.70554623
0.17900,-12.5172413
0.17950,-9.160102817
0.18000,-4.88738111
0.18050,-0.004270586415
0.18100,1.82689586
0.18150,1.521701452
0.18200,2.132090267
0.18250,4.573645529
0.18300,6.710006383
0.18350,7.320395198
0.18400,7.320395198
0.18450,6.710006383
0.18500,4.878839937
0.18550,2.437284675
0.18600,2.132090267
0.18650,3.658062306
0.18700,3.963256714
0.18750,2.742479083
0.18800,1.82689586
0.18850,1.521701452
0.18900,0.606118229
0.18950,-0.004270586415
0.19000,-0.004270586415
0.19050,1.216507044
0.19100,1.82689586
0.19150,1.82689586
0.19200,2.742479083
0.19250,4.268451121
0.19300,4.268451121
0.19350,3.352867898
0.19400,4.573645529
0.19450,9.456756052
0.19500,13.42428335
0.19550,12.81389454
0.19600,8.541172829
0.19650,5.489228752
0.19700,5.79442316
0.19750,7.015200791
0.19800,6.404811975
0.19850,4.268451121
0.19900,4.268451121
0.19950,7.015200791
0.20000,10.06714487
0.20050,10.67753368
0.20100,8.541172829
0.20150,6.099617568
0.20200,4.878839937
0.20250,3.963256714
0.20300,1.82689586
0.20350,0.3009238213
0.20400,0.3009238213
0.20450,1.216507044
0.20500,0.9113126367
0.20550,-0.3094649941
0.20600,-1.835437033
0.20650,-2.445825848
0.20700,-3.056214663
0.20750,-3.971797887
0.20800,-5.802964333
0.20850,-7.939325187
0.20900,-9.160102817
0.20950,-7.939325187
0.21000,-6.413353148
0.21050,-7.023741964
0.21100,-8.85490841
0.21150,-8.244519594
0.21200,-5.192575517
0.21250,-3.666603479
0.21300,-6.718547556
0.21350,-10.99126926
0.21400,-11.90685249
0.21450,-9.160102817
0.21500,-7.634130779
0.21550,-8.244519594
0.21600,-8.549714002
0.21650,-7.634130779
0.21700,-6.10815874
0.21750,-4.582186702
0.21800,-1.225048217
0.21850,3.047673491
0.21900,4.878839937
0.21950,3.352867898
0.22000,2.132090267
0.22050,3.352867898
0.22100,4.878839937
0.22150,3.352867898
0.22200,1.521701452
0.22250,3.658062306
0.22300,8.846367237
0.22350,12.81389454
0.22400,12.20350572
0.22450,9.76195046
0.22500,7.930784014
0.22550,7.015200791
0.22600,6.710006383
0.22650,7.625589606
0.22700,9.456756052
0.22750,10.06714487
0.22800,8.541172829
0.22850,5.79442316
0.22900,3.658062306
0.22950,1.82689586
0.23000,-0.004270586415
0.23050,-0.6146594018
0.23100,-0.004270586415
0.23150,-0.3094649941
0.23200,-2.445825848
0.23250,-5.802964333
0.23300,-7.634130779
0.23350,-8.244519594
0.23400,-9.160102817
0.23450,-10.99126926
0.23500,-11.90685249
0.23550,-10.68607486
0.23600,-8.549714002
0.23650,-6.413353148
0.23700,-4.88738111
