type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon Ultium-RT LAT. TRICEPS","s",0.00000,2000,61720,"uV"

time,value
0.00000,-16.75625588
0.00050,-16.75625588
0.00100,-16.14586707
0.00150,-15.23028384
0.00200,-12.78872858
0.00250,-8.821201281
0.00300,-5.769257204
0.00350,-3.938090758
0.00400,-2.106924312
0.00450,0.02943654207
0.00500,1.555408581
0.00550,1.860602988
0.00600,1.555408581
0.00650,1.555408581
0.00700,1.555408581
0.00750,0.02943654207
0.00800,-1.496535496
0.00850,-2.106924312
0.00900,-1.496535496
0.00950,-0.2757578656
0.01000,0.3346309498
0.01050,1.250214173
0.01100,2.776186211
0.01150,4.607352658
0.01200,6.133324696
0.01250,6.743713512
0.01300,5.828130288
0.01350,3.996963842
0.01400,3.386575027
0.01450,4.607352658
0.01500,5.828130288
0.01550,5.522935881
0.01600,3.996963842
0.01650,2.470991804
0.01700,0.9450197652
0.01750,0.3346309498
0.01800,0.02943654207
0.01850,0.02943654207
0.01900,0.02943654207
0.01950,0.02943654207
0.02000,1.250214173
0.02050,4.607352658
0.02100,7.354102327
0.02150,8.574879958
0.02200,8.26968555
0.02250,8.26968555
0.02300,8.574879958
0.02350,9.795657589
0.02400,11.01643522
0.02450,11.93201844
0.02500,12.84760167
0.02550,13.76318489
0.02600,14.67876811
0.02650,14.98396252
0.02700,15.28915693
0.02750,16.20474015
0.02800,18.0359066
0.02850,20.17226745
0.02900,20.78265627
0.02950,20.47746186
0.03000,20.78265627
0.03050,21.08785067
0.03100,19.86707304
0.03150,15.89954574
0.03200,11.01643522
0.03250,6.438519104
0.03300,3.386575027
0.03350,2.470991804
0.03400,3.386575027
0.03450,3.996963842
0.03500,3.996963842
0.03550,4.607352658
0.03600,6.133324696
0.03650,6.743713512
0.03700,4.607352658
0.03750,2.165797396
0.03800,0.6398253575
0.03850,0.02943654207
0.03900,-2.717313127
0.03950,-5.464062797
0.04000,-5.464062797
0.04050,-4.548479573
0.04100,-6.074451612
0.04150,-10.65236773
0.04200,-14.92508944
0.04250,-16.14586707
0.04300,-16.75625588
0.04350,-18.58742233
0.04400,-20.11339437
0.04450,-19.19781114
0.04500,-17.6718391
0.04550,-16.75625588
0.04600,-14.92508944
0.04650,-11.56795095
0.04700,-8.821201281
0.04750,-8.821201281
0.04800,-9.736784504
0.04850,-8.210812466
0.04900,-5.158868389
0.04950,-3.022507535
0.05000,-2.717313127
0.05050,-3.327701943
0.05100,-4.243285166
0.05150,-6.37964602
0.05200,-9.431590097
0.05250,-10.95756214
0.05300,-11.56795095
0.05350,-11.87314536
0.05400,-11.87314536
0.05450,-11.26275654
0.05500,-10.65236773
0.05550,-11.56795095
0.05600,-12.78872858
0.05650,-12.78872858
0.05700,-12.48353417
0.05750,-13.09392299
0.05800,-13.3991174
0.05850,-12.17833977
0.05900,-10.34717332
0.05950,-9.126395689
0.06000,-8.516006874
0.06050,-6.684840427
0.06100,-3.938090758
0.06150,-1.801729904
0.06200,-1.496535496
0.06250,-0.2757578656
0.06300,2.165797396
0.06350,3.996963842
0.06400,3.691769434
0.06450,3.081380619
0.06500,4.30215825
0.06550,6.438519104
0.06600,7.659296735
0.06650,8.880074365
0.06700,10.71124081
0.06750,12.54240726
0.06800,12.84760167
0.06850,12.84760167
0.06900,13.45799048
0.06950,13.76318489
0.07000,12.54240726
0.07050,11.01643522
0.07100,11.93201844
0.07150,14.3735737
0.07200,15.28915693
0.07250,14.0683793
0.07300,12.23721285
0.07350,11.62682403
0.07400,11.32162963
0.07450,10.100852
0.07500,9.490463181
0.07550,9.490463181
0.07600,8.26968555
0.07650,4.912547065
0.07700,0.3346309498
0.07750,-3.63289635
0.07800,-7.905618058
0.07850,-11.87314536
0.07900,-15.23028384
0.07950,-17.6718391
0.08000,-19.50300555
0.08050,-21.02897759
0.08100,-21.334172
0.08150,-20.11339437
0.08200,-17.97703351
0.08250,-15.23028384
0.08300,-11.56795095
0.08350,-6.684840427
0.08400,-2.41211872
0.08450,0.02943654207
0.08500,1.250214173
0.08550,3.691769434
0.08600,7.048907919
0.08650,10.100852
0.08700,12.54240726
0.08750,14.0683793
0.08800,15.28915693
0.08850,15.89954574
0.08900,16.50993456
0.08950,17.42551778
0.09000,17.73071219
0.09050,17.12032337
0.09100,17.42551778
0.09150,18.64629541
0.09200,19.86707304
0.09250,18.95148982
0.09300,16.81512897
0.09350,15.89954574
0.09400,16.81512897
0.09450,18.0359066
0.09500,18.0359066
0.09550,17.42551778
0.09600,17.73071219
0.09650,18.95148982
0.09700,19.56187863
0.09750,18.95148982
0.09800,16.81512897
0.09850,11.93201844
0.09900,6.133324696
0.09950,0.9450197652
0.10000,-2.41211872
0.10050,-5.464062797
0.10100,-8.821201281
0.10150,-13.09392299
0.10200,-18.28222792
0.10250,-23.16533844
0.10300,-26.21728252
0.10350,-26.21728252
0.10400,-23.77572726
0.10450,-22.55494963
0.10500,-23.77572726
0.10550,-25.3016993
0.10600,-25.91208811
0.10650,-25.3016993
0.10700,-25.3016993
0.10750,-25.3016993
0.10800,-23.16533844
0.10850,-18.58742233
0.10900,-13.7043118
0.10950,-10.04197891
0.11000,-6.990034835
0.11050,-4.853673981
0.11100,-4.243285166
0.11150,-4.853673981
0.11200,-5.464062797
0.11250,-6.074451612
0.11300,-6.990034835
0.11350,-6.990034835
0.11400,-6.37964602
0.11450,-4.853673981
0.11500,-3.327701943
0.11550,-2.106924312
0.11600,0.02943654207
0.11650,2.165797396
0.11700,3.691769434
0.11750,3.996963842
0.11800,4.30215825
0.11850,3.691769434
0.11900,2.165797396
0.11950,-0.2757578656
0.12000,-2.106924312
0.12050,-1.496535496
0.12100,0.02943654207
0.12150,1.250214173
0.12200,3.081380619
0.12250,4.912547065
0.12300,6.133324696
0.12350,6.438519104
0.12400,7.354102327
0.12450,8.574879958
0.12500,9.185268773
0.12550,9.490463181
0.12600,10.71124081
0.12650,13.45799048
0.12700,15.59435133
0.12750,14.98396252
0.12800,12.23721285
0.12850,10.100852
0.12900,9.795657589
0.12950,10.100852
0.13000,9.795657589
0.13050,9.795657589
0.13100,10.100852
0.13150,9.490463181
0.13200,8.26968555
0.13250,7.659296735
0.13300,8.574879958
0.13350,9.795657589
0.13400,9.795657589
0.13450,8.26968555
0.13500,6.133324696
0.13550,3.386575027
0.13600,0.9450197652
0.13650,-1.191341089
0.13700,-2.106924312
0.13750,-2.106924312
0.13800,-2.106924312
0.13850,-3.022507535
0.13900,-3.327701943
0.13950,-2.41211872
0.14000,-0.5809522733
0.14050,0.3346309498
0.14100,0.6398253575
0.14150,0.9450197652
0.14200,2.165797396
0.14250,3.691769434
0.14300,4.912547065
0.14350,6.438519104
0.14400,8.574879958
0.14450,11.32162963
0.14500,13.15279607
0.14550,13.45799048
0.14600,12.84760167
0.14650,12.23721285
0.14700,11.93201844
0.14750,11.62682403
0.14800,12.23721285
0.14850,13.15279607
0.14900,13.15279607
0.14950,11.93201844
0.15000,11.01643522
0.15050,11.62682403
0.15100,12.84760167
0.15150,13.45799048
0.15200,13.45799048
0.15250,13.76318489
0.15300,13.15279607
0.15350,11.93201844
0.15400,10.71124081
0.15450,11.32162963
0.15500,11.62682403
0.15550,9.795657589
0.15600,6.438519104
0.15650,4.30215825
0.15700,3.691769434
0.15750,1.860602988
0.15800,-1.801729904
0.15850,-6.074451612
0.15900,-8.516006874
0.15950,-9.736784504
0.16000,-11.87314536
0.16050,-14.00950621
0.16100,-15.84067266
0.16150,-17.06145029
0.16200,-17.6718391
0.16250,-17.06145029
0.16300,-15.23028384
0.16350,-14.61989503
0.16400,-16.14586707
0.16450,-19.80819996
0.16500,-22.24975522
0.16550,-22.24975522
0.16600,-20.72378318
0.16650,-17.06145029
0.16700,-12.78872858
0.16750,-8.821201281
0.16800,-6.37964602
0.16850,-5.158868389
0.16900,-2.41211872
0.16950,1.555408581
0.17000,6.133324696
0.17050,8.880074365
0.17100,10.100852
0.17150,10.4060464
0.17200,9.795657589
0.17250,8.26968555
0.17300,6.743713512
0.17350,6.743713512
0.17400,7.964491142
0.17450,9.185268773
0.17500,9.490463181
0.17550,10.4060464
0.17600,12.23721285
0.17650,13.76318489
0.17700,14.67876811
0.17750,14.67876811
0.17800,14.98396252
0.17850,15.28915693
0.17900,13.45799048
0.17950,8.574879958
0.18000,2.165797396
0.18050,-3.63289635
0.18100,-8.210812466
0.18150,-12.17833977
0.18200,-15.53547825
0.18250,-17.06145029
0.18300,-16.14586707
0.18350,-15.53547825
0.18400,-17.3666447
0.18450,-21.94456081
0.18500,-26.52247693
0.18550,-29.2692266
0.18600,-29.87961541
0.18650,-28.96403219
0.18700,-26.52247693
0.18750,-22.86014404
0.18800,-19.80819996
0.18850,-18.89261674
0.18900,-19.50300555
0.18950,-20.11339437
0.19000,-18.89261674
0.19050,-17.3666447
0.19100,-17.6718391
0.19150,-19.19781114
0.19200,-18.89261674
0.19250,-15.84067266
0.19300,-13.09392299
0.19350,-12.78872858
0.19400,-13.09392299
0.19450,-11.87314536
0.19500,-9.126395689
0.19550,-7.295229243
0.19600,-6.684840427
0.19650,-5.464062797
0.19700,-3.63289635
0.19750,-3.022507535
0.19800,-3.63289635
0.19850,-2.717313127
0.19900,0.02943654207
0.19950,2.776186211
0.20000,3.081380619
0.20050,3.081380619
0.20100,4.912547065
0.20150,7.659296735
0.20200,9.185268773
0.20250,9.185268773
0.20300,9.490463181
0.20350,10.100852
0.20400,10.4060464
0.20450,10.71124081
0.20500,12.54240726
0.20550,15.28915693
0.20600,16.50993456
0.20650,16.50993456
0.20700,17.12032337
0.20750,18.64629541
0.20800,20.47746186
0.20850,21.39304508
0.20900,22.0034339
0.20950,22.61382271
0.21000,22.91901712
0.21050,22.91901712
0.21100,23.22421153
0.21150,22.61382271
0.21200,20.47746186
0.21250,17.42551778
0.21300,13.76318489
0.21350,10.100852
0.21400,6.133324696
0.21450,2.470991804
0.21500,0.02943654207
0.21550,-0.886146681
0.21600,-1.801729904
0.21650,-1.801729904
0.21700,-0.886146681
0.21750,0.02943654207
0.21800,-0.886146681
0.21850,-4.548479573
0.21900,-8.821201281
0.21950,-11.87314536
0.22000,-14.00950621
0.22050,-16.14586707
0.22100,-17.6718391
0.22150,-18.89261674
0.22200,-19.19781114
0.22250,-18.89261674
0.22300,-16.75625588
0.22350,-13.7043118
0.22400,-10.95756214
0.22450,-9.431590097
0.22500,-9.126395689
0.22550,-8.821201281
0.22600,-8.210812466
0.22650,-7.60042365
0.22700,-6.37964602
0.22750,-4.243285166
0.22800,-2.41211872
0.22850,-1.496535496
0.22900,-0.2757578656
0.22950,1.860602988
0.23000,5.522935881
0.23050,7.659296735
0.23100,7.659296735
0.23150,7.354102327
0.23200,7.964491142
0.23250,8.880074365
0.23300,9.185268773
0.23350,9.185268773
0.23400,9.185268773
0.23450,9.490463181
0.23500,9.795657589
0.23550,9.795657589
0.23600,9.490463181
0.23650,8.880074365
0.23700,8.574879958
0.23750,9.185268773
0.23800,9.795657589
0.23850,9.795657589
0.23900,8.574879958
0.23950,7.354102327
0.24000,7.964491142
0.24050,8.880074365
0.24100,8.574879958
0.24150,6.133324696
0.24200,4.607352658
0.24250,5.522935881
0.24300,7.659296735
0.24350,8.574879958
0.24400,6.743713512
0.24450,4.30215825
0.24500,2.776186211
0.24550,2.776186211
0.24600,3.386575027
0.24650,4.912547065
0.24700,6.133324696
0.24750,6.133324696
0.24800,4.912547065
0.24850,3.691769434
0.24900,4.30215825
0.24950,6.438519104
0.25000,8.574879958
0.25050,11.32162963
0.25100,15.28915693
0.25150,20.78265627
0.25200,25.66576679
0.25250,28.41251646
0.25300,29.32809968
0.25350,29.32809968
0.25400,29.02290527
0.25450,29.02290527
0.25500,28.71771087
0.25550,28.41251646
0.25600,28.10732205
0.25650,28.10732205
0.25700,28.71771087
0.25750,29.02290527
0.25800,28.41251646
0.25850,26.88654442
0.25900,24.75018357
0.25950,22.3086283
0.26000,20.17226745
0.26050,18.341101
0.26100,15.59435133
0.26150,11.01643522
0.26200,4.30215825
0.26250,-2.41211872
0.26300,-7.905618058
0.26350,-13.09392299
0.26400,-20.11339437
0.26450,-28.35364337
0.26500,-36.28869797
0.26550,-41.47700291
0.26600,-44.52894698
0.26650,-46.36011343
0.26700,-46.66530784
0.26750,-45.1393358
0.26800,-41.47700291
0.26850,-37.2042812
0.26900,-32.93155949
0.26950,-29.87961541
0.27000,-28.35364337
0.27050,-28.35364337
0.27100,-28.96403219
0.27150,-28.96403219
0.27200,-27.43806015
0.27250,-24.08092167
0.27300,-19.80819996
0.27350,-16.14586707
0.27400,-14.31470062
0.27450,-13.7043118
0.27500,-13.3991174
0.27550,-13.3991174
0.27600,-13.09392299
0.27650,-12.48353417
0.27700,-12.17833977
0.27750,-13.3991174
0.27800,-16.45106147
0.27850,-17.97703351
0.27900,-16.45106147
0.27950,-14.31470062
0.28000,-14.00950621
0.28050,-15.53547825
0.28100,-15.53547825
0.28150,-13.7043118
0.28200,-12.17833977
0.28250,-11.26275654
0.28300,-10.04197891
0.28350,-7.60042365
0.28400,-6.37964602
0.28450,-7.60042365
0.28500,-10.04197891
0.28550,-10.95756214
0.28600,-10.34717332
0.28650,-10.04197891
0.28700,-10.34717332
0.28750,-11.26275654
0.28800,-11.87314536
0.28850,-10.95756214
0.28900,-9.126395689
0.28950,-6.990034835
0.29000,-4.853673981
0.29050,-3.63289635
0.29100,-3.022507535
0.29150,-3.63289635
0.29200,-4.243285166
0.29250,-5.464062797
0.29300,-6.37964602
0.29350,-7.295229243
0.29400,-8.516006874
0.29450,-9.431590097
0.29500,-9.126395689
0.29550,-6.990034835
0.29600,-4.853673981
0.29650,-3.327701943
0.29700,-3.022507535
0.29750,-2.106924312
0.29800,0.02943654207
0.29850,2.470991804
0.29900,5.522935881
0.29950,7.659296735
0.30000,7.354102327
0.30050,4.30215825
0.30100,0.9450197652
0.30150,0.02943654207
0.30200,0.9450197652
0.30250,2.470991804
0.30300,2.776186211
0.30350,2.470991804
0.30400,2.470991804
0.30450,3.081380619
0.30500,3.081380619
0.30550,2.776186211
0.30600,2.470991804
0.30650,2.470991804
0.30700,2.165797396
0.30750,1.555408581
0.30800,1.860602988
0.30850,3.081380619
0.30900,5.217741473
0.30950,6.743713512
0.31000,7.048907919
0.31050,6.438519104
0.31100,6.743713512
0.31150,7.964491142
0.31200,9.185268773
0.31250,9.490463181
0.31300,8.880074365
0.31350,9.185268773
0.31400,10.71124081
0.31450,13.15279607
0.31500,14.67876811
0.31550,15.28915693
0.31600,15.89954574
0.31650,16.81512897
0.31700,17.42551778
0.31750,16.20474015
0.31800,14.0683793
0.31850,12.54240726
0.31900,13.15279607
0.31950,14.67876811
0.32000,15.28915693
0.32050,13.76318489
0.32100,11.93201844
0.32150,10.4060464
0.32200,9.490463181
0.32250,8.574879958
0.32300,8.880074365
0.32350,10.4060464
0.32400,11.01643522
0.32450,8.26968555
0.32500,3.691769434
0.32550,0.6398253575
0.32600,1.555408581
0.32650,4.30215825
0.32700,3.996963842
0.32750,-0.5809522733
0.32800,-8.210812466
0.32850,-16.14586707
0.32900,-23.47053285
0.32950,-29.574421
0.33000,-33.2367539
0.33050,-34.76272594
0.33100,-35.37311475
0.33150,-36.89908679
0.33200,-37.81467001
0.33250,-35.98350357
0.33300,-31.40558745
0.33350,-25.91208811
0.33400,-21.94456081
0.33450,-19.19781114
0.33500,-17.06145029
