type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Upper arm RT-Pitch","s",0.0000,200,5320,"deg"

time,value
0.0000,-3.205723195
0.0050,-3.206994114
0.0100,-3.208265033
0.0150,-3.20953595
0.0200,-3.21067498
0.0250,-3.211628298
0.0300,-3.21234001
0.0350,-3.212753023
0.0400,-3.212809647
0.0450,-3.212452683
0.0500,-3.211627158
0.0550,-3.210282391
0.0600,-3.208374583
0.0650,-3.205869627
0.0700,-3.20274491
0.0750,-3.198989721
0.0800,-3.19460456
0.0850,-3.189599932
0.0900,-3.183995763
0.0950,-3.177821956
0.1000,-3.171119193
0.1050,-3.163939117
0.1100,-3.156343827
0.1150,-3.148404538
0.1200,-3.140199305
0.1250,-3.131810573
0.1300,-3.12332344
0.1350,-3.114824696
0.1400,-3.106401495
0.1450,-3.098138768
0.1500,-3.090116471
0.1550,-3.073382697
0.1600,-3.056789756
0.1650,-3.040265765
0.1700,-3.023904618
0.1750,-3.007711462
0.1800,-2.991813474
0.1850,-2.976150496
0.1900,-2.960885913
0.1950,-2.945745017
0.2000,-2.930841429
0.2050,-2.916184422
0.2100,-2.901569594
0.2150,-2.887071737
0.2200,-2.872743009
0.2250,-2.858610523
0.2300,-2.844634207
0.2350,-2.830770283
0.2400,-2.816834566
0.2450,-2.802898203
0.2500,-2.788927246
0.2550,-2.774987806
0.2600,-2.760939173
0.2650,-2.747055404
0.2700,-2.733006716
0.2750,-2.71904181
0.2800,-2.704996148
0.2850,-2.690782936
0.2900,-2.676594557
0.2950,-2.662282873
0.3000,-2.647905377
0.3050,-2.633418656
0.3100,-2.619035485
0.3150,-2.604591775
0.3200,-2.590109133
0.3250,-2.575489255
0.3300,-2.560805146
0.3350,-2.545993301
0.3400,-2.531127736
0.3450,-2.516042673
0.3500,-2.500932535
0.3550,-2.485485257
0.3600,-2.469918406
0.3650,-2.454279759
0.3700,-2.438644511
0.3750,-2.42291478
0.3800,-2.407125769
0.3850,-2.391257504
0.3900,-2.375183172
0.3950,-2.359077983
0.4000,-2.342981075
0.4050,-2.326887946
0.4100,-2.310752581
0.4150,-2.294798728
0.4200,-2.278850778
0.4250,-2.262945265
0.4300,-2.247249571
0.4350,-2.231479288
0.4400,-2.215643644
0.4450,-2.199724658
0.4500,-2.183935388
0.4550,-2.167983624
0.4600,-2.15198751
0.4650,-2.135941974
0.4700,-2.119826476
0.4750,-2.103604843
0.4800,-2.087274651
0.4850,-2.07083315
0.4900,-2.054311457
0.4950,-2.037672836
0.5000,-2.020963779
0.5050,-2.004085002
0.5100,-1.987182722
0.5150,-1.97034553
0.5200,-1.953326981
0.5250,-1.936283161
0.5300,-1.919184193
0.5350,-1.901962534
0.5400,-1.884713552
0.5450,-1.867451023
0.5500,-1.850081501
0.5550,-1.83250692
0.5600,-1.814709774
0.5650,-1.79660507
0.5700,-1.778484817
0.5750,-1.760119062
0.5800,-1.741590808
0.5850,-1.722849702
0.5900,-1.703910519
0.5950,-1.684894413
0.6000,-1.665762992
0.6050,-1.646476707
0.6100,-1.62697214
0.6150,-1.607397004
0.6200,-1.587681484
0.6250,-1.568001802
0.6300,-1.548254263
0.6350,-1.528375448
0.6400,-1.50838881
0.6450,-1.488517141
0.6500,-1.468618942
0.6550,-1.4488919
0.6600,-1.429204513
0.6650,-1.409620747
0.6700,-1.390209958
0.6750,-1.371024523
0.6800,-1.352083508
0.6850,-1.333264436
0.6900,-1.314666542
0.6950,-1.296358908
0.7000,-1.27827962
0.7050,-1.260442275
0.7100,-1.242893418
0.7150,-1.225416445
0.7200,-1.208184771
0.7250,-1.19122002
0.7300,-1.174360135
0.7350,-1.157719805
0.7400,-1.141315977
0.7450,-1.125026939
0.7500,-1.108748403
0.7550,-1.092610928
0.7600,-1.076495222
0.7650,-1.060306833
0.7700,-1.044009677
0.7750,-1.027689172
0.7800,-1.011262456
0.7850,-0.9948465985
0.7900,-0.9782185796
0.7950,-0.9616355526
0.8000,-0.9451203716
0.8050,-0.928764679
0.8100,-0.9125514026
0.8150,-0.8964684176
0.8200,-0.8806873364
0.8250,-0.8651721215
0.8300,-0.8499332959
0.8350,-0.8350608908
0.8400,-0.8204861482
0.8450,-0.8061844471
0.8500,-0.7922601683
0.8550,-0.7788841381
0.8600,-0.7659728722
0.8650,-0.7537778866
0.8700,-0.7420332164
0.8750,-0.7308675504
0.8800,-0.7202539233
0.8850,-0.7104678373
0.8900,-0.7014871436
0.8950,-0.6932532451
0.9000,-0.6856795289
0.9050,-0.678906081
0.9100,-0.6729658142
0.9150,-0.6678988711
0.9200,-0.6639130903
0.9250,-0.6607386865
0.9300,-0.6585780197
0.9350,-0.6574843055
0.9400,-0.6574216356
0.9450,-0.6583327325
0.9500,-0.6601377199
0.9550,-0.662872364
0.9600,-0.6664881276
0.9650,-0.6708269707
0.9700,-0.6758593164
0.9750,-0.6814426437
0.9800,-0.6874582807
0.9850,-0.6940110482
0.9900,-0.7010186634
0.9950,-0.7084163632
1.0000,-0.7160228276
1.0050,-0.7238202479
1.0100,-0.7317246103
1.0150,-0.7398064989
1.0200,-0.7480265569
1.0250,-0.7561403401
