type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Joints-Elbow RT-Flexion","s",0.0000,200,5348,"deg"

time,value
0.0000,1.499587439
0.0050,1.499776406
0.0100,1.499968092
0.0150,1.500162497
0.0200,1.500345851
0.0250,1.50051762
0.0300,1.500678103
0.0350,1.500827849
0.0400,1.500967644
0.0450,1.501099477
0.0500,1.501228344
0.0550,1.501364074
0.0600,1.501521921
0.0650,1.501721844
0.0700,1.501987896
0.0750,1.502347725
0.0800,1.502830513
0.0850,1.503463875
0.0900,1.504271793
0.0950,1.505273475
0.1000,1.506482042
0.1050,1.507903302
0.1100,1.509534898
0.1150,1.511366101
0.1200,1.513378971
0.1250,1.515549679
0.1300,1.517848676
0.1350,1.52024103
0.1400,1.522687628
0.1450,1.525146091
0.1500,1.527570768
0.1550,1.531343272
0.1600,1.534964053
0.1650,1.538329392
0.1700,1.541815936
0.1750,1.544930006
0.1800,1.548029692
0.1850,1.550775424
0.1900,1.553211498
0.1950,1.555134638
0.2000,1.55668217
0.2050,1.558049516
0.2100,1.559293747
0.2150,1.560304877
0.2200,1.561009124
0.2250,1.561608406
0.2300,1.562383917
0.2350,1.563107433
0.2400,1.563837184
0.2450,1.564644809
0.2500,1.565663028
0.2550,1.566755475
0.2600,1.568096524
0.2650,1.569606874
0.2700,1.571014292
0.2750,1.57288603
0.2800,1.574957415
0.2850,1.57712736
0.2900,1.579452289
0.2950,1.582168798
0.3000,1.585051921
0.3050,1.588252516
0.3100,1.591349965
0.3150,1.594579159
0.3200,1.59797234
0.3250,1.601646319
0.3300,1.605228999
0.3350,1.609167639
0.3400,1.613128471
0.3450,1.617203038
0.3500,1.62149232
0.3550,1.625904823
0.3600,1.630463907
0.3650,1.635110815
0.3700,1.639850053
0.3750,1.644763884
0.3800,1.649801013
0.3850,1.654881979
0.3900,1.659963179
0.3950,1.66500273
0.4000,1.670144742
0.4050,1.675220323
0.4100,1.680284439
0.4150,1.685143598
0.4200,1.689978019
