type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Forearm RT-Roll","s",0.0000,200,5348,"deg"

time,value
0.0000,-0.6066327996
0.0050,-0.5972725128
0.0100,-0.5879121501
0.0150,-0.5785517115
0.0200,-0.5683357061
0.0250,-0.5573017717
0.0300,-0.5455003696
0.0350,-0.5329934969
0.0400,-0.5198531847
0.0450,-0.5061602088
0.0500,-0.4920025583
0.0550,-0.477472747
0.0600,-0.4626644734
0.0650,-0.4476704004
0.0700,-0.4325821629
0.0750,-0.4174914534
0.0800,-0.4024901617
0.0850,-0.387669322
0.0900,-0.3731178073
0.0950,-0.3589210945
0.1000,-0.3451599863
0.1050,-0.3319094762
0.1100,-0.3192382404
0.1150,-0.3072089021
0.1200,-0.2958784483
0.1250,-0.2852982881
0.1300,-0.2755140807
0.1350,-0.2665651857
0.1400,-0.2584833761
0.1450,-0.251290938
0.1500,-0.24499823
0.1550,-0.231227649
0.1600,-0.2187298093
0.1650,-0.2072069857
0.1700,-0.1967213678
0.1750,-0.1872942009
0.1800,-0.1787344741
0.1850,-0.17115237
0.1900,-0.1644325553
0.1950,-0.1584756482
0.2000,-0.1534285045
0.2050,-0.1491980753
0.2100,-0.1457415354
0.2150,-0.142739839
0.2200,-0.1402356596
0.2250,-0.1382332212
0.2300,-0.1365847465
0.2350,-0.1352654489
0.2400,-0.1343158898
0.2450,-0.1338045092
0.2500,-0.1335803292
0.2550,-0.1336428013
0.2600,-0.133936911
0.2650,-0.1344077069
0.2700,-0.1350376601
0.2750,-0.1358921815
0.2800,-0.1369939794
0.2850,-0.1383753608
0.2900,-0.1399693727
0.2950,-0.1418984602
0.3000,-0.1441341444
0.3050,-0.1466209601
0.3100,-0.1495334422
0.3150,-0.1527075513
0.3200,-0.1563072438
0.3250,-0.1601660122
0.3300,-0.1643619075
0.3350,-0.1688238777
0.3400,-0.1736474285
0.3450,-0.1788514978
0.3500,-0.1842715122
0.3550,-0.1899735552
0.3600,-0.1959427832
0.3650,-0.202144027
0.3700,-0.208570028
0.3750,-0.2151641375
0.3800,-0.2219750566
0.3850,-0.2288449433
0.3900,-0.2357698387
0.3950,-0.2427129833
0.4000,-0.2497298137
0.4050,-0.2568321305
0.4100,-0.2640171471
0.4150,-0.2712118699
0.4200,-0.2784751572
0.4250,-0.2859297319
0.4300,-0.293434449
0.4350,-0.300917109
0.4400,-0.3084563365
0.4450,-0.3160059961
0.4500,-0.3236175304
0.4550,-0.3313491243
0.4600,-0.3390138842
0.4650,-0.346762194
0.4700,-0.354378461
0.4750,-0.3620067883
0.4800,-0.3696591158
0.4850,-0.3771638385
0.4900,-0.3845218671
0.4950,-0.3917415228
0.5000,-0.3986909799
