type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Segments-Forearm RT-Sensor Acceleration","s",0.0000,200,5348,"mG"

time,x,y,z
0.0000,1000.488281,-54.19921875,-41.015625
0.0050,1000,-51.7578125,-23.4375
0.0100,1001.953125,-50.78125,-37.109375
0.0150,1006.835938,-45.41015625,-30.2734375
0.0200,998.5351563,-49.31640625,-30.2734375
0.0250,1002.441406,-48.828125,-23.92578125
0.0300,1001.953125,-52.24609375,-26.3671875
0.0350,1008.300781,-50.78125,-26.85546875
0.0400,1001.464844,-51.7578125,-29.78515625
0.0450,1002.929688,-49.31640625,-19.53125
0.0500,999.0234375,-49.8046875,-22.4609375
0.0550,1003.90625,-42.48046875,-20.99609375
0.0600,998.046875,-45.8984375,-25.390625
0.0650,995.6054688,-47.8515625,-26.3671875
0.0700,996.09375,-44.921875,-6.8359375
0.0750,1001.464844,-44.921875,-12.20703125
0.0800,1004.394531,-39.0625,-13.671875
0.0850,1003.90625,-37.59765625,-7.8125
0.0900,1001.464844,-47.36328125,-14.16015625
0.0950,1004.882813,-48.828125,-22.4609375
0.1000,1009.277344,-49.31640625,-6.34765625
0.1050,1009.277344,-49.31640625,-9.27734375
0.1100,1008.300781,-49.8046875,-6.8359375
0.1150,998.5351563,-61.03515625,-20.5078125
0.1200,997.0703125,-53.22265625,-20.01953125
0.1250,998.5351563,-48.828125,-14.6484375
0.1300,1005.371094,-41.50390625,-9.27734375
0.1350,1004.882813,-40.52734375,-8.30078125
0.1400,995.1171875,-51.26953125,-12.20703125
0.1450,998.5351563,-47.36328125,-11.23046875
0.1500,996.5820313,-49.8046875,-7.8125
0.1550,1006.347656,-46.875,-20.01953125
0.1600,997.0703125,-51.7578125,-19.04296875
0.1650,1001.953125,-50.29296875,-13.18359375
0.1700,995.6054688,-50.78125,-15.13671875
0.1750,1003.90625,-47.36328125,-9.27734375
0.1800,1000.976563,-49.31640625,-7.8125
0.1850,1002.441406,-55.17578125,-25.390625
0.1900,994.6289063,-56.640625,-17.08984375
0.1950,1006.835938,-57.12890625,-23.4375
0.2000,1001.464844,-60.546875,-21.484375
0.2050,1003.90625,-55.17578125,-14.6484375
0.2100,1007.8125,-50.78125,-32.2265625
0.2150,1004.394531,-55.17578125,-32.2265625
0.2200,1011.71875,-45.8984375,-21.484375
0.2250,1009.277344,-47.36328125,-17.578125
0.2300,1005.371094,-50.78125,-28.3203125
0.2350,1004.882813,-46.38671875,-24.90234375
0.2400,998.5351563,-39.55078125,-21.484375
0.2450,1004.394531,-39.0625,-18.5546875
0.2500,999.5117188,-37.109375,-17.08984375
0.2550,1003.90625,-32.2265625,-31.25
0.2600,998.5351563,-41.9921875,-24.4140625
0.2650,1004.394531,-35.64453125,-25.87890625
0.2700,1000.976563,-39.0625,-24.90234375
0.2750,1001.953125,-40.52734375,-21.484375
0.2800,1000.976563,-37.109375,-20.99609375
0.2850,994.140625,-43.45703125,-23.92578125
0.2900,1000,-37.109375,-20.99609375
0.2950,1000.488281,-46.38671875,-13.18359375
0.3000,994.140625,-45.8984375,-17.578125
0.3050,1000.488281,-39.0625,-19.53125
0.3100,999.5117188,-41.50390625,-23.4375
0.3150,1004.882813,-39.55078125,-14.6484375
0.3200,995.1171875,-46.875,-32.71484375
0.3250,1000,-37.109375,-20.5078125
0.3300,997.5585938,-36.62109375,-12.20703125
0.3350,1003.90625,-38.57421875,-20.99609375
0.3400,1003.417969,-38.57421875,-24.90234375
0.3450,1002.441406,-40.0390625,-21.97265625
0.3500,1000.976563,-41.9921875,-21.97265625
0.3550,1005.371094,-38.0859375,-26.3671875
0.3600,1005.371094,-40.0390625,-24.4140625
0.3650,1002.441406,-41.9921875,-17.08984375
0.3700,1001.464844,-41.50390625,-20.99609375
0.3750,1005.859375,-43.45703125,-28.80859375
0.3800,1000,-42.48046875,-19.53125
0.3850,1005.859375,-37.109375,-20.5078125
0.3900,998.5351563,-45.41015625,-26.3671875
0.3950,1005.859375,-40.52734375,-32.71484375
0.4000,1001.464844,-42.96875,-17.08984375
0.4050,1002.929688,-40.0390625,-20.5078125
0.4100,1001.464844,-43.45703125,-23.92578125
0.4150,1007.324219,-44.921875,-37.109375
0.4200,999.5117188,-48.33984375,-9.765625
0.4250,1005.859375,-40.52734375,-38.57421875
0.4300,1000.976563,-50.29296875,-20.5078125
0.4350,1003.90625,-44.43359375,-17.08984375
0.4400,991.2109375,-49.8046875,-17.08984375
0.4450,991.6992188,-50.29296875,-13.18359375
0.4500,996.5820313,-39.0625,-33.203125
0.4550,1001.953125,-43.45703125,-21.484375
0.4600,997.5585938,-41.9921875,-24.90234375
0.4650,990.7226563,-45.8984375,-28.80859375
0.4700,999.0234375,-43.45703125,-28.80859375
0.4750,998.046875,-44.43359375,-21.484375
0.4800,992.6757813,-50.29296875,-22.4609375
0.4850,1000.976563,-44.43359375,-23.92578125
0.4900,1000.976563,-44.921875,-23.4375
0.4950,997.5585938,-48.828125,-20.99609375
0.5000,998.5351563,-51.26953125,-29.78515625
0.5050,1006.835938,-42.96875,-20.99609375
0.5100,999.0234375,-53.7109375,-19.04296875
0.5150,1010.742188,-44.921875,-28.3203125
0.5200,999.5117188,-52.24609375,-22.94921875
0.5250,1002.441406,-50.29296875,-18.06640625
0.5300,1007.324219,-46.38671875,-28.3203125
0.5350,1005.371094,-48.828125,-20.01953125
0.5400,1001.953125,-51.7578125,-26.3671875
0.5450,1002.929688,-48.33984375,-26.85546875
0.5500,993.6523438,-50.29296875,-25.87890625
0.5550,999.5117188,-45.41015625,-24.4140625
0.5600,999.5117188,-40.52734375,-22.94921875
0.5650,996.09375,-46.875,-34.1796875
