type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Elbow RT","s",0.0000,200,5348,"mm"

time,x,y,z
0.0000,-44.12974778,255.7615178,1232.265617
0.0050,-44.0890145,255.7520728,1232.264986
0.0100,-44.04827865,255.7426385,1232.264362
0.0150,-44.00754022,255.7332151,1232.263744
0.0200,-43.96457159,255.7228318,1232.263066
0.0250,-43.91979005,255.71153,1232.262334
0.0300,-43.87364093,255.6993645,1232.26155
0.0350,-43.82657696,255.6863945,1232.260718
0.0400,-43.77904055,255.6726746,1232.259841
0.0450,-43.73145148,255.6582503,1232.258923
0.0500,-43.68419782,255.6431642,1232.257964
0.0550,-43.63762805,255.6274694,1232.256967
0.0600,-43.59204575,255.6112411,1232.255936
0.0650,-43.54770661,255.5945805,1232.254874
0.0700,-43.50481547,255.577613,1232.253789
0.0750,-43.46352678,255.5604831,1232.252688
0.0800,-43.42394999,255.5433441,1232.25158
0.0850,-43.38615458,255.5263463,1232.250471
0.0900,-43.35017428,255.5096328,1232.24937
0.0950,-43.31601497,255.4933394,1232.248285
0.1000,-43.28366691,255.477593,1232.247224
0.1050,-43.25311642,255.4625087,1232.246193
0.1100,-43.22435477,255.4481881,1232.245199
0.1150,-43.197385,255.4347211,1232.244249
0.1200,-43.17222248,255.4221895,1232.243348
0.1250,-43.1488864,255.4106664,1232.242504
0.1300,-43.1273875,255.4002067,1232.241721
0.1350,-43.10771768,255.3908404,1232.241002
0.1400,-43.08984465,255.3825726,1232.240351
0.1450,-43.07371349,255.3753893,1232.239769
0.1500,-43.05925247,255.3692587,1232.239255
0.1550,-43.01990206,255.3548677,1232.238195
0.1600,-42.98328298,255.3412408,1232.23719
0.1650,-42.94958293,255.3278198,1232.236205
0.1700,-42.91815152,255.3167531,1232.235371
0.1750,-42.88908477,255.305409,1232.234532
0.1800,-42.86265905,255.2953791,1232.233774
0.1850,-42.8391982,255.2863344,1232.233095
0.1900,-42.81717594,255.2774498,1232.23244
0.1950,-42.79757982,255.2682461,1232.231783
0.2000,-42.7799543,255.258998,1232.231137
0.2050,-42.76427556,255.2496914,1232.230489
0.2100,-42.74957188,255.2414229,1232.229917
0.2150,-42.73714945,255.2335464,1232.229374
0.2200,-42.72610761,255.2265005,1232.228901
0.2250,-42.71629038,255.2204001,1232.228494
0.2300,-42.70804316,255.2155235,1232.228154
0.2350,-42.70140196,255.2113035,1232.227853
0.2400,-42.69555957,255.2078031,1232.227598
0.2450,-42.69156843,255.2052956,1232.227397
0.2500,-42.68850225,255.2031199,1232.227201
0.2550,-42.6863998,255.201284,1232.227019
0.2600,-42.68550337,255.2000155,1232.226854
0.2650,-42.68493678,255.1992428,1232.226712
0.2700,-42.68568433,255.1978125,1232.226524
0.2750,-42.6873055,255.1979762,1232.226412
0.2800,-42.69029922,255.1981156,1232.22628
0.2850,-42.69392392,255.198258,1232.226138
0.2900,-42.69766551,255.1971113,1232.225898
0.2950,-42.70123617,255.1956973,1232.225615
0.3000,-42.70484026,255.1935243,1232.22527
0.3050,-42.70849152,255.1912736,1232.2249
0.3100,-42.71206045,255.1867144,1232.224377
0.3150,-42.71589928,255.1814712,1232.223797
0.3200,-42.72007193,255.1762668,1232.223208
0.3250,-42.72414927,255.1701157,1232.222537
0.3300,-42.72891296,255.1628808,1232.221793
0.3350,-42.73368329,255.1553761,1232.221009
0.3400,-42.73965691,255.1473532,1232.220181
0.3450,-42.74486008,255.1383569,1232.219284
0.3500,-42.75094127,255.1291998,1232.218358
0.3550,-42.75761348,255.1194897,1232.217384
0.3600,-42.76418166,255.1092479,1232.216365
0.3650,-42.77121086,255.0988182,1232.215325
0.3700,-42.77862591,255.088241,1232.214268
0.3750,-42.78663448,255.0775034,1232.213187
0.3800,-42.79474213,255.0669086,1232.212108
0.3850,-42.80381998,255.0558687,1232.210991
0.3900,-42.81452175,255.0444675,1232.209842
0.3950,-42.8262495,255.0327979,1232.208672
0.4000,-42.839017,255.020984,1232.207482
0.4050,-42.8517275,255.0088902,1232.206277
0.4100,-42.86510979,254.9972418,1232.205101
0.4150,-42.87918522,254.984698,1232.203874
0.4200,-42.89396293,254.971583,1232.202607
0.4250,-42.9096257,254.9593763,1232.201396
0.4300,-42.9259834,254.9474841,1232.200204
0.4350,-42.94252435,254.9367162,1232.199079
0.4400,-42.95988811,254.9258302,1232.197949
0.4450,-42.97958467,254.9156109,1232.196869
0.4500,-42.99949542,254.9063362,1232.195851
0.4550,-43.01904755,254.8981098,1232.194909
0.4600,-43.04002897,254.8912936,1232.194064
0.4650,-43.06253151,254.8853252,1232.193288
0.4700,-43.0861643,254.8806547,1232.192598
0.4750,-43.11061633,254.8781832,1232.192054
0.4800,-43.1356002,254.8769619,1232.191612
0.4850,-43.16111101,254.8769441,1232.191251
0.4900,-43.18784437,254.8787312,1232.191018
0.4950,-43.21441031,254.8822583,1232.190907
0.5000,-43.24225849,254.8867862,1232.190879
0.5050,-43.27063475,254.8921609,1232.190926
0.5100,-43.29981286,254.8979206,1232.191025
0.5150,-43.32922799,254.9047693,1232.191203
0.5200,-43.35981392,254.9115696,1232.191402
0.5250,-43.39095704,254.9190491,1232.191654
0.5300,-43.42206074,254.926826,1232.19195
0.5350,-43.45373449,254.9349615,1232.192284
0.5400,-43.48578304,254.9419941,1232.192561
0.5450,-43.51695416,254.948361,1232.192816
0.5500,-43.54804872,254.9536919,1232.193029
0.5550,-43.57987425,254.9591228,1232.193253
0.5600,-43.61115076,254.9636601,1232.193437
0.5650,-43.64192462,254.9683987,1232.193639
0.5700,-43.67168184,254.9737985,1232.19388
0.5750,-43.69998187,254.9791955,1232.194124
0.5800,-43.72710266,254.9849,1232.194392
0.5850,-43.75304808,254.9912044,1232.19469
0.5900,-43.77803597,254.9979179,1232.195016
0.5950,-43.80246495,255.0042313,1232.195315
0.6000,-43.82614866,255.0094025,1232.195541
0.6050,-43.84910649,255.0141053,1232.195733
0.6100,-43.87199969,255.0177032,1232.19583
0.6150,-43.89376478,255.0196689,1232.1958
0.6200,-43.91478142,255.0195102,1232.195591
0.6250,-43.93605785,255.0177993,1232.195235
0.6300,-43.95706194,255.0129791,1232.194634
0.6350,-43.97789827,255.0059626,1232.193843
0.6400,-43.99797446,254.9956167,1232.192776
0.6450,-44.01940278,254.9831416,1232.191494
0.6500,-44.04051522,254.9669112,1232.189894
0.6550,-44.06304829,254.9471821,1232.187972
0.6600,-44.08809404,254.9240201,1232.185715
0.6650,-44.11606415,254.8964271,1232.183061
0.6700,-44.14776627,254.8641273,1232.179979
0.6750,-44.18409311,254.8271569,1232.176462
0.6800,-44.2257116,254.7839755,1232.172413
0.6850,-44.27268061,254.7359525,1232.167903
0.6900,-44.32440292,254.6825277,1232.162902
0.6950,-44.38160499,254.6238231,1232.157419
0.7000,-44.44309132,254.5580609,1232.151364
0.7050,-44.51093863,254.4868137,1232.144827
0.7100,-44.58359482,254.4094769,1232.137787
0.7150,-44.65992264,254.32665,1232.130273
0.7200,-44.74063928,254.2370264,1232.122218
0.7250,-44.82609491,254.1402144,1232.113598
0.7300,-44.91429955,254.0353968,1232.104365
0.7350,-45.0060106,253.922695,1232.094521
0.7400,-45.10058567,253.8037399,1232.084164
0.7450,-45.19738873,253.6778936,1232.073246
0.7500,-45.2963002,253.5461841,1232.061835
0.7550,-45.39808421,253.4090157,1232.049955
0.7600,-45.50131661,253.2665527,1232.037616
0.7650,-45.60523472,253.1200774,1232.024899
0.7700,-45.70928643,252.9689518,1232.011784
0.7750,-45.81279172,252.8138238,1231.998313
0.7800,-45.91481813,252.6545316,1231.984478
0.7850,-46.01382472,252.4907648,1231.970283
0.7900,-46.10962258,252.3224579,1231.955747
0.7950,-46.20101964,252.1496251,1231.940879
0.8000,-46.28545066,251.972367,1231.925693
0.8050,-46.36353034,251.7905073,1231.910214
0.8100,-46.43382748,251.6031085,1231.894412
0.8150,-46.4948111,251.4105858,1231.878341
0.8200,-46.54512881,251.2135318,1231.862029
0.8250,-46.58394277,251.0122289,1231.845529
0.8300,-46.61149553,250.8063689,1231.828852
0.8350,-46.62569763,250.5969056,1231.812041
0.8400,-46.62692204,250.3855538,1231.795215
0.8450,-46.61638629,250.1732438,1231.778433
0.8500,-46.59304084,249.960401,1231.761721
0.8550,-46.55686935,249.7477147,1231.745138
0.8600,-46.50987837,249.5367516,1231.728753
0.8650,-46.45356167,249.3268684,1231.712582
0.8700,-46.38987535,249.1191632,1231.696687
0.8750,-46.32072449,248.9135341,1231.681083
0.8800,-46.2456237,248.7096969,1231.665764
0.8850,-46.16817825,248.5089715,1231.650811
0.8900,-46.08888068,248.3108664,1231.636202
0.8950,-46.00915268,248.114962,1231.621939
0.9000,-45.93001028,247.9239361,1231.608126
0.9050,-45.85362566,247.7354645,1231.594696
0.9100,-45.78133777,247.5504014,1231.581689
