type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Segments-Upper arm RT-Acceleration","s",0.0000,200,5092,"mG"

time,x,y,z
0.0000,-18.36341621,5.45723368,-3.413099669
0.0050,-23.99206251,0.9677841502,-9.126978223
0.0100,-15.60763552,10.0411993,-12.64407314
0.0150,-17.61057467,-8.681021019,-18.94950618
0.0200,-15.54370675,-2.392490784,-19.9498777
0.0250,-13.00261205,-1.986135426,-15.45797495
0.0300,-12.47609534,-3.932729059,-16.69548068
0.0350,-23.15701847,-7.084373269,-19.35857829
0.0400,-8.061711643,-4.403143164,-14.59374457
0.0450,-16.18485174,6.207341192,-13.40242728
0.0500,-28.6711068,-1.472021441,-18.53961917
0.0550,-18.0936029,-2.430270904,-16.62349143
0.0600,-25.33598234,-4.118249958,-22.36710388
0.0650,-31.88874426,10.22541772,-22.24751545
0.0700,-21.57363532,-2.048040969,-19.50933025
0.0750,-30.1608418,-4.256360666,-20.56385275
0.0800,-20.54539212,-1.694298531,-18.75299724
0.0850,-23.43525638,3.480542797,-15.90700943
0.0900,-31.68225892,14.30146596,-12.71064287
0.0950,-28.72017188,2.257739452,-2.126456533
0.1000,-23.57043861,8.504287342,-0.711760522
0.1050,-16.0863609,9.463473169,11.35919199
0.1100,-18.98738652,14.16783484,7.693137693
0.1150,-21.4138431,7.828246755,10.68057935
0.1200,-19.16938381,12.1215533,7.502008112
0.1250,-17.14218964,10.96928341,12.01089935
0.1300,-18.22787318,9.285139773,6.074315845
0.1350,-17.13880618,0.9874023634,4.291490953
0.1400,-20.38981322,1.17607481,-0.1269135077
0.1450,-23.06094396,-2.056278075,-0.413300031
0.1500,-20.35414177,-10.4609278,3.93811487
0.1550,-20.74224027,-4.186528343,-0.5971871681
0.1600,-27.27944881,3.327950846,-0.9506358641
0.1650,-31.46358483,-3.521923934,3.267765611
0.1700,-27.407041,6.286697804,-1.838741866
0.1750,-29.21612428,-5.210283757,-0.3698609866
0.1800,-24.84034826,-3.298570213,-5.051940605
0.1850,-34.85556379,-2.250914648,-15.6506683
0.1900,-17.78043765,2.69858571,-8.01587705
0.1950,-23.44653098,-9.940718573,-13.36133932
0.2000,-22.29163839,1.112193103,-14.84014039
0.2050,-25.41105067,-4.525033801,-13.68785722
0.2100,-19.80398907,-8.256606603,-12.48885653
0.2150,-10.47034489,-5.510424944,-5.546474908
0.2200,-14.380134,-4.938528128,-4.806701508
0.2250,-17.89789662,-12.4329517,-8.145477355
0.2300,-16.19510708,-0.5715674371,-10.10305625
0.2350,-15.27583283,1.227839595,-6.65735744
0.2400,-17.2038116,-4.149400441,-7.120161751
0.2450,-21.22956688,0.6649782752,-2.566556126
0.2500,-17.16081002,-6.490532674,-4.230254369
0.2550,-11.57113962,-10.5567547,3.482475021
0.2600,-14.70804061,-3.932542644,3.533533469
0.2650,-8.735275442,2.884999743,2.956792609
0.2700,-8.978336466,-10.02002766,4.169685779
0.2750,-4.428456199,-2.172755735,12.38661046
0.2800,-7.246301271,-1.617397499,2.030431977
0.2850,-14.17449403,-10.97498071,-2.258336547
0.2900,-1.315914616,-9.082563924,-1.455324528
0.2950,-10.66766008,-6.082943393,-1.981135389
0.3000,-4.905625843,-4.774109242,-0.4377767474
0.3050,-18.69852789,-11.13258419,-7.252803753
0.3100,-19.32448677,1.496086669,-13.72465565
0.3150,-17.75302868,-7.947956657,-2.188081052
0.3200,-17.0058078,-1.146162995,-3.365516648
0.3250,-20.67628673,10.17576687,-0.4542197861
0.3300,-18.84402369,2.10476048,8.104744279
0.3350,-9.32964435,16.86376386,17.26740917
0.3400,-17.48035662,20.93694947,15.01925421
0.3450,1.246583533,24.55941202,30.19390082
0.3500,-3.083529173,16.09904705,27.91855465
0.3550,13.37112067,24.06663627,35.31962248
0.3600,16.28458035,12.91227129,21.5933012
0.3650,14.88752744,10.12483573,15.66695061
0.3700,21.98315703,2.683041364,12.85949617
0.3750,26.0479269,3.623463806,6.17695878
0.3800,31.13163962,-4.801275175,-5.737038745
0.3850,25.65079807,-5.638236392,-14.27504258
0.3900,38.30304736,-13.06235936,-13.12322072
0.3950,24.6392214,-15.2061383,-23.238077
0.4000,33.30789874,-5.310131312,-18.23085952
0.4050,39.40505844,-16.0515426,-11.63834761
0.4100,36.64935364,-0.9308501943,-9.189548351
0.4150,32.90227642,-5.57872057,-6.888046268
0.4200,30.3836533,-0.3736985615,-0.193689294
0.4250,24.08617034,-0.0417154384,4.370875807
0.4300,19.35650101,6.003336955,9.509568335
0.4350,17.46542048,7.305128771,21.76707419
0.4400,26.40750191,15.62271254,25.60049193
0.4450,22.0106514,16.29875039,30.27572581
0.4500,22.00011928,16.45563069,24.17864206
0.4550,37.09407977,10.52201996,27.95790927
0.4600,43.63923572,16.02524311,29.53129588
0.4650,55.77944468,12.69614414,33.03581035
0.4700,56.92761437,3.427759018,28.63500572
0.4750,60.32718504,-11.18202863,21.98536275
0.4800,59.72424947,-8.45346429,11.7220783
0.4850,57.983131,-23.55667715,14.84944905
0.4900,48.79469951,-33.87275123,5.645468004
0.4950,40.44440288,-22.14258054,3.237339139
0.5000,18.54577974,-43.50143143,-2.672644613
0.5050,12.81465544,-42.19877654,3.645365557
0.5100,-0.1864183507,-44.39915121,-3.461189248
0.5150,-3.637333009,-43.97686622,-6.994284751
0.5200,-12.87109445,-38.80883653,-17.19512204
0.5250,-18.01637804,-41.33754723,-16.67958697
0.5300,-14.6179691,-35.82591795,-27.87515031
0.5350,-31.95535177,-45.15786079,-34.83891333
0.5400,-14.5722095,-24.95856792,-29.35992817
0.5450,-24.15742087,-22.75605802,-36.25114099
0.5500,-11.379053,-29.87655095,-23.02498471
0.5550,-22.20550734,-25.99910208,-30.146741
0.5600,-11.94962455,-15.62655006,-24.67890459
0.5650,-14.73945031,-19.70468161,-15.27662352
0.5700,-31.55756866,-26.78174043,-19.30323815
0.5750,-38.82937127,-19.15020273,-14.35957783
0.5800,-53.45441901,-17.420121,-19.09164072
0.5850,-63.59319399,-21.26841882,-8.058045034
0.5900,-94.84625367,-16.49892393,-15.53525818
0.5950,-96.02430241,-6.863514713,-10.79435057
0.6000,-110.9028115,-9.872614725,-4.340936237
0.6050,-126.1311134,-6.973123502,-6.341222279
0.6100,-126.2296172,-15.85366304,-7.824019771
0.6150,-133.6754679,-15.40785364,-1.63716608
0.6200,-139.4427411,-17.97134058,-7.71828971
0.6250,-145.0537942,-7.235886889,-7.976310238
0.6300,-145.8374275,-12.71486029,-8.464861868
0.6350,-155.7794924,-20.02621336,-12.12718458
0.6400,-148.2448486,-7.828627768,-4.822836608
0.6450,-151.1506374,2.644932914,-2.452110256
0.6500,-151.4310974,1.60857397,-0.7195701511
0.6550,-144.5571756,-0.2964552144,3.837636062
0.6600,-135.4857226,8.362906904,8.672234026
0.6650,-133.8374113,27.36245292,13.31706066
0.6700,-121.5526559,15.85030275,13.44560954
0.6750,-106.8229185,34.92279328,9.487545903
0.6800,-96.57165995,8.773330226,10.5838636
0.6850,-85.94554363,19.13027322,11.7045189
0.6900,-80.23526276,15.57583805,5.895613077
0.6950,-66.43693003,6.248913844,2.874073541
0.7000,-75.62803958,7.036089381,-18.03379663
0.7050,-65.00711642,-8.367216797,-13.91513426
0.7100,-64.74717664,-14.62472348,-20.39858045
0.7150,-69.38876201,-20.46097262,-20.54477353
0.7200,-63.35437345,-21.97920246,-19.31184054
0.7250,-73.77839855,-33.16983602,-18.11562249
0.7300,-62.96380405,-9.538033323,-3.062603801
0.7350,-61.98597361,-5.267870338,20.74982129
0.7400,-53.80918637,-7.186749139,42.46480926
0.7450,-47.06934395,1.844780245,53.51861093
0.7500,-36.89937662,7.843955161,54.35120157
0.7550,-29.51868916,3.512059383,38.2801691
0.7600,-32.01763522,-0.6671761104,19.59724423
0.7650,-43.74836347,-22.18024483,4.429661858
0.7700,-51.46127392,-18.84899317,-10.90618144
0.7750,-63.47582132,-31.62291114,-30.56371387
0.7800,-74.72036266,-26.07806367,-56.56818883
0.7850,-74.25479581,-43.0380788,-67.40153314
0.7900,-59.03300648,-32.84364002,-71.25724621
0.7950,-41.39643187,-34.05254352,-73.62626032
0.8000,-22.94942148,-51.75974464,-82.25891053
0.8050,-4.062762937,-69.62368935,-74.51920302
0.8100,20.65707956,-77.52582523,-74.14569133
0.8150,37.39425411,-70.96985245,-64.19290891
0.8200,45.75798237,-62.43874394,-58.49180706
0.8250,71.65080337,-54.59347084,-29.57197459
0.8300,95.03440795,-19.13088753,-4.165515104
0.8350,121.1988369,-0.8990630263,22.64639471
0.8400,133.6088061,18.41531511,34.80573113
0.8450,143.8621655,40.78946872,49.83352167
0.8500,156.4613497,47.75019931,46.1415739
0.8550,157.2863492,42.73144315,45.36858334
0.8600,163.4592753,60.68940184,45.56946728
0.8650,152.3140479,43.45785013,41.37955715
0.8700,170.1519115,24.13658911,57.91599615
0.8750,148.5693554,19.30139286,54.63823908
0.8800,155.2594006,-2.949158336,67.21335279
0.8850,155.2821902,-17.72002106,77.27565661
0.8900,150.0743021,-39.38341375,76.5661557
0.8950,154.751742,-12.72820802,75.86741756
0.9000,136.8110133,-25.15167734,54.85994456
0.9050,128.201901,-10.29460813,37.01995116
0.9100,115.8066127,9.775448117,25.32396831
0.9150,104.3358068,21.25845901,28.39675992
0.9200,83.40973207,23.52441519,27.03833596
0.9250,63.98564014,37.36694281,38.55612685
0.9300,61.68783402,51.11301418,49.92768792
0.9350,44.71108376,45.82824749,46.2562954
0.9400,35.68844974,46.01997651,39.35329441
0.9450,24.03483578,28.08485246,33.91058689
0.9500,20.97800342,29.48854482,26.30945231
0.9550,12.98856352,11.46063359,17.19128113
0.9600,-1.976528582,5.076981168,2.212045151
0.9650,-13.63343342,-0.7329257556,-7.461351732
0.9700,-26.58655772,-8.689241987,-16.36913576
0.9750,-37.02343817,4.073534638,-25.79102915
0.9800,-39.80620816,5.469366037,-23.98031278
0.9850,-48.87252248,-12.84240277,-25.99173742
0.9900,-49.01790826,6.952730829,-32.60881796
0.9950,-47.49867178,-3.940240937,-35.3449323
1.0000,-47.39503584,-9.968499741,-41.88734627
1.0050,-51.06284729,-24.22367449,-56.00148234
1.0100,-53.72686559,-31.87732529,-72.94822061
1.0150,-35.93775705,-34.83523126,-80.91794227
1.0200,-30.41799144,-40.94878025,-87.47651866
1.0250,-14.16176441,-52.52840956,-90.90347837
1.0300,-5.570178394,-63.19227155,-96.83398382
1.0350,12.76160815,-74.71248955,-92.5362263
1.0400,25.88129124,-76.95579954,-93.45723695
1.0450,38.64678418,-72.44731337,-87.46998229
1.0500,48.02952069,-90.19170315,-72.25076007
1.0550,54.10912763,-63.96989534,-68.65612532
1.0600,59.30614294,-80.03326241,-50.62002994
1.0650,59.85663142,-58.7605577,-29.52624776
1.0700,78.11782538,-32.75330834,-4.356559112
1.0750,80.010917,-6.78751859,29.10435817
1.0800,83.71541412,19.86815403,58.17289632
1.0850,88.62049165,55.93066181,91.53871321
1.0900,79.97194858,71.39428083,106.7610888
1.0950,84.78203828,82.25627744,123.3047118
1.1000,71.510246,80.62435364,123.7516202
1.1050,37.10396812,61.51431168,112.8480723
1.1100,5.575303129,60.14051044,106.1117318
1.1150,-32.17850744,47.04626028,96.03202532
1.1200,-61.30462353,40.89741721,91.51506592
1.1250,-108.5985876,46.24318999,77.27654246
1.1300,-120.0115552,43.55568701,78.3406343
1.1350,-136.5992724,46.84850215,65.14012367
1.1400,-132.8104915,38.01815594,67.66878212
1.1450,-118.2847579,29.46615684,52.47418801
1.1500,-100.5691469,26.92159908,46.34687284
1.1550,-74.67601428,6.764463329,31.56743928
1.1600,-48.51617917,-2.983953545,8.925660788
1.1650,-35.08248098,-11.22212116,-7.114503491
1.1700,-24.64876458,-18.61746253,-23.67081466
1.1750,4.194657694,-13.77156685,-12.5755767
1.1800,7.562577414,-11.75656798,-19.29705941
1.1850,8.398865567,-14.92993955,-18.96006816
1.1900,11.76213383,-8.753830946,-14.38977438
1.1950,7.720109421,-9.768581539,-15.73547779
1.2000,2.587376399,-14.34767236,-11.35423472
1.2050,2.210201186,-5.325372416,-7.209352954
1.2100,-2.421169085,-4.268547567,-8.496138184
1.2150,-10.26570041,6.6619652,-9.035177875
1.2200,-18.4496056,-17.33092851,-8.070430636
1.2250,-27.29359469,-6.553521718,-12.37849317
1.2300,-15.28429948,-5.926993339,-8.570583523
1.2350,-32.21896969,-13.9353941,-16.00708416
1.2400,-31.05982997,-8.285105509,-22.33524234
1.2450,-22.19812315,-35.23404046,-15.40688863
1.2500,-33.13081029,-23.03103256,-31.21845647
1.2550,-32.08343203,-35.89765045,-32.68198157
1.2600,-39.73343835,-32.62943208,-42.41552433
1.2650,-33.74522872,-25.11324246,-39.64653906
1.2700,-30.25804247,-23.33213785,-39.28786313
1.2750,-33.96894722,-32.20051646,-37.04830767
1.2800,-29.8773336,-8.0679492,-39.11312597
1.2850,-34.64087991,-28.86086198,-31.52036047
1.2900,-35.02035164,-24.25126586,-30.97941207
1.2950,-35.94019034,-28.19750894,-23.77772774
1.3000,-35.25435078,-18.74657372,-21.47669905
1.3050,-39.28664317,-46.76814429,-14.837512
1.3100,-53.81002339,-39.99330781,-18.77763707
1.3150,-59.19524339,-41.39170384,-14.75177948
1.3200,-78.13823259,-44.37198847,-21.73813949
1.3250,-91.65875339,-46.22060831,-21.22189795
1.3300,-89.5131517,-43.11344156,-18.00552959
1.3350,-94.58122211,-38.04823501,-17.51351942
1.3400,-103.2823078,-33.91174349,-28.28155786
1.3450,-110.45697,-31.84538263,-27.89618737
1.3500,-113.9835426,-32.47474741,-44.96615951
