type,name,time_units,begin_time,frequency,count,units
signal_4d,"Noraxon MyoMotion-Segments-Upper arm RT-Orientation","s",0.0000,200,5092,""

time,x,y,z,w
0.0000,0.6723116311,-0.2307074214,-0.2338560206,0.6633871555
0.0050,0.6723002965,-0.2308935277,-0.2340032426,0.6632819707
0.0100,0.6722889165,-0.2310796181,-0.2341504486,0.6631767413
0.0150,0.6722774912,-0.2312656926,-0.2342976386,0.6630714674
0.0200,0.6722645078,-0.2314659263,-0.2344543749,0.6629593522
0.0250,0.6722499188,-0.2316791286,-0.2346193668,0.6628412938
0.0300,0.6722336899,-0.231903961,-0.2347911761,0.662718283
0.0350,0.6722158007,-0.2321389934,-0.2349682633,0.6625913675
0.0400,0.6721962479,-0.2323827419,-0.2351490294,0.6624616212
0.0450,0.6721750469,-0.2326336986,-0.2353318572,0.6623301183
0.0500,0.6721522291,-0.2328903628,-0.2355151479,0.6621979123
0.0550,0.6721278415,-0.2331512732,-0.2356973554,0.6620660127
0.0600,0.6721019506,-0.2334150372,-0.2358770234,0.661935358
0.0650,0.6720746451,-0.2336803534,-0.2360528163,0.6618067934
0.0700,0.6720460318,-0.2339460326,-0.2362235406,0.661681059
0.0750,0.6720162286,-0.2342110132,-0.2363881604,0.6615587861
0.0800,0.6719853615,-0.2344743638,-0.2365458095,0.6614404936
0.0850,0.6719535693,-0.2347352726,-0.236695791,0.6613265872
0.0900,0.6719210108,-0.2349930308,-0.2368375592,0.6612173631
0.0950,0.6718878699,-0.2352470114,-0.2369706967,0.6611130182
0.1000,0.6718543598,-0.2354966422,-0.2370948939,0.6610136625
0.1050,0.6718207272,-0.2357413738,-0.2372099325,0.6609193317
0.1100,0.6717872532,-0.23598065,-0.2373156701,0.6608300024
0.1150,0.671754245,-0.2362138897,-0.237412029,0.66074561
0.1200,0.6717220211,-0.2364404795,-0.2374989948,0.660666068
0.1250,0.6716908965,-0.2366597716,-0.2375766197,0.660591282
0.1300,0.671661165,-0.2368710853,-0.2376450292,0.6605211643
0.1350,0.6716330777,-0.2370737136,-0.2377044347,0.6604556495
0.1400,0.671606823,-0.2372669342,-0.2377551509,0.6603947043
0.1450,0.6715825114,-0.2374500282,-0.2377976095,0.660338331
0.1500,0.6715601643,-0.2376223082,-0.2378323703,0.660286565
0.1550,0.6715297418,-0.2378937896,-0.2379241735,0.6601866694
0.1600,0.6715029096,-0.2381430326,-0.2380027302,0.6600957801
0.1650,0.6714793366,-0.2383695951,-0.2380681011,0.6600144058
0.1700,0.6714592031,-0.2385723136,-0.2381212841,0.659942455
0.1750,0.6714427923,-0.2387528557,-0.2381626968,0.6598789134
0.1800,0.6714282502,-0.2389102977,-0.238193852,0.6598254794
0.1850,0.671416307,-0.2390456043,-0.238215142,0.6597809393
0.1900,0.6714052898,-0.2391585706,-0.2382270999,0.6597468937
0.1950,0.6713961016,-0.2392480775,-0.238230561,0.6597225416
0.2000,0.671387392,-0.2393147536,-0.2382270915,0.6597084746
0.2050,0.6713797419,-0.2393591234,-0.2382167874,0.6597038839
0.2100,0.6713727482,-0.2393817637,-0.2382006011,0.659708631
0.2150,0.6713669473,-0.2393827072,-0.2381792498,0.6597219009
0.2200,0.6713632473,-0.2393605822,-0.2381529795,0.6597431775
0.2250,0.6713610427,-0.2393177513,-0.2381217361,0.6597722357
0.2300,0.6713601763,-0.2392538808,-0.238085408,0.6598093912
0.2350,0.6713618096,-0.2391684413,-0.2380467531,0.6598526508
0.2400,0.6713661053,-0.2390634351,-0.2380025599,0.6599022717
0.2450,0.6713733247,-0.2389385984,-0.237952744,0.6599581022
0.2500,0.6713849007,-0.2387957888,-0.2378960541,0.6600184496
0.2550,0.6714010778,-0.2386349508,-0.2378325998,0.6600830308
0.2600,0.6714220905,-0.2384581392,-0.2377615076,0.6601511628
0.2650,0.67144907,-0.238264698,-0.2376815136,0.6602223703
0.2700,0.6714812422,-0.238058815,-0.237592653,0.6602958982
0.2750,0.6715187635,-0.2378406832,-0.2374950558,0.6603714546
0.2800,0.6715630869,-0.2376119089,-0.2373861752,0.660447882
0.2850,0.6716132213,-0.2373735316,-0.2372667898,0.6605255165
0.2900,0.6716691565,-0.2371278341,-0.2371360016,0.6606038535
0.2950,0.6717312331,-0.2368751888,-0.2369938548,0.6606823807
0.3000,0.6717988082,-0.236617366,-0.2368392219,0.6607615049
0.3050,0.6718715607,-0.2363567476,-0.2366719269,0.660840747
0.3100,0.6719496012,-0.2360949347,-0.2364919446,0.6609194167
0.3150,0.6720314383,-0.2358342983,-0.2363006837,0.6609976676
0.3200,0.672117579,-0.2355769551,-0.2360991618,0.6610738567
0.3250,0.6722085221,-0.2353223123,-0.2358864009,0.6611480303
