type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Upper arm RT-Roll","s",0.0000,200,5092,"deg"

time,value
0.0000,-0.4785411756
0.0050,-0.4782155729
0.0100,-0.4778940275
0.0150,-0.4775765397
0.0200,-0.4770625151
0.0250,-0.4763187342
0.0300,-0.4753096068
0.0350,-0.473997447
0.0400,-0.4723436694
0.0450,-0.4703104088
0.0500,-0.4678614726
0.0550,-0.4649631479
0.0600,-0.4615856736
0.0650,-0.4577045847
0.0700,-0.4533010015
0.0750,-0.4483615975
0.0800,-0.4428793933
0.0850,-0.4368546728
0.0900,-0.4302950181
0.0950,-0.4232149933
0.1000,-0.415636428
0.1050,-0.4075893947
0.1100,-0.3991128587
0.1150,-0.3902544609
0.1200,-0.381070109
0.1250,-0.3716235872
0.1300,-0.3619860259
0.1350,-0.3522354474
0.1400,-0.3424563573
0.1450,-0.332738975
0.1500,-0.3231776081
0.1550,-0.3115942957
0.1600,-0.3005315109
0.1650,-0.290003175
0.1700,-0.2801803372
0.1750,-0.2710033805
0.1800,-0.2625605597
0.1850,-0.2548614332
0.1900,-0.2478722474
0.1950,-0.2417878885
0.2000,-0.236627785
0.2050,-0.2323973981
0.2100,-0.2291190289
0.2150,-0.2268823757
0.2200,-0.22584912
0.2250,-0.2258263265
0.2300,-0.2268180053
0.2350,-0.2291631444
0.2400,-0.2324610716
0.2450,-0.2367370369
0.2500,-0.2418402383
0.2550,-0.2477981964
0.2600,-0.2544137902
0.2650,-0.2616836174
0.2700,-0.2692933646
0.2750,-0.2772508775
0.2800,-0.2853098038
0.2850,-0.2934152206
0.2900,-0.3013385491
0.2950,-0.3090779335
0.3000,-0.3163836906
0.3050,-0.3230657721
0.3100,-0.3290221083
0.3150,-0.3341363568
0.3200,-0.3383839986
0.3250,-0.3417459621
0.3300,-0.344133938
0.3350,-0.3454501564
0.3400,-0.3457312606
0.3450,-0.3451069245
0.3500,-0.3435534598
0.3550,-0.3410779354
0.3600,-0.337599217
0.3650,-0.3332869369
0.3700,-0.3281476739
0.3750,-0.3221790841
0.3800,-0.3153054724
0.3850,-0.3072054123
0.3900,-0.2980739213
0.3950,-0.2873700377
0.4000,-0.2752442649
0.4050,-0.2614369068
0.4100,-0.245693123
0.4150,-0.2280098051
0.4200,-0.2081394049
0.4250,-0.186082333
0.4300,-0.1615939204
0.4350,-0.1349173859
0.4400,-0.1061164329
0.4450,-0.07515573377
0.4500,-0.04236056396
0.4550,-0.007921665668
0.4600,0.02803680309
0.4650,0.06520690454
0.4700,0.1033316049
0.4750,0.1422297243
0.4800,0.18161001
0.4850,0.2211863133
0.4900,0.2609938378
0.4950,0.3008178772
0.5000,0.3406756961
0.5050,0.380478851
0.5100,0.4200818991
0.5150,0.4595402079
0.5200,0.4987738052
0.5250,0.5377728969
0.5300,0.5764788227
0.5350,0.6150760397
0.5400,0.6532700042
0.5450,0.6909391588
0.5500,0.7279556719
0.5550,0.764250487
0.5600,0.7994240943
0.5650,0.8333649407
0.5700,0.8656630117
0.5750,0.8958727407
0.5800,0.9237709367
0.5850,0.9488592323
0.5900,0.9708303963
0.5950,0.9893862185
0.6000,1.004070239
0.6050,1.014440308
0.6100,1.020455921
0.6150,1.021963616
0.6200,1.018876353
