type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Segments-Upper arm RT-Sensor Acceleration","s",0.0000,200,5092,"mG"

time,x,y,z
0.0000,973.6328125,-213.3789063,-7.8125
0.0050,967.2851563,-215.8203125,-13.671875
0.0100,964.84375,-210.4492188,-1.953125
0.0150,959.4726563,-204.5898438,-20.01953125
0.0200,958.4960938,-204.5898438,-13.18359375
0.0250,963.3789063,-203.125,-11.71875
0.0300,962.4023438,-201.6601563,-13.18359375
0.0350,958.0078125,-209.9609375,-19.53125
0.0400,965.3320313,-197.7539063,-11.71875
0.0450,964.3554688,-208.984375,-4.39453125
0.0500,957.5195313,-216.796875,-15.625
0.0550,961.4257813,-207.03125,-12.6953125
0.0600,954.5898438,-211.9140625,-16.6015625
0.0650,952.6367188,-222.65625,-5.37109375
0.0700,958.0078125,-209.4726563,-13.18359375
0.0750,955.5664063,-216.3085938,-18.06640625
0.0800,958.984375,-208.4960938,-12.20703125
0.0850,960.9375,-213.3789063,-8.30078125
0.0900,961.9140625,-225.0976563,-0.9765625
0.0950,973.6328125,-220.2148438,-11.23046875
0.1000,975.5859375,-217.7734375,-3.41796875
0.1050,988.7695313,-213.3789063,0
0.1100,984.375,-216.796875,3.41796875
0.1150,987.3046875,-217.2851563,-3.41796875
0.1200,984.375,-215.8203125,1.46484375
0.1250,989.2578125,-214.3554688,0.9765625
0.1300,983.3984375,-213.3789063,-0.9765625
0.1350,982.421875,-208.984375,-8.30078125
0.1400,977.5390625,-210.9375,-9.27734375
0.1450,977.0507813,-211.9140625,-13.18359375
0.1500,982.421875,-207.03125,-20.01953125
0.1550,977.5390625,-208.4960938,-14.16015625
0.1600,975.5859375,-216.796875,-9.27734375
0.1650,979.4921875,-218.75,-17.08984375
0.1700,974.609375,-217.2851563,-6.34765625
0.1750,976.5625,-214.84375,-17.578125
0.1800,972.65625,-210.4492188,-14.16015625
0.1850,960.4492188,-217.7734375,-16.6015625
0.1900,970.703125,-205.078125,-5.859375
0.1950,965.3320313,-204.5898438,-19.53125
0.2000,963.3789063,-207.03125,-8.7890625
0.2050,964.3554688,-208.0078125,-15.13671875
0.2100,966.796875,-201.6601563,-16.6015625
0.2150,975.0976563,-195.3125,-10.7421875
0.2200,975.0976563,-199.21875,-11.71875
0.2250,971.6796875,-199.21875,-20.01953125
0.2300,969.2382813,-201.6601563,-8.30078125
0.2350,972.65625,-202.1484375,-6.34765625
0.2400,972.1679688,-202.1484375,-12.20703125
0.2450,975.5859375,-208.4960938,-9.27734375
0.2500,975.0976563,-202.1484375,-14.6484375
0.2550,983.8867188,-197.265625,-16.6015625
0.2600,982.9101563,-202.6367188,-11.71875
0.2650,982.9101563,-199.7070313,-3.41796875
0.2700,984.8632813,-195.8007813,-15.625
0.2750,993.1640625,-196.2890625,-6.8359375
0.2800,982.421875,-197.265625,-7.32421875
0.2850,977.5390625,-199.7070313,-18.5546875
0.2900,980.46875,-188.9648438,-12.20703125
0.2950,978.0273438,-198.7304688,-12.6953125
0.3000,980.46875,-194.3359375,-9.27734375
0.3050,971.6796875,-203.6132813,-20.01953125
0.3100,964.3554688,-207.5195313,-8.30078125
0.3150,976.5625,-205.078125,-16.6015625
0.3200,975.0976563,-206.5429688,-9.765625
0.3250,976.5625,-214.3554688,-0.48828125
0.3300,985.8398438,-211.4257813,-7.32421875
0.3350,995.6054688,-209.4726563,9.765625
0.3400,991.6992188,-217.7734375,10.7421875
0.3450,1009.765625,-204.5898438,20.5078125
0.3500,1007.324219,-205.078125,11.23046875
0.3550,1017.089844,-193.8476563,24.4140625
0.3600,1004.882813,-184.5703125,15.13671875
0.3650,999.0234375,-183.59375,12.20703125
0.3700,998.046875,-173.828125,7.8125
0.3750,992.1875,-168.9453125,10.25390625
0.3800,981.9335938,-159.1796875,4.39453125
0.3850,972.65625,-162.109375,1.953125
0.3900,976.5625,-147.9492188,-0.48828125
0.3950,964.3554688,-157.7148438,-6.8359375
0.4000,970.2148438,-153.8085938,5.859375
0.4050,978.515625,-145.5078125,-1.953125
0.4100,979.4921875,-153.3203125,11.71875
0.4150,981.4453125,-155.2734375,6.34765625
0.4200,987.3046875,-160.15625,10.7421875
0.4250,990.7226563,-166.5039063,9.27734375
0.4300,994.6289063,-173.3398438,13.671875
0.4350,1006.347656,-177.2460938,14.6484375
0.4400,1011.230469,-171.875,25.87890625
0.4450,1015.136719,-176.2695313,25.390625
0.4500,1009.277344,-174.3164063,25.87890625
