type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Radial styloid process RT","s",0.0000,200,5092,"mm"

time,x,y,z
0.0000,-141.8433171,168.2480277,905.7295152
0.0050,-141.857695,168.2968899,905.7390487
0.0100,-141.8720485,168.345752,905.7485971
0.0150,-141.8863775,168.3946139,905.7581603
0.0200,-141.9024216,168.4449376,905.7688795
0.0250,-141.9201972,168.4959495,905.7807821
0.0300,-141.9397009,168.5468129,905.7938912
0.0350,-141.9609136,168.5966508,905.8082278
0.0400,-141.9838105,168.6445674,905.823813
0.0450,-142.0083738,168.689669,905.840671
0.0500,-142.0346006,168.7310799,905.8588296
0.0550,-142.0624991,168.7679594,905.8783199
0.0600,-142.0920832,168.7995248,905.8991746
0.0650,-142.123367,168.8250697,905.9214266
0.0700,-142.1563574,168.8439765,905.9451066
0.0750,-142.191044,168.8557292,905.9702377
0.0800,-142.2273883,168.8599332,905.996829
0.0850,-142.2653106,168.8563382,906.0248678
0.0900,-142.3046736,168.8448517,906.0543136
0.0950,-142.3452715,168.8255412,906.0850938
0.1000,-142.3868288,168.7986324,906.1171016
0.1050,-142.4290077,168.7645067,906.1501962
0.1100,-142.4714177,168.7236933,906.1842029
0.1150,-142.5136243,168.6768505,906.2189144
0.1200,-142.5551635,168.624741,906.2540944
0.1250,-142.5955587,168.5682072,906.2894813
0.1300,-142.6343408,168.5081434,906.3247945
0.1350,-142.6710739,168.4454622,906.3597414
0.1400,-142.7053816,168.3810683,906.3940249
0.1450,-142.7369713,168.3158401,906.4273506
0.1500,-142.7656548,168.2506138,906.4594349
0.1550,-142.8684136,168.1530034,906.5241587
0.1600,-142.9700127,168.054764,906.5875607
0.1650,-143.0711007,167.9566903,906.6494488
0.1700,-143.1718286,167.8590883,906.709719
0.1750,-143.2715502,167.7631891,906.7681848
0.1800,-143.3711437,167.6669203,906.8248781
0.1850,-143.4707851,167.5728026,906.8795745
0.1900,-143.5708989,167.4783141,906.9324098
0.1950,-143.6720159,167.3849542,906.9833158
0.2000,-143.7757107,167.2922036,907.0324528
0.2050,-143.8811926,167.2006729,907.0797093
0.2100,-143.988931,167.1107392,907.125053
0.2150,-144.0987717,167.0235805,907.1683429
0.2200,-144.2120752,166.9390339,907.2100492
0.2250,-144.328173,166.8572443,907.2500396
0.2300,-144.4471735,166.7776452,907.2883739
0.2350,-144.5708098,166.7020935,907.3253738
0.2400,-144.6966664,166.6302383,907.3607414
0.2450,-144.8252933,166.5613386,907.3948172
0.2500,-144.9551024,166.4964953,907.4275709
0.2550,-145.0872139,166.4351703,907.4594565
0.2600,-145.2206806,166.3768824,907.4906288
0.2650,-145.3563098,166.3216935,907.5215098
0.2700,-145.491823,166.2676788,907.5522105
0.2750,-145.6291197,166.2141533,907.5834123
0.2800,-145.7657212,166.1616106,907.6149704
0.2850,-145.9025957,166.1078102,907.6474607
0.2900,-146.03923,166.0513832,907.6813024
0.2950,-146.1752459,165.9913465,907.7167786
0.3000,-146.3106464,165.9265588,907.7541361
0.3050,-146.4438938,165.8557084,907.79347
0.3100,-146.5749071,165.7777032,907.8352279
0.3150,-146.7050094,165.6916239,907.8797878
0.3200,-146.8333921,165.5976202,907.9273351
0.3250,-146.9616822,165.4951649,907.9784771
0.3300,-147.0905685,165.3824812,908.0336655
