type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Ulnar styloid process RT","s",0.0000,200,5092,"mm"

time,x,y,z
0.0000,-103.8498403,171.5454848,904.794805
0.0050,-103.8631981,171.5809674,904.7987168
0.0100,-103.876537,171.6164493,904.8026438
0.0150,-103.8898569,171.6519305,904.8065859
0.0200,-103.9048292,171.6878908,904.8110617
0.0250,-103.9214789,171.7236385,904.8160987
0.0300,-103.9398109,171.7584223,904.8217255
0.0350,-103.9598142,171.791448,904.8279725
0.0400,-103.9814716,171.8218966,904.834873
0.0450,-104.0047718,171.8489414,904.842464
0.0500,-104.0297174,171.8717625,904.8507862
0.0550,-104.0563214,171.8895658,904.8598832
0.0600,-104.0846016,171.9016069,904.8697999
0.0650,-104.1145757,171.9072128,904.8805816
0.0700,-104.1462538,171.9057972,904.8922717
0.0750,-104.179629,171.8968781,904.9049073
0.0800,-104.2146666,171.8801008,904.9185146
0.0850,-104.2512912,171.8552651,904.9331035
0.0900,-104.2893705,171.8223424,904.9486633
0.0950,-104.3287047,171.7814811,904.9651596
0.1000,-104.3690251,171.733006,904.9825336
0.1050,-104.410002,171.6774179,905.0007012
0.1100,-104.4512533,171.6153848,905.0195533
0.1150,-104.4923541,171.5477211,905.0389575
0.1200,-104.5328498,171.4753595,905.0587606
0.1250,-104.5722736,171.3993216,905.0787916
0.1300,-104.6101656,171.3206838,905.0988667
0.1350,-104.6460981,171.2405381,905.1187942
0.1400,-104.6797019,171.1599577,905.1383804
0.1450,-104.71069,171.0799717,905.1574341
0.1500,-104.7388774,171.00154,905.1757718
0.1550,-104.8410599,170.8821107,905.2113249
0.1600,-104.9422682,170.7644616,905.2461545
0.1650,-105.0431535,170.6494699,905.2800134
0.1700,-105.1438556,170.5374082,905.3129175
0.1750,-105.2437094,170.4293144,905.3447085
0.1800,-105.3435846,170.3230992,905.3755168
0.1850,-105.4436425,170.2210864,905.4050575
0.1900,-105.5442943,170.1206415,905.4335328
0.1950,-105.6460482,170.0230086,905.460938
0.2000,-105.7504646,169.9274336,905.4873287
0.2050,-105.8567378,169.8343895,905.5126856
0.2100,-105.9653224,169.7440587,905.5369712
0.2150,-106.0760498,169.6574781,905.5601162
0.2200,-106.1902663,169.5742325,905.5824866
0.2250,-106.3073025,169.4944475,905.6039067
0.2300,-106.4272571,169.4174454,905.6244649
0.2350,-106.5518613,169.3449939,905.6443578
0.2400,-106.6786932,169.2766979,905.663347
0.2450,-106.8083052,169.2118002,905.6816769
0.2500,-106.9391114,169.1514228,905.6992833
0.2550,-107.072246,169.0950933,905.7164103
0.2600,-107.2067748,169.0424539,905.7331077
0.2650,-107.3435253,168.9936929,905.7495568
0.2700,-107.4802195,168.9469216,905.7659166
0.2750,-107.6187762,168.9014875,905.7825208
0.2800,-107.7567293,168.8580652,905.7992461
0.2850,-107.8950575,168.8144271,905.8164921
0.2900,-108.0332582,168.7692201,905.8345059
0.2950,-108.1709759,168.7217139,905.8535161
0.3000,-108.3082116,168.6706062,905.8736201
0.3050,-108.4434348,168.6146745,905.8949429
0.3100,-108.5765658,168.552725,905.9178096
0.3150,-108.7089451,168.4838532,905.9423328
0.3200,-108.8397651,168.4081699,905.9686871
0.3250,-108.9706788,168.3252164,905.9971516
0.3300,-109.102382,168.2331502,906.0280339
0.3350,-109.2350429,168.1330167,906.0615366
0.3400,-109.3708773,168.0239452,906.0980345
0.3450,-109.510672,167.9061854,906.1379175
0.3500,-109.6556208,167.7785436,906.1814052
0.3550,-109.8060717,167.6421294,906.228759
0.3600,-109.9625803,167.4969412,906.2800738
0.3650,-110.1276065,167.3437288,906.335637
0.3700,-110.3015077,167.1832753,906.3957209
0.3750,-110.4849795,167.0157165,906.4606665
0.3800,-110.6797351,166.8387694,906.531048
0.3850,-110.8865232,166.6491868,906.6075736
0.3900,-111.108062,166.4477234,906.6906941
0.3950,-111.3438379,166.2301614,906.7812883
0.4000,-111.5981142,165.996345,906.8799484
0.4050,-111.8714157,165.7444823,906.9872531
0.4100,-112.1638068,165.4719695,907.1040793
0.4150,-112.4780252,165.1783039,907.2308181
0.4200,-112.8152399,164.8617474,907.368342
0.4250,-113.1770186,164.5215287,907.517318
0.4300,-113.5632567,164.1568244,907.678398
0.4350,-113.9774076,163.767559,907.8523372
0.4400,-114.4218557,163.3543499,908.0400026
0.4450,-114.8982399,162.9172876,908.2420597
0.4500,-115.4087966,162.4581078,908.4591323
0.4550,-115.9560093,161.9767289,908.6920354
0.4600,-116.5429041,161.4739164,908.9419364
0.4650,-117.1719014,160.9502709,909.2096282
0.4700,-117.8457417,160.4063061,909.4963273
0.4750,-118.5673383,159.8410137,909.8030229
0.4800,-119.3389574,159.2562163,910.1308996
0.4850,-120.1646307,158.6491169,910.4815737
0.4900,-121.0450968,158.019869,910.8561398
0.4950,-121.9836316,157.3674942,911.2560642
0.5000,-122.9816228,156.6892658,911.6829732
0.5050,-124.0413808,155.9826978,912.138583
0.5100,-125.1646692,155.2465661,912.6244002
0.5150,-126.3519452,154.4773589,913.1422688
0.5200,-127.6037384,153.6740089,913.6936439
0.5250,-128.9197456,152.834566,914.2799509
0.5300,-130.2995088,151.9572211,914.902978
0.5350,-131.7417146,151.0400756,915.563623
0.5400,-133.2457536,150.0836804,916.2629003
0.5450,-134.8099501,149.0899368,917.0013936
0.5500,-136.4320759,148.0593804,917.7795728
0.5550,-138.1089494,146.9941455,918.5970734
0.5600,-139.837045,145.8984538,919.4534316
0.5650,-141.6132595,144.7740625,920.3478094
0.5700,-143.4343538,143.6260302,921.2792882
0.5750,-145.2969911,142.4585368,922.2463989
0.5800,-147.1970849,141.2745625,923.2477304
0.5850,-149.1303824,140.0784242,924.2816551
0.5900,-151.0934433,138.8733992,925.3463134
0.5950,-153.0815176,137.6615,926.4402055
0.6000,-155.0905687,136.4464413,927.5613774
0.6050,-157.1165949,135.2320526,928.7071301
0.6100,-159.1544087,134.0206389,929.8743352
0.6150,-161.1974275,132.8150794,931.0598604
0.6200,-163.2401866,131.6190172,932.2601062
0.6250,-165.2763087,130.432154,933.4719499
0.6300,-167.299952,129.2565422,934.6918985
0.6350,-169.30595,128.0923949,935.9165804
0.6400,-171.2896765,126.9392212,937.1436166
0.6450,-173.2481649,125.7975284,938.3712447
0.6500,-175.1787557,124.6675263,939.5978378
0.6550,-177.0804308,123.549232,940.8215975
0.6600,-178.9527575,122.4448831,942.0409771
0.6650,-180.7934712,121.3548544,943.2540677
0.6700,-182.6022836,120.2781736,944.4589771
0.6750,-184.3781459,119.2147724,945.6542336
0.6800,-186.1192473,118.1646216,946.8373709
0.6850,-187.823387,117.1289948,948.0058308
0.6900,-189.4880496,116.1086844,949.1568303
0.6950,-191.1117231,115.104752,950.2872498
0.7000,-192.6899581,114.1169226,951.3938397
0.7050,-194.2207864,113.1458631,952.473693
0.7100,-195.7023642,112.1935211,953.5233354
0.7150,-197.132455,111.2600195,954.5402194
0.7200,-198.509503,110.3475529,955.5209557
0.7250,-199.832167,109.4559436,956.4625554
0.7300,-201.0999654,108.5867645,957.3623993
0.7350,-202.310525,107.7415271,958.2169197
0.7400,-203.4616383,106.9202686,959.0224629
0.7450,-204.5518602,106.1236251,959.7756571
0.7500,-205.577563,105.3513794,960.4735911
0.7550,-206.5380885,104.6045272,961.1140042
0.7600,-207.4317775,103.8827936,961.6941609
0.7650,-208.2570593,103.1833565,962.2141346
0.7700,-209.0139446,102.5049516,962.6740679
0.7750,-209.7031234,101.8439029,963.0755919
0.7800,-210.3273529,101.1971698,963.4211069
0.7850,-210.8894626,100.5622724,963.714553
0.7900,-211.3940943,99.93657545,963.9598021
0.7950,-211.8456469,99.31723415,964.1617552
0.8000,-212.2490748,98.70411502,964.3252664
0.8050,-212.6081299,98.09410892,964.4547985
0.8100,-212.9266873,97.48670098,964.555403
0.8150,-213.2078309,96.88009935,964.6308475
0.8200,-213.4542598,96.27364128,964.6853255
0.8250,-213.6664761,95.66572585,964.7223136
0.8300,-213.8446329,95.05679311,964.7437529
0.8350,-213.9886403,94.44870824,964.7512014
0.8400,-214.0977263,93.84219779,964.7471276
0.8450,-214.1712388,93.23824837,964.7318956
0.8500,-214.2085864,92.63817971,964.7073846
0.8550,-214.2086589,92.04462629,964.6739665
0.8600,-214.1697352,91.46006583,964.6318359
0.8650,-214.0898894,90.88759775,964.581051
0.8700,-213.9679549,90.32913859,964.5210286
0.8750,-213.8007226,89.78576939,964.4513428
0.8800,-213.5869288,89.25875226,964.3720283
0.8850,-213.3264021,88.74958596,964.2830172
0.8900,-213.0187232,88.25872232,964.1839332
0.8950,-212.6640545,87.78932741,964.0738858
0.9000,-212.2638238,87.33922241,963.9534836
0.9050,-211.818534,86.90893776,963.8234051
0.9100,-211.3314415,86.49695773,963.685444
