type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Forearm RT-Pitch","s",0.0000,200,5328,"deg"

time,value
0.0000,-6.076126489
0.0050,-6.067129156
0.0100,-6.058131802
0.0150,-6.049134427
0.0200,-6.039245625
0.0250,-6.028486999
0.0300,-6.016891641
0.0350,-6.004503319
0.0400,-5.991375621
0.0450,-5.977571488
0.0500,-5.96316331
0.0550,-5.948233081
0.0600,-5.932872095
0.0650,-5.917179922
0.0700,-5.901262618
0.0750,-5.88523048
0.0800,-5.86919631
0.0850,-5.853274818
0.0900,-5.837582325
0.0950,-5.822235659
0.1000,-5.807350487
0.1050,-5.79303997
0.1100,-5.779413746
0.1150,-5.766576365
0.1200,-5.754624938
0.1250,-5.743646787
0.1300,-5.733716995
0.1350,-5.72489501
0.1400,-5.717220934
0.1450,-5.710712056
0.1500,-5.705358802
0.1550,-5.68593203
0.1600,-5.667444722
0.1650,-5.64992043
0.1700,-5.633191886
0.1750,-5.616980121
0.1800,-5.601197396
0.1850,-5.585616341
0.1900,-5.570191163
0.1950,-5.554728261
0.2000,-5.539318166
0.2050,-5.523714106
0.2100,-5.507958967
0.2150,-5.491851567
0.2200,-5.475593457
0.2250,-5.459003745
0.2300,-5.442013433
0.2350,-5.424617495
0.2400,-5.406986088
0.2450,-5.389092736
0.2500,-5.370854329
0.2550,-5.352371443
0.2600,-5.333848152
0.2650,-5.315250652
0.2700,-5.296683595
0.2750,-5.278141303
0.2800,-5.259796572
0.2850,-5.241676053
0.2900,-5.223720542
0.2950,-5.206217145
0.3000,-5.189070857
0.3050,-5.172245095
0.3100,-5.15587242
0.3150,-5.139905881
0.3200,-5.124378055
0.3250,-5.109171551
0.3300,-5.094571599
0.3350,-5.080691932
0.3400,-5.067524473
0.3450,-5.054960179
0.3500,-5.043112687
0.3550,-5.032193437
0.3600,-5.022112618
0.3650,-5.012986751
0.3700,-5.00484565
0.3750,-4.997667747
0.3800,-4.991388448
0.3850,-4.985951436
0.3900,-4.981374187
0.3950,-4.977529505
0.4000,-4.974610317
0.4050,-4.97247374
0.4100,-4.970955655
0.4150,-4.970325516
0.4200,-4.970422341
0.4250,-4.971102075
0.4300,-4.972299762
0.4350,-4.973945599
0.4400,-4.975922897
0.4450,-4.978161868
0.4500,-4.980741233
0.4550,-4.98355908
0.4600,-4.986544716
0.4650,-4.989639809
0.4700,-4.99285301
0.4750,-4.996199508
0.4800,-4.99975417
0.4850,-5.00345613
0.4900,-5.007340428
0.4950,-5.011216856
0.5000,-5.014886169
0.5050,-5.018356434
0.5100,-5.021536638
0.5150,-5.024522896
0.5200,-5.026998135
0.5250,-5.029237695
0.5300,-5.031159834
0.5350,-5.03272241
0.5400,-5.033991217
0.5450,-5.034826167
0.5500,-5.035513715
0.5550,-5.035918741
0.5600,-5.036101701
0.5650,-5.036356256
0.5700,-5.036551682
0.5750,-5.03672642
0.5800,-5.036902159
0.5850,-5.037295831
0.5900,-5.037652702
0.5950,-5.037857791
0.6000,-5.038009172
0.6050,-5.037951286
0.6100,-5.037563271
0.6150,-5.03669823
0.6200,-5.035475357
0.6250,-5.033877613
0.6300,-5.031784197
0.6350,-5.029265741
0.6400,-5.026284564
0.6450,-5.022911543
0.6500,-5.019125856
0.6550,-5.014765887
0.6600,-5.009730418
0.6650,-5.003841438
0.6700,-4.997012947
0.6750,-4.989002675
0.6800,-4.979788647
0.6850,-4.96916785
0.6900,-4.956963499
0.6950,-4.943029869
0.7000,-4.927034045
0.7050,-4.908642383
0.7100,-4.887729908
0.7150,-4.86401099
0.7200,-4.837159131
0.7250,-4.807397975
0.7300,-4.774288725
0.7350,-4.737910748
0.7400,-4.698132186
0.7450,-4.6549737
0.7500,-4.608221924
0.7550,-4.55800273
0.7600,-4.504565126
0.7650,-4.447828359
0.7700,-4.387766348
0.7750,-4.324595049
0.7800,-4.258390412
0.7850,-4.189352791
0.7900,-4.117547307
0.7950,-4.043278065
0.8000,-3.966739588
0.8050,-3.888274926
0.8100,-3.807951704
0.8150,-3.725966353
0.8200,-3.642602241
0.8250,-3.557944306
0.8300,-3.472163256
0.8350,-3.385714432
0.8400,-3.29867165
0.8450,-3.21136003
0.8500,-3.124122425
0.8550,-3.037273358
0.8600,-2.951127729
0.8650,-2.865855679
0.8700,-2.781769714
0.8750,-2.699230674
0.8800,-2.618567973
0.8850,-2.539888937
0.8900,-2.46347877
0.8950,-2.389447448
0.9000,-2.318031679
0.9050,-2.249287788
0.9100,-2.183476221
0.9150,-2.120596346
0.9200,-2.060511236
0.9250,-2.003514466
0.9300,-1.949255528
0.9350,-1.897767528
0.9400,-1.849045497
0.9450,-1.802803874
0.9500,-1.759156703
0.9550,-1.717948944
0.9600,-1.67919877
0.9650,-1.642777492
0.9700,-1.608550428
0.9750,-1.576458527
0.9800,-1.546482438
0.9850,-1.518470544
0.9900,-1.492425392
0.9950,-1.468392347
1.0000,-1.446270312
1.0050,-1.426226372
1.0100,-1.408138104
1.0150,-1.391900126
1.0200,-1.37753685
1.0250,-1.364670377
1.0300,-1.353410928
1.0350,-1.343675227
1.0400,-1.335312725
1.0450,-1.328291642
1.0500,-1.322507609
1.0550,-1.31794264
1.0600,-1.31433519
1.0650,-1.311934013
1.0700,-1.310718117
1.0750,-1.310791051
1.0800,-1.311983644
1.0850,-1.314296076
1.0900,-1.317775239
1.0950,-1.322346998
1.1000,-1.327907411
1.1050,-1.334329587
1.1100,-1.341773184
1.1150,-1.350236743
1.1200,-1.359757738
1.1250,-1.370259321
1.1300,-1.381776133
1.1350,-1.394191613
1.1400,-1.407566847
1.1450,-1.421813899
1.1500,-1.436804469
1.1550,-1.452488888
1.1600,-1.46863329
1.1650,-1.485284363
1.1700,-1.502464977
1.1750,-1.520107007
1.1800,-1.538146591
1.1850,-1.556431506
1.1900,-1.575018944
1.1950,-1.593792288
1.2000,-1.612793819
1.2050,-1.631958175
1.2100,-1.651137535
1.2150,-1.670425936
1.2200,-1.689781005
1.2250,-1.709103225
1.2300,-1.728635602
1.2350,-1.748004587
1.2400,-1.767285411
1.2450,-1.786625133
1.2500,-1.80588883
1.2550,-1.825223462
1.2600,-1.844535403
1.2650,-1.863903678
1.2700,-1.883356408
1.2750,-1.902941671
1.2800,-1.922592983
1.2850,-1.942302049
1.2900,-1.961989942
1.2950,-1.981645775
1.3000,-2.001248352
1.3050,-2.020855249
1.3100,-2.040448877
1.3150,-2.060181424
1.3200,-2.07995128
1.3250,-2.099867814
1.3300,-2.119785955
1.3350,-2.139652084
1.3400,-2.159537608
1.3450,-2.179300284
1.3500,-2.199110784
1.3550,-2.21879668
1.3600,-2.238546716
1.3650,-2.258263927
1.3700,-2.278042121
1.3750,-2.297673977
1.3800,-2.317428327
1.3850,-2.337127233
1.3900,-2.356840568
1.3950,-2.376460957
1.4000,-2.396070238
1.4050,-2.415564228
1.4100,-2.434925584
1.4150,-2.453980359
1.4200,-2.472594691
1.4250,-2.490966996
1.4300,-2.508951369
1.4350,-2.526661687
1.4400,-2.543969579
1.4450,-2.561151191
1.4500,-2.578103063
1.4550,-2.594966056
1.4600,-2.611808051
1.4650,-2.628596289
1.4700,-2.645422324
1.4750,-2.662164786
1.4800,-2.678757061
1.4850,-2.69533693
1.4900,-2.711856662
1.4950,-2.728420678
1.5000,-2.744943675
1.5050,-2.76151945
1.5100,-2.778120547
1.5150,-2.794820846
1.5200,-2.811586386
1.5250,-2.828313548
1.5300,-2.845037939
1.5350,-2.861866575
1.5400,-2.878613561
1.5450,-2.895366969
1.5500,-2.911901887
1.5550,-2.928226086
1.5600,-2.944382851
