type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Upper arm RT-Course","s",0.0000,200,6172,"deg"

time,value
0.0000,-166.7114111
0.0050,-166.7448951
0.0100,-166.7783852
0.0150,-166.8118814
0.0200,-166.8476147
0.0250,-166.8853092
0.0300,-166.9246635
0.0350,-166.9653654
0.0400,-167.0071044
0.0450,-167.0495835
0.0500,-167.0925272
0.0550,-167.1356857
0.0600,-167.1788364
0.0650,-167.2217837
0.0700,-167.2643556
0.0750,-167.3064014
0.0800,-167.3477878
0.0850,-167.3883958
0.0900,-167.4281168
0.0950,-167.4668488
0.1000,-167.5044958
0.1050,-167.5409682
0.1100,-167.5761844
0.1150,-167.6100731
0.1200,-167.6425741
0.1250,-167.6736398
0.1300,-167.7032349
0.1350,-167.731337
0.1400,-167.7579354
0.1450,-167.7830298
0.1500,-167.8066292
0.1550,-167.8412938
0.1600,-167.8723888
0.1650,-167.8999198
0.1700,-167.9236564
0.1750,-167.9438245
0.1800,-167.9603413
0.1850,-167.9732392
0.1900,-167.9824829
0.1950,-167.9880036
0.2000,-167.9900021
0.2050,-167.9883635
0.2100,-167.9831489
0.2150,-167.9743764
0.2200,-167.9620691
0.2250,-167.9462047
0.2300,-167.9267105
0.2350,-167.9036553
0.2400,-167.8770611
0.2450,-167.8469096
0.2500,-167.8132061
0.2550,-167.7759818
0.2600,-167.7353035
0.2650,-167.6913495
0.2700,-167.6442959
0.2750,-167.5945431
0.2800,-167.5420114
0.2850,-167.4872028
0.2900,-167.4303455
0.2950,-167.3716582
0.3000,-167.3114348
0.3050,-167.2497347
0.3100,-167.1868062
0.3150,-167.1226386
0.3200,-167.0572369
0.3250,-166.9908186
0.3300,-166.9235231
0.3350,-166.8553022
0.3400,-166.7863601
0.3450,-166.7164292
0.3500,-166.6460089
0.3550,-166.5750606
0.3600,-166.5035171
0.3650,-166.4314119
0.3700,-166.3588978
0.3750,-166.2858353
0.3800,-166.2121791
0.3850,-166.1378683
0.3900,-166.0628231
0.3950,-165.9871001
0.4000,-165.9106022
0.4050,-165.8331092
0.4100,-165.7548035
0.4150,-165.6755395
0.4200,-165.595214
0.4250,-165.5138861
0.4300,-165.4313823
0.4350,-165.3475444
0.4400,-165.2622234
0.4450,-165.1750953
0.4500,-165.0860245
0.4550,-164.9947419
0.4600,-164.9012905
0.4650,-164.8054746
0.4700,-164.7073846
0.4750,-164.6067722
0.4800,-164.5039115
0.4850,-164.3988283
0.4900,-164.2915471
0.4950,-164.1824702
0.5000,-164.0716407
0.5050,-163.9591585
0.5100,-163.8453357
0.5150,-163.7303323
0.5200,-163.6142054
0.5250,-163.4970865
0.5300,-163.3792575
0.5350,-163.2607557
0.5400,-163.1416387
0.5450,-163.0219789
0.5500,-162.9016773
0.5550,-162.7807707
0.5600,-162.6591072
0.5650,-162.5366899
0.5700,-162.4134483
0.5750,-162.2891207
0.5800,-162.1637803
0.5850,-162.0372827
0.5900,-161.9095478
0.5950,-161.7807231
0.6000,-161.6510208
0.6050,-161.5206259
0.6100,-161.389607
0.6150,-161.258343
0.6200,-161.1271941
0.6250,-160.9964778
0.6300,-160.8664822
0.6350,-160.7375192
0.6400,-160.6097979
0.6450,-160.4836597
0.6500,-160.3592058
0.6550,-160.2365337
0.6600,-160.1157846
0.6650,-159.9970134
0.6700,-159.8801142
0.6750,-159.7652573
0.6800,-159.6523414
0.6850,-159.5413177
0.6900,-159.4321395
0.6950,-159.3246202
0.7000,-159.2188339
0.7050,-159.1147089
0.7100,-159.0121072
0.7150,-158.9109852
0.7200,-158.8115656
0.7250,-158.7135307
0.7300,-158.6171124
0.7350,-158.5223862
0.7400,-158.4295662
0.7450,-158.3389973
0.7500,-158.2509243
0.7550,-158.1655196
0.7600,-158.0829758
0.7650,-158.0035964
0.7700,-157.927707
0.7750,-157.855353
0.7800,-157.7866033
0.7850,-157.7212676
0.7900,-157.6594857
0.7950,-157.6012072
0.8000,-157.5463758
0.8050,-157.4951347
0.8100,-157.4471165
0.8150,-157.4022615
0.8200,-157.3603772
0.8250,-157.3214395
0.8300,-157.2850987
0.8350,-157.2512703
0.8400,-157.2198244
0.8450,-157.1907197
0.8500,-157.164004
0.8550,-157.1395999
0.8600,-157.117459
0.8650,-157.0974243
0.8700,-157.0793146
0.8750,-157.0630886
0.8800,-157.0484775
0.8850,-157.0351841
0.8900,-157.023188
0.8950,-157.011991
0.9000,-157.0012719
0.9050,-156.9907278
0.9100,-156.9801513
0.9150,-156.9693079
0.9200,-156.9580371
0.9250,-156.9460978
0.9300,-156.9333509
0.9350,-156.9196154
0.9400,-156.9050413
0.9450,-156.8896032
0.9500,-156.8732216
0.9550,-156.8558823
0.9600,-156.837606
0.9650,-156.818319
0.9700,-156.7980784
0.9750,-156.7768147
0.9800,-156.7544694
0.9850,-156.7309783
0.9900,-156.7060881
0.9950,-156.679916
1.0000,-156.6521103
1.0050,-156.6225587
1.0100,-156.5912445
1.0150,-156.5579091
1.0200,-156.5225619
1.0250,-156.4850725
1.0300,-156.4454155
1.0350,-156.4036571
1.0400,-156.3599057
1.0450,-156.3141786
1.0500,-156.2665138
1.0550,-156.2172307
1.0600,-156.1663662
1.0650,-156.1141456
1.0700,-156.0605443
1.0750,-156.0058083
1.0800,-155.9498092
1.0850,-155.8930931
1.0900,-155.835663
1.0950,-155.777485
1.1000,-155.7185006
1.1050,-155.6585411
1.1100,-155.5978241
