type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Lateral humeral epicondyle RT","s",0.0000,200,6172,"mm"

time,x,y,z
0.0000,-84.99566399,220.9593269,1145.5395
0.0050,-85.11453088,220.740232,1145.515063
0.0100,-85.23324013,220.52107,1145.490754
0.0150,-85.3517916,220.301841,1145.466574
0.0200,-85.48528085,220.0642429,1145.440199
0.0250,-85.63397326,219.8094067,1145.411743
0.0300,-85.79796184,219.5386779,1145.381354
0.0350,-85.97716569,219.2535611,1145.349209
0.0400,-86.17132992,218.9556785,1145.315506
0.0450,-86.38002648,218.6467344,1145.280462
0.0500,-86.60266058,218.3284846,1145.244306
0.0550,-86.83848429,218.0027153,1145.207275
0.0600,-87.08661321,217.6712305,1145.169609
0.0650,-87.34604554,217.3358456,1145.131549
0.0700,-87.61568295,216.9983881,1145.093336
0.0750,-87.89434917,216.6607019,1145.055203
0.0800,-88.18080512,216.3246529,1145.017378
0.0850,-88.47376296,215.99213,1144.980079
0.0900,-88.77189483,215.6650386,1144.943515
0.0950,-89.07383025,215.3452871,1144.907883
0.1000,-89.37814448,215.0347684,1144.873367
0.1050,-89.6833441,214.7353372,1144.840136
0.1100,-89.98785333,214.4487815,1144.808347
0.1150,-90.29000355,214.1767858,1144.778134
0.1200,-90.58803229,213.9208874,1144.749615
0.1250,-90.88009788,213.6824336,1144.722882
0.1300,-91.16430972,213.4625489,1144.698001
0.1350,-91.43877155,213.2621113,1144.675015
0.1400,-91.70163849,213.0817281,1144.653932
0.1450,-91.95119271,212.9217073,1144.634734
0.1500,-92.18594071,212.7820287,1144.617367
0.1550,-92.70731475,212.45512,1144.577207
0.1600,-93.21521866,212.1522998,1144.539639
0.1650,-93.70869906,211.8733782,1144.504506
0.1700,-94.18761051,211.6167354,1144.471659
0.1750,-94.65238118,211.3817163,1144.440995
0.1800,-95.10321899,211.1674869,1144.412386
0.1850,-95.54117179,210.9724338,1144.385744
0.1900,-95.96584127,210.795428,1144.360848
0.1950,-96.37818992,210.6359362,1144.337654
0.2000,-96.77800946,210.4920709,1144.316038
0.2050,-97.16668266,210.3629302,1144.295927
0.2100,-97.54393303,210.2473945,1144.277161
0.2150,-97.9110629,210.1438462,1144.259716
0.2200,-98.26860089,210.0507929,1144.243552
0.2250,-98.61730578,209.9671182,1144.228713
0.2300,-98.95754765,209.8921144,1144.215129
0.2350,-99.28967036,209.8250525,1144.202766
0.2400,-99.61557024,209.7654434,1144.191677
0.2450,-99.93524599,209.7122028,1144.181923
0.2500,-100.2489289,209.6655341,1144.173377
0.2550,-100.557292,209.624472,1144.16605
0.2600,-100.8603796,209.5882004,1144.160081
0.2650,-101.1585362,209.5578793,1144.155371
0.2700,-101.4520937,209.5319461,1144.151969
0.2750,-101.7409257,209.5102449,1144.149851
0.2800,-102.0256959,209.4918685,1144.149083
0.2850,-102.3071932,209.4758087,1144.149667
0.2900,-102.5852653,209.4622434,1144.151676
0.2950,-102.8603572,209.4514301,1144.155117
0.3000,-103.1318049,209.4427888,1144.159908
0.3050,-103.4015032,209.4356118,1144.166283
0.3100,-103.6687861,209.4313915,1144.174183
0.3150,-103.9337428,209.4293311,1144.183498
0.3200,-104.1975249,209.430136,1144.194362
0.3250,-104.4605998,209.4344724,1144.206736
0.3300,-104.7224864,209.4433848,1144.220501
0.3350,-104.9835664,209.4568698,1144.235629
0.3400,-105.2438736,209.4752124,1144.252126
0.3450,-105.5041847,209.4987255,1144.269999
0.3500,-105.7639714,209.526877,1144.28907
0.3550,-106.0231653,209.5602192,1144.309324
0.3600,-106.2827947,209.5979643,1144.3308
0.3650,-106.5420102,209.6394135,1144.353367
0.3700,-106.8019137,209.6858346,1144.376947
0.3750,-107.0617029,209.7371596,1144.401399
0.3800,-107.3213592,209.7937772,1144.426577
0.3850,-107.5807295,209.8554354,1144.452377
0.3900,-107.8402992,209.9224089,1144.478751
0.3950,-108.0999673,209.9935312,1144.505592
0.4000,-108.3601484,210.0689411,1144.53288
0.4050,-108.622534,210.1486644,1144.560739
0.4100,-108.8871583,210.2323459,1144.589128
0.4150,-109.1539859,210.3190664,1144.618008
0.4200,-109.424509,210.4080835,1144.647502
0.4250,-109.6979711,210.4997403,1144.677576
0.4300,-109.9747373,210.594462,1144.70831
0.4350,-110.2536928,210.6909108,1144.739598
0.4400,-110.5352185,210.7895565,1144.771388
0.4450,-110.8177286,210.8902738,1144.803519
0.4500,-111.1019847,210.993046,1144.836121
0.4550,-111.3858826,211.0984588,1144.868862
0.4600,-111.6701607,211.2058796,1144.901889
0.4650,-111.9539761,211.3145788,1144.934943
0.4700,-112.2362474,211.4254135,1144.967919
0.4750,-112.5175385,211.5376413,1145.000766
0.4800,-112.796905,211.6514175,1145.033392
0.4850,-113.0737279,211.7660286,1145.065656
0.4900,-113.3489548,211.8819336,1145.09767
0.4950,-113.6229038,211.9981597,1145.129397
0.5000,-113.8946642,212.1146459,1145.160745
0.5050,-114.1657354,212.231398,1145.19183
0.5100,-114.4372613,212.3495393,1145.222845
0.5150,-114.7086678,212.4680777,1145.253675
0.5200,-114.980516,212.5881559,1145.284481
0.5250,-115.2537696,212.7091213,1145.315345
0.5300,-115.529167,212.8305009,1145.346347
0.5350,-115.8072758,212.9512971,1145.37768
0.5400,-116.0879286,213.0720063,1145.409384
0.5450,-116.3714914,213.1911125,1145.441461
0.5500,-116.6594675,213.3084514,1145.474222
0.5550,-116.9507668,213.4225864,1145.507674
0.5600,-117.2468149,213.5346429,1145.541984
0.5650,-117.5475714,213.6425858,1145.577207
0.5700,-117.8520103,213.7460708,1145.613292
0.5750,-118.1600331,213.8451517,1145.650274
0.5800,-118.4711409,213.9381647,1145.688143
0.5850,-118.7852605,214.0270741,1145.726889
0.5900,-119.1020356,214.1113998,1145.766455
0.5950,-119.4208939,214.1895729,1145.806784
0.6000,-119.7423822,214.2622286,1145.847936
0.6050,-120.0657753,214.3293004,1145.889771
0.6100,-120.3907065,214.3904563,1145.932192
0.6150,-120.7185424,214.4455348,1145.975388
0.6200,-121.0478072,214.4959817,1146.019117
0.6250,-121.3782803,214.5406743,1146.063382
0.6300,-121.7090079,214.579919,1146.108059
0.6350,-122.0404645,214.6150931,1146.153226
0.6400,-122.3720204,214.6469345,1146.198721
0.6450,-122.7029902,214.6759857,1146.244424
0.6500,-123.0320629,214.7028874,1146.290196
0.6550,-123.3593254,214.7285947,1146.336027
0.6600,-123.6827701,214.7536469,1146.381523
0.6650,-124.0030899,214.7781895,1146.426823
0.6700,-124.3183276,214.8024586,1146.471679
0.6750,-124.6289572,214.82604,1146.516072
0.6800,-124.9333344,214.8493152,1146.559771
0.6850,-125.231483,214.8721956,1146.602817
0.6900,-125.5223992,214.8944436,1146.645022
0.6950,-125.8055421,214.9165601,1146.686384
0.7000,-126.0794777,214.9387412,1146.726537
0.7050,-126.3430891,214.9602644,1146.765306
0.7100,-126.5963918,214.9826211,1146.80267
0.7150,-126.8391424,215.0062933,1146.838563
0.7200,-127.0707564,215.0315852,1146.872878
0.7250,-127.2906209,215.0584941,1146.905474
0.7300,-127.4994137,215.0869825,1146.936413
0.7350,-127.6981123,215.1168679,1146.965726
0.7400,-127.8865894,215.1478737,1146.993473
0.7450,-128.0649462,215.1796566,1147.019623
0.7500,-128.2331685,215.2113806,1147.044053
0.7550,-128.3935628,215.2438144,1147.067203
0.7600,-128.5452477,215.2765121,1147.088866
0.7650,-128.6893578,215.3095612,1147.109248
0.7700,-128.8263301,215.3418044,1147.128378
0.7750,-128.9559235,215.3741947,1147.146171
0.7800,-129.0798446,215.4063529,1147.162888
0.7850,-129.1978362,215.4387058,1147.178336
0.7900,-129.3114417,215.4715216,1147.19273
0.7950,-129.4201451,215.5054129,1147.205987
0.8000,-129.5262627,215.540467,1147.218326
0.8050,-129.6285093,215.5772288,1147.229575
0.8100,-129.7274625,215.6150527,1147.239745
0.8150,-129.8237647,215.6543977,1147.248942
0.8200,-129.9191054,215.6958637,1147.257362
0.8250,-130.012904,215.7390263,1147.264947
0.8300,-130.1053545,215.7846364,1147.271758
0.8350,-130.1956232,215.8336027,1147.277739
0.8400,-130.2843092,215.8852976,1147.282999
0.8450,-130.3713765,215.9396069,1147.287652
0.8500,-130.4560485,215.9969501,1147.291656
0.8550,-130.5388231,216.0577058,1147.295086
0.8600,-130.6194994,216.1202308,1147.297995
0.8650,-130.6973753,216.1851136,1147.300432
0.8700,-130.772937,216.2511676,1147.302498
0.8750,-130.8462392,216.31872,1147.304226
0.8800,-130.9174817,216.3881,1147.30568
0.8850,-130.9857752,216.4581313,1147.306717
0.8900,-131.0516763,216.5282935,1147.307429
0.8950,-131.1154409,216.5991719,1147.307846
0.9000,-131.1759566,216.6709216,1147.307847
0.9050,-131.2335823,216.7431008,1147.307522
0.9100,-131.2894394,216.8165907,1147.307127
0.9150,-131.3430677,216.8908043,1147.306583
0.9200,-131.3939292,216.9648234,1147.305827
0.9250,-131.4443324,217.0401333,1147.305277
0.9300,-131.4945387,217.1165636,1147.30491
0.9350,-131.5444203,217.1943216,1147.304838
0.9400,-131.5948244,217.2725248,1147.305245
0.9450,-131.6458047,217.351252,1147.306156
0.9500,-131.6988898,217.4315758,1147.307915
0.9550,-131.7543623,217.5119211,1147.310532
0.9600,-131.8131516,217.5929389,1147.314291
0.9650,-131.8751989,217.6745256,1147.319124
0.9700,-131.9413726,217.7565611,1147.325272
0.9750,-132.0111686,217.8395681,1147.332694
0.9800,-132.0855328,217.923358,1147.341579
0.9850,-132.1644465,218.007796,1147.351978
0.9900,-132.2475882,218.0925213,1147.363863
0.9950,-132.3355253,218.1779782,1147.377285
1.0000,-132.4281727,218.2636079,1147.392383
1.0050,-132.524893,218.3504362,1147.408939
1.0100,-132.6248058,218.436585,1147.426807
1.0150,-132.7278585,218.5232943,1147.445937
1.0200,-132.8339543,218.6097788,1147.466296
1.0250,-132.9429677,218.6966727,1147.487847
1.0300,-133.054415,218.7829668,1147.510507
1.0350,-133.1665495,218.8694825,1147.534023
1.0400,-133.2795433,218.9564187,1147.558376
1.0450,-133.3929264,219.0439909,1147.583433
1.0500,-133.5068404,219.1330417,1147.609312
1.0550,-133.6203411,219.2228888,1147.635858
1.0600,-133.7339704,219.3139975,1147.663097
1.0650,-133.8468626,219.4063511,1147.690847
1.0700,-133.9588249,219.5013289,1147.71909
1.0750,-134.0710354,219.5982682,1147.748024
1.0800,-134.1826399,219.6973772,1147.777416
1.0850,-134.2938122,219.7984045,1147.807311
1.0900,-134.4043427,219.9011401,1147.837608
1.0950,-134.5152316,220.0061083,1147.868432
1.1000,-134.6256806,220.1137979,1147.899623
1.1050,-134.7368032,220.223565,1147.931273
1.1100,-134.8482055,220.3348148,1147.963318
1.1150,-134.9602283,220.4487182,1147.995688
1.1200,-135.0712176,220.5641909,1148.028099
1.1250,-135.1818133,220.6820008,1148.060589
1.1300,-135.2923721,220.8013029,1148.093056
1.1350,-135.4030059,220.9220939,1148.125453
1.1400,-135.513577,221.0437961,1148.157711
1.1450,-135.6230352,221.1674502,1148.189545
1.1500,-135.7321947,221.2920823,1148.221045
1.1550,-135.8401091,221.417157,1148.252061
1.1600,-135.9466634,221.5436849,1148.282527
1.1650,-136.0520573,221.6700655,1148.312373
1.1700,-136.1551654,221.7982303,1148.341457
1.1750,-136.2567175,221.9259293,1148.369834
1.1800,-136.3558778,222.0542431,1148.397439
1.1850,-136.4525719,222.1818298,1148.424242
1.1900,-136.5478759,222.3088029,1148.450453
1.1950,-136.6416141,222.4352416,1148.476125
1.2000,-136.7342974,222.5605758,1148.501297
1.2050,-136.825753,222.6838193,1148.525962
1.2100,-136.916391,222.8040486,1148.55006
1.2150,-137.0055652,222.9219135,1148.573544
1.2200,-137.0951667,223.036313,1148.596679
1.2250,-137.1833523,223.1480056,1148.619125
1.2300,-137.2711682,223.2558419,1148.641097
1.2350,-137.3586031,223.3594335,1148.662453
1.2400,-137.4465021,223.4599332,1148.683283
1.2450,-137.5342674,223.5559192,1148.703523
1.2500,-137.6221963,223.6464352,1148.723088
1.2550,-137.7098772,223.7335672,1148.741922
1.2600,-137.7968786,223.8157781,1148.75998
1.2650,-137.8835965,223.8929733,1148.777352
1.2700,-137.9686927,223.9651127,1148.793696
1.2750,-138.0527198,224.0314205,1148.809108
1.2800,-138.135575,224.092358,1148.82362
1.2850,-138.2159799,224.1472236,1148.836954
1.2900,-138.2942157,224.1973791,1148.849179
1.2950,-138.3693093,224.2418226,1148.860084
1.3000,-138.4412825,224.2809877,1148.86966
1.3050,-138.5110843,224.3145797,1148.878168
1.3100,-138.5772325,224.3433619,1148.885308
1.3150,-138.6393949,224.3675079,1148.891064
1.3200,-138.6968233,224.3864816,1148.895323
1.3250,-138.7494628,224.4001314,1148.898047
1.3300,-138.7958641,224.4096621,1148.898934
1.3350,-138.8369593,224.4140678,1148.898175
1.3400,-138.8713913,224.4136901,1148.895537
1.3450,-138.8996224,224.4084242,1148.891172
1.3500,-138.9210916,224.3979163,1148.884915
1.3550,-138.9358667,224.3818869,1148.876758
1.3600,-138.9431616,224.3613864,1148.866601
1.3650,-138.9437147,224.3361159,1148.854667
1.3700,-138.9372801,224.3056002,1148.840806
1.3750,-138.9233029,224.2689118,1148.824969
1.3800,-138.9026968,224.2264177,1148.80736
1.3850,-138.8757103,224.1779115,1148.787992
1.3900,-138.8426115,224.1231891,1148.767032
1.3950,-138.8034369,224.0616921,1148.744423
1.4000,-138.7589432,223.9928806,1148.720395
1.4050,-138.7089417,223.9163844,1148.694843
1.4100,-138.6547796,223.8330436,1148.668029
1.4150,-138.596611,223.7410833,1148.640108
1.4200,-138.5347872,223.6415261,1148.610998
1.4250,-138.4699554,223.5339806,1148.580905
1.4300,-138.4024861,223.4188454,1148.550022
1.4350,-138.3322271,223.2956135,1148.518241
1.4400,-138.2597904,223.1650142,1148.485757
1.4450,-138.1861478,223.0265648,1148.452816
1.4500,-138.1099931,222.880233,1148.419135
1.4550,-138.03184,222.7272361,1148.384803
1.4600,-137.951917,222.5666331,1148.349841
1.4650,-137.8700604,222.3989268,1148.314306
1.4700,-137.7865454,222.2232791,1148.278222
1.4750,-137.7009971,222.0405457,1148.241554
1.4800,-137.6149165,221.8494287,1148.204577
1.4850,-137.5282334,221.6501161,1148.16729
1.4900,-137.4400726,221.4430127,1148.129558
1.4950,-137.3502498,221.2285193,1148.091311
1.5000,-137.2599117,221.0059112,1148.052772
1.5050,-137.1691763,220.7765779,1148.013966
1.5100,-137.0778225,220.5410682,1147.974894
1.5150,-136.9867967,220.2994121,1147.935713
1.5200,-136.8952439,220.0526848,1147.89632
1.5250,-136.805256,219.800967,1147.856938
1.5300,-136.7162994,219.5451239,1147.817539
1.5350,-136.6282566,219.285474,1147.77809
1.5400,-136.540402,219.0228582,1147.738557
1.5450,-136.4538491,218.7583639,1147.698983
1.5500,-136.3678961,218.4934087,1147.659346
1.5550,-136.2826341,218.2269203,1147.619702
1.5600,-136.1981429,217.9607884,1147.579978
1.5650,-136.1138132,217.6970575,1147.540054
1.5700,-136.0292158,217.4348727,1147.500009
1.5750,-135.9447186,217.175306,1147.459865
1.5800,-135.8591715,216.9194104,1147.419457
1.5850,-135.7731094,216.6679277,1147.378931
1.5900,-135.6854107,216.4213491,1147.338179
1.5950,-135.596219,216.1801582,1147.297254
1.6000,-135.5043753,215.944874,1147.256002
1.6050,-135.4097382,215.716244,1147.214463
1.6100,-135.3126692,215.4946648,1147.172762
1.6150,-135.2118551,215.2801496,1147.130683
1.6200,-135.1073788,215.0741293,1147.088237
1.6250,-135.0001598,214.8759415,1147.045717
1.6300,-134.8902619,214.6864805,1147.003156
1.6350,-134.7781996,214.5067307,1146.960716
1.6400,-134.6646233,214.3360107,1146.918424
1.6450,-134.5498484,214.1762909,1146.87628
1.6500,-134.4355479,214.0276826,1146.834697
1.6550,-134.321576,213.8894459,1146.793792
1.6600,-134.2085956,213.7615332,1146.753753
1.6650,-134.0969688,213.6446856,1146.714513
1.6700,-133.9881907,213.5378598,1146.676316
1.6750,-133.8817548,213.4419712,1146.639136
1.6800,-133.7785582,213.3553227,1146.603068
1.6850,-133.6801467,213.2774476,1146.568514
1.6900,-133.5865597,213.2079253,1146.535371
1.6950,-133.4987508,213.1460853,1146.503857
1.7000,-133.4174981,213.0926112,1146.474027
1.7050,-133.3438488,213.0466747,1146.446145
1.7100,-133.2771163,213.0076868,1146.42003
1.7150,-133.2182082,212.9766651,1146.395737
1.7200,-133.1682611,212.9510365,1146.373555
1.7250,-133.1264968,212.930784,1146.353272
1.7300,-133.0925039,212.9153693,1146.334701
1.7350,-133.0671594,212.9037315,1146.317992
1.7400,-133.0496345,212.8949697,1146.302881
1.7450,-133.0408469,212.8897461,1146.289481
1.7500,-133.0410111,212.8867809,1146.277793
1.7550,-133.0500224,212.8850918,1146.267703
1.7600,-133.0673438,212.8841876,1146.259141
1.7650,-133.0923116,212.8848775,1146.251859
1.7700,-133.1258706,212.8864332,1146.245934
1.7750,-133.1666299,212.8891811,1146.241057
1.7800,-133.2133503,212.8937554,1146.23691
1.7850,-133.2657161,212.9006116,1146.233456
1.7900,-133.3228478,212.9081133,1146.230521
1.7950,-133.3847575,212.9167538,1146.228148
1.8000,-133.4497604,212.9268691,1146.226107
1.8050,-133.5179373,212.9375558,1146.224451
1.8100,-133.5880305,212.9485929,1146.223049
1.8150,-133.6586734,212.9598968,1146.2217
1.8200,-133.7298571,212.9720267,1146.220521
1.8250,-133.7988827,212.9844217,1146.219182
1.8300,-133.866248,212.9973018,1146.217817
1.8350,-133.9305238,213.0108586,1146.216266
1.8400,-133.9915689,213.0242318,1146.214533
1.8450,-134.0487178,213.0377451,1146.212618
1.8500,-134.1011582,213.051135,1146.21038
1.8550,-134.1493663,213.0648654,1146.207874
1.8600,-134.1927229,213.0780729,1146.205072
1.8650,-134.2310171,213.0907173,1146.201945
1.8700,-134.2648081,213.1034692,1146.198468
1.8750,-134.293998,213.1156535,1146.194709
1.8800,-134.3179093,213.1274373,1146.190512
1.8850,-134.3373975,213.1387717,1146.185996
1.8900,-134.3519124,213.1490644,1146.18109
1.8950,-134.3619507,213.159944,1146.175937
1.9000,-134.3674986,213.1710869,1146.170493
1.9050,-134.3678603,213.1814063,1146.164664
1.9100,-134.3627271,213.1920874,1146.158392
1.9150,-134.3529339,213.201505,1146.15188
1.9200,-134.3385174,213.2097869,1146.145206
1.9250,-134.3186218,213.2175499,1146.138166
1.9300,-134.2941323,213.2243665,1146.13095
1.9350,-134.2655952,213.2301561,1146.123689
1.9400,-134.2329132,213.2349107,1146.11648
1.9450,-134.1973002,213.2379187,1146.109587
1.9500,-134.1584588,213.2388913,1146.102882
1.9550,-134.1172767,213.2396097,1146.096352
1.9600,-134.0754668,213.2390937,1146.090242
1.9650,-134.033893,213.2378393,1146.084736
1.9700,-133.9932229,213.235879,1146.079945
1.9750,-133.954678,213.2340676,1146.075835
1.9800,-133.9189865,213.2323608,1146.072563
1.9850,-133.8858721,213.2309501,1146.069982
1.9900,-133.85628,213.2307642,1146.068159
1.9950,-133.8304692,213.2307491,1146.067194
2.0000,-133.8084304,213.2312924,1146.066883
2.0050,-133.7905862,213.2321153,1146.067253
2.0100,-133.7763193,213.2332968,1146.068174
2.0150,-133.7660666,213.2335677,1146.069719
