type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Body center of mass","s",0.0000,200,5184,"mm"

time,x,y,z
0.0000,-14.18173881,-5.08739012,993.2447818
0.0050,-14.18155214,-5.088157884,993.2447981
0.0100,-14.18136566,-5.088925558,993.2448145
0.0150,-14.1811794,-5.08969314,993.244831
0.0200,-14.18098195,-5.090539936,993.2448507
0.0250,-14.1807763,-5.091465373,993.2448741
0.0300,-14.18056621,-5.092468473,993.2449016
0.0350,-14.18035599,-5.093548037,993.2449341
0.0400,-14.18015004,-5.094702881,993.2449721
0.0450,-14.17995256,-5.095931901,993.2450163
0.0500,-14.17976748,-5.09723387,993.2450672
0.0550,-14.17959825,-5.098607052,993.2451255
0.0600,-14.17944771,-5.100048763,993.2451914
0.0650,-14.1793178,-5.101554936,993.2452651
0.0700,-14.17920951,-5.103119786,993.2453465
0.0750,-14.17912294,-5.104735522,993.2454351
0.0800,-14.17905744,-5.106392112,993.2455303
0.0850,-14.17901174,-5.108077233,993.2456311
0.0900,-14.17898416,-5.109776444,993.2457363
0.0950,-14.17897297,-5.111473608,993.2458447
0.1000,-14.17897657,-5.113151395,993.2459549
0.1050,-14.17899337,-5.114791634,993.2460653
0.1100,-14.17902158,-5.116375626,993.2461744
0.1150,-14.17905912,-5.117884518,993.2462806
0.1200,-14.17910345,-5.119299566,993.2463823
0.1250,-14.17915147,-5.12060241,993.2464777
0.1300,-14.17919929,-5.121775554,993.246565
0.1350,-14.17924234,-5.122803017,993.2466424
0.1400,-14.17927545,-5.123671136,993.2467081
0.1450,-14.17929309,-5.124369585,993.2467605
0.1500,-14.17928937,-5.124892445,993.2467983
0.1550,-14.17867656,-5.128772988,993.2469648
0.1600,-14.17802702,-5.132635683,993.2471265
0.1650,-14.17732233,-5.13647285,993.2472797
0.1700,-14.17658062,-5.140303082,993.2474286
0.1750,-14.17577473,-5.144158501,993.2475712
0.1800,-14.17492278,-5.148069587,993.2477127
0.1850,-14.17403947,-5.152034779,993.2478546
0.1900,-14.17308641,-5.156054457,993.2479905
0.1950,-14.17206134,-5.160189746,993.2481254
0.2000,-14.17101548,-5.164459241,993.2482685
0.2050,-14.16991385,-5.168864718,993.248414
0.2100,-14.16878321,-5.17343798,993.2485688
0.2150,-14.16761502,-5.178178178,993.2487313
0.2200,-14.1664207,-5.183134018,993.2489074
0.2250,-14.16518766,-5.188345516,993.2490995
0.2300,-14.1639266,-5.193779595,993.2493064
0.2350,-14.16265535,-5.199459896,993.2495329
0.2400,-14.16135918,-5.205421089,993.2497808
0.2450,-14.16007213,-5.211621994,993.2500519
0.2500,-14.15882206,-5.218122983,993.250356
0.2550,-14.15760244,-5.224933485,993.2506935
0.2600,-14.15642702,-5.231999164,993.251062
0.2650,-14.1553051,-5.239381603,993.2514695
0.2700,-14.15421664,-5.247073687,993.2519125
0.2750,-14.15319181,-5.255013661,993.252391
0.2800,-14.15226042,-5.263229103,993.2529124
0.2850,-14.15139157,-5.271665578,993.253468
0.2900,-14.15060698,-5.280322317,993.254062
0.2950,-14.14990901,-5.289153545,993.2546905
0.3000,-14.14928902,-5.298186435,993.2553558
0.3050,-14.14875458,-5.307371431,993.2560547
0.3100,-14.1483215,-5.316700626,993.2567892
