type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Segments-Forearm RT-Acceleration","s",0.0000,200,5128,"mG"

time,x,y,z
0.0000,-10.85001518,-10.16396841,1.995472371
0.0050,-6.621064944,-2.700974173,3.625440631
0.0100,-1.136514913,6.253666546,-6.229186118
0.0150,7.787112557,6.078472074,-5.043866021
0.0200,22.5299068,7.251672699,-4.726083652
0.0250,30.64050954,3.804424003,0.7205404909
0.0300,43.19777866,18.00520341,-2.570298029
0.0350,50.34750015,20.78472899,-2.120236615
0.0400,51.45441135,8.899331114,-3.45347653
0.0450,37.17272071,2.084926677,-11.00744804
0.0500,25.35260199,12.04219696,-14.87338497
0.0550,15.56372503,0.6562229687,-17.22675523
0.0600,11.29088773,-2.883244084,-17.13951906
0.0650,5.738702144,-3.564102735,-17.26030935
0.0700,9.542040263,-16.79306951,-6.236655543
0.0750,12.95266348,-0.695862593,1.40845346
0.0800,10.03605205,-0.4997567539,6.484641958
0.0850,0.7000133342,0.02117591155,9.865489023
0.0900,-0.5407576533,7.61561323,13.63124454
0.0950,-19.50578725,-2.731493717,13.63799053
0.1000,-7.298878341,20.34906818,15.23673722
0.1050,-15.74761281,11.16247301,11.69038265
0.1100,-13.77017205,12.15423423,9.074295734
0.1150,-20.91088633,11.51340183,3.140523278
0.1200,-24.92391762,0.4679828647,10.40075434
0.1250,-24.30040202,4.847146793,11.44472384
0.1300,-28.48052164,1.111249081,12.55270884
0.1350,-39.87853732,4.229991126,6.428057145
0.1400,-25.35947494,-1.13066347,13.17397735
0.1450,-28.04191723,-1.989185629,8.978261596
0.1500,-21.09485701,0.9630814638,3.430998265
0.1550,-4.222228985,-0.009592643744,12.56478501
0.1600,-6.092259207,-6.964829135,4.049074569
0.1650,4.358620342,-5.792462371,1.968899849
0.1700,20.69987197,-5.237882574,-3.75298786
0.1750,31.73133247,-5.133880857,1.16724814
0.1800,50.88345472,-6.882168085,6.862193357
0.1850,52.62387879,-5.501913595,11.57721192
0.1900,51.11664509,2.449312747,10.83576959
0.1950,41.25978301,-7.748406955,12.37977894
0.2000,22.3242191,0.3181596764,-2.316026831
0.2050,19.8003411,9.627234154,3.215610423
0.2100,5.213681101,11.09364626,-3.631653617
0.2150,11.03985572,13.29738148,2.278255967
0.2200,1.762030283,14.1264021,-9.657406985
0.2250,9.145696763,19.56373208,-7.119506831
0.2300,4.488639112,1.197108962,-7.381684976
0.2350,15.80210992,12.53557177,-0.2237142221
0.2400,25.46654502,19.87472381,-7.814297908
0.2450,22.14825614,3.202010851,-11.75270586
0.2500,33.43153926,7.597185188,-4.814882171
0.2550,31.43655331,-0.7931738345,-13.62143932
0.2600,47.83051435,12.24839795,-13.259194
0.2650,59.92813692,-6.942932318,-9.678052418
0.2700,73.35010048,-7.392395208,-5.749249076
0.2750,82.61390556,-3.727249135,-0.6046495262
0.2800,80.09131279,-6.364988366,-1.145277644
0.2850,74.80542365,4.764531279,0.8375813599
0.2900,57.3430195,1.643446299,1.957868519
0.2950,40.21739413,10.50853181,-1.21108958
0.3000,30.20928644,4.256422227,2.410520769
0.3050,2.077450393,5.846041542,-6.859997425
0.3100,-1.41643994,2.136081043,3.582907175
0.3150,-13.63229793,6.967527356,8.046075995
0.3200,-11.54904878,-4.596801279,17.16531398
0.3250,-6.769554196,5.123529439,8.504548375
0.3300,-0.1769976551,-5.131502252,6.464024744
0.3350,2.762238345,-2.496040294,-3.260699309
0.3400,16.84629913,7.494354703,-4.486122177
0.3450,31.08639972,-1.041502434,9.68430742
0.3500,35.04119094,15.92727793,12.52012272
0.3550,31.48215673,11.39239754,14.7263939
0.3600,17.02853348,6.012205159,8.143308749
0.3650,9.665881736,14.44214951,4.597858259
