type,name,time_units,begin_time,frequency,count,units
signal_4d,"Noraxon MyoMotion-Segments-Forearm RT-Orientation","s",0.0000,200,5324,""

time,x,y,z,w
0.0000,0.6681523634,-0.1665960904,-0.1582051748,0.7076646696
0.0050,0.6682299857,-0.1664662931,-0.1580349299,0.707659961
0.0100,0.6683075732,-0.1663364876,-0.1578646773,0.7076552156
0.0150,0.6683851258,-0.1662066739,-0.1576944171,0.7076504335
0.0200,0.6684709581,-0.1660609921,-0.1575045939,0.7076458351
0.0250,0.6685650015,-0.1658992296,-0.1572951364,0.7076415225
0.0300,0.6686670991,-0.1657213645,-0.1570661724,0.707637589
0.0350,0.6687770198,-0.1655275465,-0.1568180053,0.7076341161
0.0400,0.6688944688,-0.1653180769,-0.1565511037,0.7076311716
0.0450,0.6690190894,-0.1650933983,-0.1562660968,0.7076288115
0.0500,0.6691504601,-0.1648540934,-0.1559637677,0.707627086
0.0550,0.6692880915,-0.1646008899,-0.1556450496,0.7076260426
0.0600,0.6694314299,-0.164334669,-0.1553110243,0.7076257224
0.0650,0.6695798663,-0.1640564646,-0.1549629253,0.7076261519
0.0700,0.6697327456,-0.1637674555,-0.1546021427,0.7076273366
0.0750,0.669889369,-0.163468956,-0.1542302227,0.7076292618
0.0800,0.670048993,-0.163162412,-0.1538488574,0.7076318982
0.0850,0.6702108261,-0.1628493952,-0.15345987,0.7076352107
0.0900,0.6703740253,-0.1625315931,-0.1530652009,0.7076391678
0.0950,0.6705376968,-0.1622107952,-0.1526668954,0.707643748
0.1000,0.6707008996,-0.1618888783,-0.1522670916,0.7076489434
0.1050,0.670862649,-0.1615677879,-0.1518680164,0.7076547617
0.1100,0.6710219229,-0.1612495155,-0.1514719878,0.7076612252
0.1150,0.671177676,-0.1609360711,-0.1510814085,0.707668366
0.1200,0.6713288615,-0.1606294486,-0.1506987401,0.7076762181
0.1250,0.671474455,-0.1603315914,-0.150326464,0.7076848107
0.1300,0.6716134761,-0.1600443602,-0.1499670343,0.7076941642
0.1350,0.6717450147,-0.159769497,-0.1496228226,0.7077042843
0.1400,0.6718682624,-0.1595085807,-0.1492960509,0.7077151545
0.1450,0.6719825452,-0.1592629778,-0.1489887086,0.7077267323
0.1500,0.6720873536,-0.1590337835,-0.1487024525,0.7077389529
0.1550,0.6723271893,-0.1585085968,-0.14803046,0.7077698483
0.1600,0.672556997,-0.1579980952,-0.1473770656,0.7078020121
