type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Forearm RT-Course","s",0.0000,200,5728,"deg"

time,value
0.0000,-149.7775049
0.0050,-149.8042261
0.0100,-149.8309472
0.0150,-149.8576683
0.0200,-149.8858659
0.0250,-149.9152471
0.0300,-149.9454881
0.0350,-149.9762462
0.0400,-150.00717
0.0450,-150.03791
0.0500,-150.0681268
0.0550,-150.0974983
0.0600,-150.1257255
0.0650,-150.1525381
0.0700,-150.1776989
0.0750,-150.2010065
0.0800,-150.2222975
0.0850,-150.2414465
0.0900,-150.2583643
0.0950,-150.2729962
0.1000,-150.2853191
0.1050,-150.2953392
0.1100,-150.303091
0.1150,-150.3086357
0.1200,-150.3120601
0.1250,-150.3134761
0.1300,-150.31302
0.1350,-150.310853
0.1400,-150.3071594
0.1450,-150.3021451
0.1500,-150.2960362
0.1550,-150.3021943
0.1600,-150.3071098
0.1650,-150.3107468
0.1700,-150.3134261
0.1750,-150.3154591
0.1800,-150.3172415
0.1850,-150.3186971
0.1900,-150.3201238
0.1950,-150.3218391
0.2000,-150.3237773
0.2050,-150.3263673
0.2100,-150.3293048
0.2150,-150.3327671
0.2200,-150.3367132
0.2250,-150.3410713
0.2300,-150.3459199
0.2350,-150.351182
0.2400,-150.356709
0.2450,-150.3625807
0.2500,-150.3684416
0.2550,-150.374246
0.2600,-150.3797755
0.2650,-150.3851625
0.2700,-150.3902802
0.2750,-150.3950577
0.2800,-150.3994004
0.2850,-150.4034152
0.2900,-150.4070392
0.2950,-150.4101861
0.3000,-150.4129467
0.3050,-150.4153295
0.3100,-150.4172893
0.3150,-150.4187941
0.3200,-150.4199902
0.3250,-150.4206397
0.3300,-150.4211355
0.3350,-150.4212388
0.3400,-150.4211325
0.3450,-150.4206442
0.3500,-150.4200755
0.3550,-150.4192721
0.3600,-150.4182513
0.3650,-150.4172719
0.3700,-150.4160768
0.3750,-150.4147985
0.3800,-150.4135248
0.3850,-150.4121564
0.3900,-150.4109223
0.3950,-150.4098035
0.4000,-150.408893
0.4050,-150.4081343
0.4100,-150.4076296
0.4150,-150.4073429
0.4200,-150.4073801
0.4250,-150.407596
0.4300,-150.4080142
0.4350,-150.4083899
0.4400,-150.4089003
0.4450,-150.4093639
0.4500,-150.4095971
0.4550,-150.4097038
0.4600,-150.4096398
0.4650,-150.4093048
0.4700,-150.4089012
0.4750,-150.4082397
0.4800,-150.407156
0.4850,-150.4058455
0.4900,-150.4044745
0.4950,-150.402876
0.5000,-150.4013275
0.5050,-150.3999523
0.5100,-150.3988851
0.5150,-150.3983196
0.5200,-150.3983936
0.5250,-150.3991616
0.5300,-150.4009899
0.5350,-150.4038592
0.5400,-150.4079894
0.5450,-150.4135655
0.5500,-150.4207267
0.5550,-150.4294902
0.5600,-150.4400629
0.5650,-150.4525373
0.5700,-150.4669272
0.5750,-150.4834324
0.5800,-150.5020003
0.5850,-150.5227922
0.5900,-150.545769
0.5950,-150.5711006
0.6000,-150.5986823
0.6050,-150.6286523
0.6100,-150.6608706
0.6150,-150.6953636
0.6200,-150.7317561
0.6250,-150.7701276
0.6300,-150.809921
0.6350,-150.8510394
0.6400,-150.8930925
0.6450,-150.9358629
0.6500,-150.9787804
0.6550,-151.0215816
0.6600,-151.0637362
0.6650,-151.1047441
0.6700,-151.1442011
0.6750,-151.1815358
0.6800,-151.2161651
0.6850,-151.2478323
0.6900,-151.2760097
0.6950,-151.3001058
0.7000,-151.3198049
0.7050,-151.3347432
0.7100,-151.3446821
0.7150,-151.3493825
0.7200,-151.348645
0.7250,-151.3425198
0.7300,-151.3311352
0.7350,-151.3145921
0.7400,-151.2930702
0.7450,-151.2668789
0.7500,-151.2365245
0.7550,-151.2022826
0.7600,-151.164599
0.7650,-151.1239095
0.7700,-151.0808085
0.7750,-151.0356252
0.7800,-150.9892234
0.7850,-150.9421215
0.7900,-150.8944728
0.7950,-150.847116
0.8000,-150.8003186
0.8050,-150.7543207
0.8100,-150.7096785
0.8150,-150.6667499
0.8200,-150.6258121
0.8250,-150.5871909
0.8300,-150.5509136
0.8350,-150.517319
0.8400,-150.4865211
0.8450,-150.4586336
0.8500,-150.4340868
0.8550,-150.4128594
0.8600,-150.3950132
0.8650,-150.3806377
0.8700,-150.3697305
0.8750,-150.3623285
0.8800,-150.3584292
0.8850,-150.3581318
0.8900,-150.3612274
0.8950,-150.3677661
0.9000,-150.3776231
0.9050,-150.3903706
0.9100,-150.405972
0.9150,-150.4244143
0.9200,-150.4454374
0.9250,-150.4686864
0.9300,-150.4941189
0.9350,-150.5214165
0.9400,-150.5505209
0.9450,-150.5811101
0.9500,-150.6129071
0.9550,-150.6458419
0.9600,-150.6796445
0.9650,-150.714306
0.9700,-150.7496159
0.9750,-150.7855107
0.9800,-150.8219517
0.9850,-150.8587271
0.9900,-150.8956996
0.9950,-150.9329469
1.0000,-150.9704904
1.0050,-151.0082715
1.0100,-151.0463236
1.0150,-151.0846754
1.0200,-151.1233162
1.0250,-151.1620314
1.0300,-151.2008122
1.0350,-151.2396296
1.0400,-151.278194
1.0450,-151.3163716
1.0500,-151.3539429
1.0550,-151.3907465
1.0600,-151.4265462
1.0650,-151.4612841
1.0700,-151.4944858
1.0750,-151.5260924
1.0800,-151.5558772
1.0850,-151.5835228
1.0900,-151.6091866
1.0950,-151.6326532
1.1000,-151.6537949
1.1050,-151.6727473
1.1100,-151.6895184
1.1150,-151.7041021
1.1200,-151.7165223
