type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon Ultium-RT BRACHIORAD.","s",0.00000,2000,53480,"uV"

time,value
0.00000,4.615131226
0.00050,4.615131226
0.00100,3.394353595
0.00150,1.868381556
0.00200,1.563187149
0.00250,2.783964779
0.00300,4.00474241
0.00350,4.309936818
0.00400,3.699548003
0.00450,2.783964779
0.00500,1.563187149
0.00550,-0.2679792975
0.00600,-1.793951336
0.00650,-2.099145744
0.00700,-0.8783681129
0.00750,-0.2679792975
0.00800,-0.2679792975
0.00850,-0.2679792975
0.00900,-0.8783681129
0.00950,-1.793951336
0.01000,-3.319923375
0.01050,-4.235506598
0.01100,-3.93031219
0.01150,-2.709534559
0.01200,-1.183562521
0.01250,-0.2679792975
0.01300,0.6476039256
0.01350,0.6476039256
0.01400,-0.5731737052
0.01450,-2.099145744
0.01500,-1.793951336
0.01550,-0.8783681129
0.01600,-0.5731737052
0.01650,-1.183562521
0.01700,-0.8783681129
0.01750,0.6476039256
0.01800,1.563187149
0.01850,0.03721511018
0.01900,-2.709534559
0.01950,-3.93031219
0.02000,-3.319923375
0.02050,-2.709534559
0.02100,-2.099145744
0.02150,-0.2679792975
0.02200,2.478770372
0.02250,4.920325633
0.02300,4.00474241
0.02350,0.9527983333
0.02400,-0.2679792975
0.02450,1.868381556
0.02500,4.309936818
0.02550,4.00474241
0.02600,1.563187149
0.02650,-0.2679792975
0.02700,-0.5731737052
0.02750,-0.5731737052
0.02800,-1.183562521
0.02850,-2.709534559
0.02900,-3.625117782
0.02950,-3.625117782
0.03000,-2.099145744
0.03050,-0.2679792975
0.03100,1.563187149
0.03150,1.868381556
0.03200,0.6476039256
0.03250,-0.2679792975
0.03300,0.03721511018
0.03350,1.257992741
0.03400,1.868381556
0.03450,1.257992741
0.03500,0.6476039256
0.03550,0.3424095179
0.03600,0.3424095179
0.03650,0.3424095179
0.03700,-0.2679792975
0.03750,0.03721511018
0.03800,0.6476039256
0.03850,0.3424095179
0.03900,-0.8783681129
0.03950,-1.793951336
0.04000,-0.5731737052
0.04050,1.257992741
0.04100,1.563187149
0.04150,1.563187149
0.04200,3.394353595
0.04250,6.141103264
0.04300,6.75149208
0.04350,4.920325633
0.04400,4.00474241
0.04450,3.699548003
0.04500,1.868381556
0.04550,-1.183562521
0.04600,-1.793951336
0.04650,3.089159187
0.04700,8.887852934
0.04750,10.41382497
0.04800,8.582658526
0.04850,7.361880895
0.04900,6.446297672
0.04950,2.478770372
0.05000,-2.709534559
0.05050,-6.371867452
0.05100,-7.592645082
0.05150,-8.203033898
0.05200,-9.118617121
0.05250,-7.89783949
0.05300,-5.761478636
0.05350,-6.371867452
0.05400,-9.118617121
0.05450,-9.729005936
0.05500,-6.677061859
0.05550,-5.151089821
0.05600,-7.592645082
0.05650,-10.94978357
0.05700,-10.33939475
0.05750,-7.592645082
0.05800,-6.371867452
0.05850,-6.371867452
0.05900,-4.845895413
0.05950,-2.709534559
0.06000,-2.709534559
0.06050,-3.93031219
0.06100,-3.319923375
0.06150,-0.2679792975
0.06200,1.563187149
0.06250,1.563187149
0.06300,2.173575964
0.06350,4.920325633
0.06400,6.141103264
0.06450,2.783964779
0.06500,-1.793951336
0.06550,-4.540701005
0.06600,-6.066673044
0.06650,-9.729005936
0.06700,-12.78095001
0.06750,-10.33939475
0.06800,-3.93031219
0.06850,0.03721511018
0.06900,-1.183562521
0.06950,-4.540701005
0.07000,-5.456284228
0.07050,-5.456284228
0.07100,-6.371867452
0.07150,-7.592645082
0.07200,-6.371867452
0.07250,-4.540701005
0.07300,-3.625117782
0.07350,-3.014728967
0.07400,-0.2679792975
0.07450,3.089159187
0.07500,4.615131226
0.07550,3.699548003
0.07600,3.089159187
0.07650,3.394353595
0.07700,3.089159187
0.07750,1.257992741
0.07800,0.9527983333
0.07850,2.478770372
0.07900,4.00474241
0.07950,4.00474241
0.08000,2.783964779
0.08050,2.478770372
0.08100,2.783964779
0.08150,3.394353595
0.08200,3.699548003
0.08250,4.309936818
0.08300,4.309936818
0.08350,2.173575964
0.08400,-0.8783681129
0.08450,-2.709534559
0.08500,-2.404340151
0.08550,-1.793951336
0.08600,-2.099145744
0.08650,-2.404340151
0.08700,-1.183562521
0.08750,0.03721511018
0.08800,0.9527983333
0.08850,1.868381556
0.08900,4.00474241
0.08950,7.056686487
0.09000,7.667075303
0.09050,6.141103264
0.09100,4.920325633
0.09150,5.225520041
0.09200,6.446297672
0.09250,6.446297672
0.09300,5.225520041
0.09350,3.699548003
0.09400,1.868381556
0.09450,0.3424095179
0.09500,-0.2679792975
0.09550,-0.5731737052
0.09600,-1.488756928
0.09650,-3.93031219
