type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Forearm RT-Pitch","s",0.0000,200,5320,"deg"

time,value
0.0000,-2.157599107
0.0050,-2.164455897
0.0100,-2.171311155
0.0150,-2.178164881
0.0200,-2.184959943
0.0250,-2.191555246
0.0300,-2.197813116
0.0350,-2.203604656
0.0400,-2.208813449
0.0450,-2.213337982
0.0500,-2.217093835
0.0550,-2.220015737
0.0600,-2.222058539
0.0650,-2.223196719
0.0700,-2.223422716
0.0750,-2.22274463
0.0800,-2.221184475
0.0850,-2.218777882
0.0900,-2.215574569
0.0950,-2.211638263
0.1000,-2.207045268
0.1050,-2.201881967
0.1100,-2.196241986
0.1150,-2.190223305
0.1200,-2.18392554
0.1250,-2.177447229
0.1300,-2.170883113
0.1350,-2.164322624
0.1400,-2.157849703
0.1450,-2.151542143
0.1500,-2.145469914
0.1550,-2.137385404
0.1600,-2.129272617
0.1650,-2.120970046
0.1700,-2.112687532
0.1750,-2.104444835
0.1800,-2.09643485
0.1850,-2.088553609
0.1900,-2.080852768
0.1950,-2.073275557
0.2000,-2.06586138
0.2050,-2.058592384
0.2100,-2.051410268
0.2150,-2.04447736
0.2200,-2.037721362
0.2250,-2.031212141
0.2300,-2.024849409
0.2350,-2.018589888
0.2400,-2.012453081
0.2450,-2.006618362
0.2500,-2.001156175
0.2550,-1.995999075
0.2600,-1.991167425
0.2650,-1.986653889
0.2700,-1.982249382
0.2750,-1.978258901
0.2800,-1.97443871
0.2850,-1.9704395
0.2900,-1.96644709
0.2950,-1.962388197
0.3000,-1.958303857
0.3050,-1.954037035
0.3100,-1.949434516
0.3150,-1.944625558
0.3200,-1.939603082
0.3250,-1.934314684
0.3300,-1.928726074
0.3350,-1.922658795
0.3400,-1.916116764
0.3450,-1.909236287
0.3500,-1.901883398
0.3550,-1.894149051
0.3600,-1.886016064
0.3650,-1.877685574
0.3700,-1.868945361
0.3750,-1.859851845
0.3800,-1.850651305
0.3850,-1.841395792
0.3900,-1.832015341
0.3950,-1.822618895
0.4000,-1.813172173
0.4050,-1.803661067
0.4100,-1.794195301
0.4150,-1.784659793
0.4200,-1.775162208
0.4250,-1.765735601
0.4300,-1.756154836
0.4350,-1.746719534
0.4400,-1.737322342
0.4450,-1.727986845
0.4500,-1.718844273
0.4550,-1.709867979
0.4600,-1.701024355
0.4650,-1.692556418
0.4700,-1.684317541
0.4750,-1.676377874
0.4800,-1.668684777
0.4850,-1.661208269
0.4900,-1.653987663
0.4950,-1.647164011
0.5000,-1.640572435
0.5050,-1.63418618
0.5100,-1.628154641
0.5150,-1.622271483
0.5200,-1.6167033
0.5250,-1.611423051
0.5300,-1.606249146
0.5350,-1.601324111
0.5400,-1.596583601
0.5450,-1.591821099
0.5500,-1.587168682
0.5550,-1.582427914
0.5600,-1.577588423
0.5650,-1.572776123
0.5700,-1.567894463
0.5750,-1.562790915
0.5800,-1.557489469
0.5850,-1.552061407
0.5900,-1.546429412
0.5950,-1.54060423
0.6000,-1.53434555
0.6050,-1.527761477
0.6100,-1.52081723
0.6150,-1.513332692
0.6200,-1.50524586
0.6250,-1.496720533
0.6300,-1.487625908
0.6350,-1.478038341
0.6400,-1.467935187
0.6450,-1.457228988
0.6500,-1.445922454
0.6550,-1.434101936
0.6600,-1.421797556
0.6650,-1.408891821
0.6700,-1.395554525
0.6750,-1.381804906
0.6800,-1.367552113
0.6850,-1.352818512
0.6900,-1.33766842
0.6950,-1.322012733
0.7000,-1.305779098
0.7050,-1.289195148
0.7100,-1.272156497
0.7150,-1.254650214
0.7200,-1.236861224
0.7250,-1.218647477
0.7300,-1.200326563
0.7350,-1.181661567
0.7400,-1.162891261
0.7450,-1.144011752
0.7500,-1.124961907
0.7550,-1.105849427
0.7600,-1.086592665
0.7650,-1.067185622
0.7700,-1.047791505
0.7750,-1.028320718
0.7800,-1.008803006
0.7850,-0.9894510798
0.7900,-0.9701004962
0.7950,-0.9506185793
0.8000,-0.9311713962
0.8050,-0.9118039265
0.8100,-0.8923837443
0.8150,-0.8730213981
0.8200,-0.8535503232
0.8250,-0.8341497062
0.8300,-0.8147724924
0.8350,-0.7954638455
0.8400,-0.7762345748
0.8450,-0.7571896933
0.8500,-0.7381385962
0.8550,-0.7193597087
0.8600,-0.7009979223
0.8650,-0.6828495678
0.8700,-0.665086763
