type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Segments-Upper arm RT-Sensor Acceleration","s",0.0000,200,5320,"mG"

time,x,y,z
0.0000,963.8671875,-216.796875,-35.64453125
0.0050,965.8203125,-213.3789063,-29.78515625
0.0100,958.0078125,-218.2617188,-38.0859375
0.0150,964.84375,-213.8671875,-36.1328125
0.0200,965.3320313,-216.3085938,-38.57421875
0.0250,958.0078125,-220.703125,-31.73828125
0.0300,968.2617188,-219.2382813,-45.41015625
0.0350,965.8203125,-220.703125,-40.0390625
0.0400,971.1914063,-222.1679688,-19.04296875
0.0450,975.0976563,-216.796875,-28.80859375
0.0500,968.2617188,-215.8203125,-32.2265625
0.0550,969.2382813,-213.8671875,-31.73828125
0.0600,971.6796875,-210.4492188,-27.83203125
0.0650,962.890625,-223.1445313,-41.015625
0.0700,963.3789063,-222.1679688,-19.53125
0.0750,974.609375,-220.703125,-38.0859375
0.0800,972.1679688,-220.703125,-35.15625
0.0850,970.703125,-227.0507813,-39.0625
0.0900,973.6328125,-224.609375,-42.96875
0.0950,970.703125,-232.421875,-41.9921875
0.1000,969.7265625,-237.3046875,-32.71484375
0.1050,962.890625,-236.8164063,-43.9453125
0.1100,969.7265625,-235.3515625,-39.55078125
0.1150,970.2148438,-234.375,-43.9453125
0.1200,967.2851563,-235.8398438,-36.1328125
0.1250,965.8203125,-237.3046875,-47.36328125
0.1300,966.3085938,-234.375,-43.45703125
0.1350,970.2148438,-236.328125,-46.38671875
0.1400,967.2851563,-237.3046875,-39.55078125
0.1450,968.75,-238.28125,-51.26953125
0.1500,965.3320313,-235.8398438,-50.29296875
0.1550,967.2851563,-240.7226563,-50.29296875
0.1600,956.0546875,-246.09375,-41.015625
0.1650,968.2617188,-238.7695313,-41.015625
0.1700,958.0078125,-246.5820313,-54.6875
0.1750,969.7265625,-239.2578125,-49.31640625
0.1800,965.3320313,-243.1640625,-50.78125
0.1850,965.8203125,-243.6523438,-34.66796875
0.1900,964.84375,-236.8164063,-50.29296875
0.1950,972.1679688,-238.7695313,-56.15234375
0.2000,973.1445313,-231.4453125,-50.29296875
0.2050,970.703125,-234.375,-44.921875
