type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Medial humeral epicondyle RT","s",0.0000,200,5320,"mm"

time,x,y,z
0.0000,-26.92337417,241.9854076,1231.588594
0.0050,-26.9213311,241.9956923,1231.592658
0.0100,-26.91929093,242.0059772,1231.596723
0.0150,-26.91725367,242.0162625,1231.600788
0.0200,-26.91545821,242.02587,1231.604942
0.0250,-26.91405512,242.0344813,1231.609122
0.0300,-26.91323432,242.0417877,1231.613262
0.0350,-26.91322386,242.0474961,1231.617302
0.0400,-26.9142862,242.0513329,1231.621185
0.0450,-26.9167144,242.0530497,1231.624857
0.0500,-26.92082864,242.0524349,1231.628273
0.0550,-26.92696919,242.049324,1231.631395
0.0600,-26.93548328,242.0436097,1231.634194
0.0650,-26.94670971,242.0352524,1231.636648
0.0700,-26.96096701,242.0242854,1231.638747
0.0750,-26.97854437,242.0108121,1231.640484
0.0800,-26.99969017,241.9949936,1231.641864
0.0850,-27.02459616,241.9770295,1231.642895
0.0900,-27.05337821,241.9571407,1231.643587
0.0950,-27.0860592,241.935562,1231.643956
0.1000,-27.12255881,241.9125403,1231.644016
0.1050,-27.16269033,241.888333,1231.643784
0.1100,-27.20616409,241.8632061,1231.643277
0.1150,-27.25259994,241.8374314,1231.642514
0.1200,-27.30154701,241.8112834,1231.641515
0.1250,-27.35250174,241.785033,1231.640305
0.1300,-27.40492077,241.7589429,1231.638907
0.1350,-27.45823451,241.7332703,1231.637349
0.1400,-27.51186714,241.70827,1231.63566
0.1450,-27.56525982,241.6841916,1231.633869
0.1500,-27.61788936,241.6612718,1231.632012
0.1550,-27.72078934,241.6098225,1231.630575
0.1600,-27.82242486,241.5584097,1231.628973
0.1650,-27.92227348,241.5061926,1231.627199
0.1700,-28.02063854,241.4540566,1231.625325
0.1750,-28.11819172,241.4024889,1231.62342
0.1800,-28.21335471,241.3513526,1231.621454
0.1850,-28.30762083,241.3012356,1231.619534
0.1900,-28.39924583,241.2521367,1231.61769
0.1950,-28.48860204,241.2023508,1231.615739
0.2000,-28.57604526,241.1529625,1231.613812
0.2050,-28.66173344,241.1041412,1231.611939
0.2100,-28.74651915,241.0549798,1231.61017
0.2150,-28.82909249,241.005139,1231.608458
0.2200,-28.91043024,240.9556571,1231.606853
0.2250,-28.99001495,240.9064031,1231.605355
0.2300,-29.06803018,240.8572149,1231.603983
0.2350,-29.14470663,240.8079288,1231.602657
0.2400,-29.2198,240.7570856,1231.601392
0.2450,-29.29341824,240.7052694,1231.600232
0.2500,-29.36594684,240.6525116,1231.599196
0.2550,-29.43727827,240.5992372,1231.598249
0.2600,-29.50771928,240.5446283,1231.597445
0.2650,-29.57563152,240.4895537,1231.596756
0.2700,-29.64274041,240.4328039,1231.596146
0.2750,-29.70877304,240.3759659,1231.595739
0.2800,-29.77424399,240.3182332,1231.59551
0.2850,-29.83861572,240.2585748,1231.595291
0.2900,-29.90194594,240.1984235,1231.595188
0.2950,-29.96503819,240.1372742,1231.595203
0.3000,-30.0279416,240.0755296,1231.595341
0.3050,-30.08997222,240.0124169,1231.595526
0.3100,-30.15148621,239.9497061,1231.595885
0.3150,-30.21331587,239.8867747,1231.596371
0.3200,-30.27457678,239.8231802,1231.59684
0.3250,-30.33528507,239.7582275,1231.597267
0.3300,-30.39500372,239.6921351,1231.597651
0.3350,-30.45460346,239.6250431,1231.597978
0.3400,-30.51350746,239.5570678,1231.598217
0.3450,-30.57220999,239.4873803,1231.598379
0.3500,-30.63014746,239.4170038,1231.598453
0.3550,-30.68744286,239.3437641,1231.598319
0.3600,-30.74393117,239.2691369,1231.598136
0.3650,-30.79976601,239.193584,1231.597936
0.3700,-30.85406914,239.1170566,1231.597646
0.3750,-30.90691595,239.0389143,1231.597356
0.3800,-30.95818321,238.9593473,1231.597001
0.3850,-31.00916186,238.8790527,1231.596649
0.3900,-31.05934467,238.7968004,1231.596233
0.3950,-31.10917052,238.7141546,1231.595875
0.4000,-31.15772349,238.6307848,1231.595476
0.4050,-31.2064006,238.5476104,1231.595209
0.4100,-31.2545219,238.4638276,1231.595019
0.4150,-31.30229516,238.3811739,1231.594964
0.4200,-31.34887595,238.2978077,1231.594918
0.4250,-31.39467376,238.214294,1231.594919
0.4300,-31.4391587,238.1314518,1231.594997
0.4350,-31.48293158,238.0476508,1231.595079
0.4400,-31.5262014,237.9630698,1231.595136
0.4450,-31.56871969,237.87744,1231.595172
0.4500,-31.61062581,237.7923787,1231.595275
0.4550,-31.65238087,237.7060881,1231.595313
0.4600,-31.69412098,237.6195129,1231.595461
0.4650,-31.73593185,237.5326875,1231.595645
0.4700,-31.77735651,237.4451506,1231.595816
0.4750,-31.81823619,237.3565476,1231.596016
0.4800,-31.85859504,237.2668757,1231.5962
0.4850,-31.89847843,237.1761535,1231.596458
0.4900,-31.9381118,237.0847477,1231.596763
0.4950,-31.97741605,236.9923511,1231.597174
0.5000,-32.01697334,236.899673,1231.59774
0.5050,-32.05577938,236.8053351,1231.598389
0.5100,-32.09403617,236.7105233,1231.599073
0.5150,-32.13186587,236.6159526,1231.59989
0.5200,-32.1692902,236.5198473,1231.600741
0.5250,-32.206874,236.4237072,1231.601762
0.5300,-32.24480996,236.3274158,1231.602933
0.5350,-32.28347256,236.230745,1231.604282
0.5400,-32.32329905,236.1346463,1231.605792
0.5450,-32.36332653,236.0385499,1231.607406
0.5500,-32.40405789,235.9421244,1231.609147
0.5550,-32.44576489,235.844813,1231.610966
0.5600,-32.48870848,235.7466868,1231.612816
0.5650,-32.53347441,235.6474906,1231.614734
0.5700,-32.57866686,235.5483863,1231.61667
0.5750,-32.62532777,235.4484372,1231.618645
0.5800,-32.67237798,235.3474519,1231.620515
0.5850,-32.72060082,235.2456398,1231.622417
0.5900,-32.76975735,235.1429427,1231.624242
0.5950,-32.81882333,235.0395516,1231.626028
0.6000,-32.86826227,234.935496,1231.627643
0.6050,-32.9174093,234.8300654,1231.629072
0.6100,-32.96639507,234.7228832,1231.630271
0.6150,-33.01528083,234.6150555,1231.63121
0.6200,-33.06372966,234.5058444,1231.631897
0.6250,-33.11127335,234.3961797,1231.632301
0.6300,-33.15840141,234.2856719,1231.632446
0.6350,-33.20492117,234.1737352,1231.632264
0.6400,-33.25107236,234.0606699,1231.631807
0.6450,-33.29632025,233.9477418,1231.631081
