type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Upper arm RT-Pitch","s",0.0000,200,5348,"deg"

time,value
0.0000,-3.716311391
0.0050,-3.717402799
0.0100,-3.718492024
0.0150,-3.719579067
0.0200,-3.720661089
0.0250,-3.721718992
0.0300,-3.722733935
0.0350,-3.723687222
0.0400,-3.724559873
0.0450,-3.725332711
0.0500,-3.725987854
0.0550,-3.72651137
0.0600,-3.726895492
0.0650,-3.727139408
0.0700,-3.727249166
0.0750,-3.727236826
0.0800,-3.72711849
0.0850,-3.726912236
0.0900,-3.726637113
0.0950,-3.726312682
0.1000,-3.725958132
0.1050,-3.725591172
0.1100,-3.72522724
0.1150,-3.724879389
0.1200,-3.72455888
0.1250,-3.724275446
0.1300,-3.724036627
0.1350,-3.723847156
0.1400,-3.72370935
0.1450,-3.723623959
0.1500,-3.723590107
0.1550,-3.723823541
0.1600,-3.723997999
0.1650,-3.724014264
0.1700,-3.724253036
0.1750,-3.724292929
0.1800,-3.7243717
0.1850,-3.724427017
0.1900,-3.72440982
0.1950,-3.724193568
0.2000,-3.723847075
0.2050,-3.723370821
0.2100,-3.722993824
0.2150,-3.722546348
0.2200,-3.722149416
0.2250,-3.721830348
0.2300,-3.72161232
0.2350,-3.721407628
0.2400,-3.721270013
0.2450,-3.721186545
0.2500,-3.721101413
0.2550,-3.721016835
0.2600,-3.72095454
0.2650,-3.720949957
0.2700,-3.72076955
0.2750,-3.720790723
0.2800,-3.720728562
0.2850,-3.720630595
0.2900,-3.720314928
0.2950,-3.719960493
0.3000,-3.719477682
0.3050,-3.718974742
0.3100,-3.718103281
0.3150,-3.717100298
0.3200,-3.716078601
0.3250,-3.714904192
0.3300,-3.713513168
0.3350,-3.712070488
0.3400,-3.710477392
0.3450,-3.708760436
0.3500,-3.70696482
0.3550,-3.705042753
0.3600,-3.703034229
0.3650,-3.700965328
0.3700,-3.698846518
0.3750,-3.696664673
0.3800,-3.694491764
0.3850,-3.692190971
0.3900,-3.689741593
0.3950,-3.687190828
0.4000,-3.684557514
0.4050,-3.68188044
0.4100,-3.679234588
0.4150,-3.676405026
0.4200,-3.673446336
0.4250,-3.670584126
0.4300,-3.667732436
0.4350,-3.665046586
0.4400,-3.662296568
0.4450,-3.659527503
0.4500,-3.656896562
0.4550,-3.654450975
0.4600,-3.652152349
0.4650,-3.64990905
0.4700,-3.647812917
0.4750,-3.646020006
0.4800,-3.644399101
0.4850,-3.642941347
0.4900,-3.641705512
0.4950,-3.64075438
0.5000,-3.639896287
0.5050,-3.63914449
0.5100,-3.638410455
0.5150,-3.637836405
0.5200,-3.63719248
0.5250,-3.636627853
0.5300,-3.63611392
0.5350,-3.635629888
0.5400,-3.634952961
0.5450,-3.634221127
0.5500,-3.633333304
0.5550,-3.632427093
0.5600,-3.631414001
0.5650,-3.630464098
0.5700,-3.629679335
0.5750,-3.628977426
0.5800,-3.628392962
0.5850,-3.627969107
0.5900,-3.627669339
0.5950,-3.627340747
0.6000,-3.626874608
0.6050,-3.6263773
0.6100,-3.625714381
0.6150,-3.624856268
0.6200,-3.62370238
0.6250,-3.622291678
0.6300,-3.620405855
0.6350,-3.618186793
0.6400,-3.615477661
0.6450,-3.612358699
0.6500,-3.60866005
0.6550,-3.604322007
0.6600,-3.599294962
0.6650,-3.593394616
0.6700,-3.586530951
0.6750,-3.578655272
0.6800,-3.569485028
0.6850,-3.559232282
0.6900,-3.547830904
0.6950,-3.535262827
0.7000,-3.521306744
0.7050,-3.506092381
0.7100,-3.489608916
0.7150,-3.472007288
0.7200,-3.453038269
0.7250,-3.432620842
0.7300,-3.410731835
0.7350,-3.387345011
0.7400,-3.362751452
0.7450,-3.336884241
0.7500,-3.30991238
0.7550,-3.28185573
0.7600,-3.252818739
0.7650,-3.223046469
0.7700,-3.192463526
0.7750,-3.161213337
0.7800,-3.129320109
0.7850,-3.09681704
0.7900,-3.063710942
0.7950,-3.030069126
0.8000,-2.996051702
0.8050,-2.961607813
0.8100,-2.926676321
0.8150,-2.891414441
0.8200,-2.856002097
0.8250,-2.820547425
0.8300,-2.784995367
0.8350,-2.749622346
0.8400,-2.71469267
0.8450,-2.680292488
0.8500,-2.646560377
0.8550,-2.613612383
0.8600,-2.581593292
0.8650,-2.550325834
0.8700,-2.519874905
0.8750,-2.490129128
0.8800,-2.461073928
0.8850,-2.432714789
0.8900,-2.404948404
0.8950,-2.377626553
0.9000,-2.351110647
0.9050,-2.324913189
0.9100,-2.299085924
0.9150,-2.273472466
0.9200,-2.24780635
0.9250,-2.222124281
0.9300,-2.196572929
0.9350,-2.170798175
0.9400,-2.145074145
0.9450,-2.119243026
0.9500,-2.093215469
0.9550,-2.067185992
0.9600,-2.041068882
0.9650,-2.014934026
0.9700,-1.989014427
0.9750,-1.963199198
0.9800,-1.937741651
0.9850,-1.912580909
0.9900,-1.887860289
0.9950,-1.863429073
1.0000,-1.839549294
1.0050,-1.816125842
1.0100,-1.793284946
1.0150,-1.770929425
1.0200,-1.749268858
1.0250,-1.728165243
1.0300,-1.707762415
1.0350,-1.688140535
1.0400,-1.669115629
