type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Lateral humeral epicondyle RT","s",0.0000,200,5348,"mm"

time,x,y,z
0.0000,-71.79741904,257.7875852,1234.884629
0.0050,-71.75759684,257.7709258,1234.879942
0.0100,-71.71776954,257.7542769,1234.875261
0.0150,-71.67793715,257.7376386,1234.870586
0.0200,-71.63594958,257.7194211,1234.865503
0.0250,-71.5922188,257.6997036,1234.860037
0.0300,-71.54718363,257.6785875,1234.854216
0.0350,-71.50128934,257.6561858,1234.848076
0.0400,-71.45497015,257.6326124,1234.841657
0.0450,-71.40863705,257.6079768,1234.835
0.0500,-71.36266887,257.5823888,1234.82815
0.0550,-71.31740471,257.5559706,1234.821154
0.0600,-71.27313889,257.5288664,1234.814061
0.0650,-71.23011824,257.5012449,1234.806918
0.0700,-71.18853911,257.473297,1234.799773
0.0750,-71.14854786,257.4452307,1234.792677
0.0800,-71.11024619,257.4172602,1234.785677
0.0850,-71.07369629,257.3895945,1234.778819
0.0900,-71.03892505,257.3624328,1234.77215
0.0950,-71.00593208,257.3359645,1234.76571
0.1000,-70.97470192,257.3103678,1234.759538
0.1050,-70.9452158,257.2858061,1234.753666
0.1100,-70.91746053,257.2624271,1234.748125
0.1150,-70.8914352,257.2403641,1234.742937
0.1200,-70.86715178,257.2197404,1234.738125
0.1250,-70.84462656,257.2006673,1234.733705
0.1300,-70.82386789,257.1832346,1234.72969
0.1350,-70.80486588,257.1675018,1234.72609
0.1400,-70.78758718,257.1534972,1234.722909
0.1450,-70.77197656,257.1412231,1234.720144
0.1500,-70.75796305,257.1306545,1234.717788
0.1550,-70.71972371,257.1052688,1234.712095
0.1600,-70.68411921,257.0813957,1234.706955
0.1650,-70.6513479,257.0585314,1234.702186
0.1700,-70.62076533,257.0386999,1234.69795
0.1750,-70.59246811,257.0192872,1234.69408
0.1800,-70.56673925,257.0018874,1234.690597
0.1850,-70.54391145,256.9860193,1234.687508
0.1900,-70.52246244,256.9708605,1234.684718
0.1950,-70.50338707,256.9558946,1234.682149
0.2000,-70.48622456,256.9413778,1234.679891
0.2050,-70.47095376,256.9272512,1234.677934
0.2100,-70.45661201,256.9145314,1234.67631
0.2150,-70.44452087,256.9025149,1234.674844
0.2200,-70.43378523,256.8915576,1234.673568
0.2250,-70.42424784,256.8817429,1234.672516
0.2300,-70.41625251,256.8734093,1234.671667
0.2350,-70.40984352,256.8658865,1234.670971
0.2400,-70.40421336,256.8592133,1234.670456
0.2450,-70.40040896,256.853674,1234.670184
0.2500,-70.39750798,256.8485981,1234.67007
0.2550,-70.39555455,256.8439193,1234.670111
0.2600,-70.39478875,256.8398999,1234.670313
0.2650,-70.3943389,256.8364657,1234.670632
0.2700,-70.39519271,256.8324272,1234.670984
