type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Body center of mass","s",0.0000,200,5092,"mm"

time,x,y,z
0.0000,-12.42116249,-5.448669705,993.1783094
0.0050,-12.4205673,-5.447106888,993.1784264
0.0100,-12.41997132,-5.445544487,993.1785439
0.0150,-12.41937455,-5.443982503,993.1786617
0.0200,-12.41873303,-5.442360827,993.1787925
0.0250,-12.4180502,-5.440701345,993.1789364
0.0300,-12.41732964,-5.439027778,993.1790934
0.0350,-12.41657481,-5.437365013,993.1792636
0.0400,-12.41578914,-5.435738417,993.179447
0.0450,-12.41497621,-5.434173224,993.1796438
0.0500,-12.41413984,-5.432694064,993.179854
0.0550,-12.41328392,-5.431324429,993.180078
0.0600,-12.41241228,-5.430085967,993.180316
0.0650,-12.41152858,-5.42899788,993.1805685
0.0700,-12.41063615,-5.428076612,993.1808358
0.0750,-12.40973779,-5.427335635,993.1811182
0.0800,-12.40883572,-5.426785069,993.1814159
0.0850,-12.40793142,-5.426431208,993.1817289
0.0900,-12.40702539,-5.426276268,993.1820568
0.0950,-12.40611695,-5.426318406,993.1823989
0.1000,-12.40520437,-5.426551812,993.1827539
0.1050,-12.40428517,-5.42696678,993.1831203
0.1100,-12.40335645,-5.427549941,993.1834963
0.1150,-12.40241519,-5.428284818,993.1838793
0.1200,-12.40145869,-5.429152535,993.1842668
0.1250,-12.40048495,-5.430132492,993.1846557
0.1300,-12.39949314,-5.431203144,993.1850429
0.1350,-12.39848417,-5.432342873,993.185425
0.1400,-12.39746127,-5.433530726,993.1857987
0.1450,-12.3964304,-5.43474693,993.1861606
0.1500,-12.39540036,-5.435973337,993.1865077
0.1550,-12.39493502,-5.437477859,993.1872475
0.1600,-12.39457009,-5.439009433,993.1879737
0.1650,-12.39432348,-5.44056106,993.1886826
0.1700,-12.39421697,-5.44211824,993.1893745
0.1750,-12.39422341,-5.443654161,993.1900464
0.1800,-12.39439106,-5.445226179,993.1906996
0.1850,-12.39471021,-5.446779286,993.1913303
0.1900,-12.39520528,-5.448381861,993.1919403
0.1950,-12.39589736,-5.449989824,993.1925305
0.2000,-12.39682551,-5.451627248,993.1931024
0.2050,-12.39796834,-5.453273723,993.1936552
0.2100,-12.39933692,-5.454925424,993.1941884
0.2150,-12.40093035,-5.456549686,993.1947011
0.2200,-12.40278092,-5.458132683,993.1952013
0.2250,-12.40485567,-5.4596831,993.1956853
0.2300,-12.40716017,-5.461214596,993.1961542
0.2350,-12.40974083,-5.462657307,993.1966149
0.2400,-12.41251169,-5.46403604,993.1970607
0.2450,-12.41548185,-5.4653583,993.1974965
0.2500,-12.41858644,-5.46658764,993.1979211
0.2550,-12.42184283,-5.467726575,993.1983406
0.2600,-12.42520507,-5.468782551,993.1987554
0.2650,-12.42867569,-5.469741449,993.1991707
0.2700,-12.43217807,-5.470645691,993.1995867
0.2750,-12.4357399,-5.471501729,993.2000116
0.2800,-12.43927499,-5.472290258,993.2004422
0.2850,-12.44279978,-5.473058964,993.2008857
0.2900,-12.44627415,-5.47383466,993.2013461
0.2950,-12.44968605,-5.474623723,993.2018275
0.3000,-12.45301166,-5.475464561,993.2023309
0.3050,-12.45620129,-5.476383157,993.2028568
0.3100,-12.45923508,-5.477394615,993.2034109
0.3150,-12.46212862,-5.478530243,993.2039959
0.3200,-12.46485032,-5.479770061,993.204615
0.3250,-12.46742148,-5.48111933,993.205275
0.3300,-12.46984973,-5.482620741,993.2059813
0.3350,-12.47210048,-5.484230764,993.2067392
0.3400,-12.47421466,-5.485963264,993.2075576
0.3450,-12.47620264,-5.487786368,993.2084453
0.3500,-12.47809082,-5.489730989,993.2094063
0.3550,-12.47986068,-5.491748383,993.2104473
0.3600,-12.48151066,-5.49383955,993.2115704
0.3650,-12.48309319,-5.495974585,993.2127835
0.3700,-12.48459617,-5.498113717,993.2140928
0.3750,-12.48601753,-5.500236694,993.2155051
0.3800,-12.48738583,-5.502391274,993.2170307
0.3850,-12.48868175,-5.504647601,993.218681
0.3900,-12.48996217,-5.506969484,993.2204669
0.3950,-12.49115792,-5.509448419,993.2224015
0.4000,-12.49235898,-5.512083502,993.2244988
0.4050,-12.49354572,-5.514917212,993.2267686
0.4100,-12.4946858,-5.51799835,993.2292257
0.4150,-12.49583862,-5.521355069,993.2318782
0.4200,-12.49699017,-5.525020279,993.2347417
0.4250,-12.49817076,-5.529009477,993.237828
0.4300,-12.49934641,-5.533341086,993.2411478
0.4350,-12.50061033,-5.538013423,993.2447157
0.4400,-12.50199924,-5.543000199,993.2485492
0.4450,-12.5035403,-5.548304536,993.2526596
0.4500,-12.50530496,-5.553875831,993.2570587
0.4550,-12.50736645,-5.559717853,993.2617608
0.4600,-12.50977812,-5.565796437,993.266788
0.4650,-12.51262589,-5.572097761,993.2721535
0.4700,-12.51598028,-5.578592813,993.2778788
0.4750,-12.5199366,-5.585320256,993.283979
0.4800,-12.52455187,-5.592215438,993.2904748
0.4850,-12.52995797,-5.599347111,993.2973914
0.4900,-12.53616796,-5.606718022,993.3047447
0.4950,-12.54328145,-5.614356369,993.3125571
0.5000,-12.55134419,-5.622337302,993.3208519
0.5050,-12.56043265,-5.630731345,993.329654
0.5100,-12.57061391,-5.639580954,993.3389852
0.5150,-12.58191922,-5.64898166,993.3488702
0.5200,-12.59438469,-5.658977206,993.359329
0.5250,-12.60803436,-5.669635879,993.3703795
0.5300,-12.62288024,-5.681005061,993.3820466
0.5350,-12.63892129,-5.693183538,993.3943375
0.5400,-12.6561956,-5.706170669,993.4072643
0.5450,-12.67469693,-5.719946833,993.4208327
0.5500,-12.69442278,-5.734529037,993.4350451
0.5550,-12.7153493,-5.749910911,993.4498894
0.5600,-12.73745751,-5.766000701,993.4653549
0.5650,-12.76073742,-5.782807434,993.4814226
0.5700,-12.78517284,-5.800218984,993.498076
0.5750,-12.81076441,-5.818156901,993.5152882
0.5800,-12.83747746,-5.836571935,993.5330332
0.5850,-12.86528592,-5.855354965,993.5512831
0.5900,-12.89417367,-5.874447655,993.5700064
0.5950,-12.92408752,-5.893793607,993.5891776
0.6000,-12.95499624,-5.913292933,993.608766
0.6050,-12.98687783,-5.932860039,993.6287287
0.6100,-13.01966121,-5.952472478,993.6490146
0.6150,-13.05323939,-5.972056233,993.6695727
0.6200,-13.08752329,-5.991535344,993.6903451
0.6250,-13.12239095,-6.010932413,993.7112777
0.6300,-13.15774218,-6.030190125,993.7323124
0.6350,-13.19348142,-6.049316586,993.753392
0.6400,-13.22950838,-6.068312474,993.774477
0.6450,-13.26572249,-6.087164618,993.7955404
0.6500,-13.30204235,-6.105860277,993.816559
0.6550,-13.33843317,-6.124414958,993.8375069
0.6600,-13.37486109,-6.14277174,993.8583651
0.6650,-13.41124472,-6.160937088,993.8791069
0.6700,-13.44757862,-6.178964779,993.8997049
0.6750,-13.48381399,-6.196868085,993.9201389
0.6800,-13.51990762,-6.214667822,993.9403709
0.6850,-13.55581307,-6.232326315,993.9603613
0.6900,-13.59147955,-6.249821355,993.9800653
0.6950,-13.62690987,-6.267118876,993.9994335
0.7000,-13.66198995,-6.284236583,994.0184108
0.7050,-13.69670138,-6.301143831,994.0369505
0.7100,-13.73101199,-6.31779922,994.0549969
0.7150,-13.76486239,-6.334201349,994.0725076
0.7200,-13.79821054,-6.350313196,994.0894281
0.7250,-13.8310115,-6.366178691,994.1057083
0.7300,-13.86322946,-6.381785868,994.1213057
0.7350,-13.89476747,-6.39714654,994.1361591
0.7400,-13.92553761,-6.412324818,994.1502032
0.7450,-13.95546322,-6.427369579,994.1633774
0.7500,-13.9843829,-6.442344082,994.1756259
0.7550,-14.01221301,-6.457279278,994.1869046
0.7600,-14.03887531,-6.472231954,994.1971596
0.7650,-14.06423998,-6.48730757,994.2063807
0.7700,-14.0882378,-6.50255889,994.2145607
0.7750,-14.11082634,-6.518084627,994.2217173
0.7800,-14.13202701,-6.533957235,994.2278839
0.7850,-14.15183661,-6.55020756,994.2331206
0.7900,-14.17033791,-6.566869047,994.2374888
0.7950,-14.18759022,-6.583967997,994.2410685
0.8000,-14.20366192,-6.601445977,994.2439408
0.8050,-14.21860806,-6.619343235,994.2461789
0.8100,-14.23247544,-6.637597993,994.2478676
0.8150,-14.24529601,-6.656227801,994.2490705
0.8200,-14.25709941,-6.675185679,994.2498596
0.8250,-14.2678512,-6.694464404,994.250293
0.8300,-14.27752996,-6.714011196,994.2504058
0.8350,-14.28610761,-6.733729713,994.2502269
0.8400,-14.29352289,-6.753542726,994.2497996
0.8450,-14.29974955,-6.773405866,994.2491323
0.8500,-14.30472628,-6.793243905,994.248258
0.8550,-14.30840539,-6.812954988,994.2471865
0.8600,-14.31070094,-6.832457448,994.2459218
0.8650,-14.31153271,-6.851639013,994.2444658
0.8700,-14.31086173,-6.870444047,994.2428106
0.8750,-14.30858603,-6.888826768,994.2409482
0.8800,-14.30465661,-6.906739529,994.2388792
0.8850,-14.29906852,-6.92413085,994.2366054
0.8900,-14.29181739,-6.940989154,994.2341223
0.8950,-14.28291378,-6.957223023,994.2314173
0.9000,-14.27242346,-6.972890312,994.2285029
0.9050,-14.2603733,-6.987944372,994.225391
0.9100,-14.24688308,-7.002394323,994.222115
0.9150,-14.23210081,-7.016271021,994.2187155
0.9200,-14.21621457,-7.02961674,994.2152548
0.9250,-14.19938868,-7.042435888,994.2117912
0.9300,-14.18182963,-7.054735832,994.2083753
0.9350,-14.1636876,-7.066588096,994.2050589
0.9400,-14.14512749,-7.078010317,994.2018676
0.9450,-14.12625242,-7.089002481,994.1987945
0.9500,-14.1071828,-7.099576082,994.1958334
0.9550,-14.08800516,-7.109748829,994.1929862
0.9600,-14.06878469,-7.119538835,994.1902562
0.9650,-14.04959418,-7.129024577,994.1876575
0.9700,-14.0304635,-7.138239896,994.1851912
0.9750,-14.01143489,-7.147200724,994.1828583
0.9800,-13.99254451,-7.155929331,994.1806632
0.9850,-13.97386098,-7.164505319,994.1786206
0.9900,-13.95541739,-7.173021416,994.1767375
0.9950,-13.93726509,-7.181510561,994.1750277
1.0000,-13.91955491,-7.190023005,994.1735143
1.0050,-13.90230716,-7.198637985,994.1722105
1.0100,-13.88564652,-7.207396035,994.1711284
1.0150,-13.86965764,-7.216310226,994.1702658
1.0200,-13.85439985,-7.225439636,994.1696191
1.0250,-13.83993208,-7.234766633,994.1691725
1.0300,-13.82631254,-7.244337136,994.1689061
1.0350,-13.81356309,-7.254118699,994.1688005
1.0400,-13.80173226,-7.264063678,994.1688389
1.0450,-13.79086108,-7.274112989,994.1690052
1.0500,-13.78101267,-7.28422071,994.169281
1.0550,-13.77219682,-7.294300243,994.1696529
1.0600,-13.7643968,-7.304217494,994.1700916
1.0650,-13.75764762,-7.313860099,994.1705721
1.0700,-13.75190636,-7.323110578,994.1710615
1.0750,-13.74713519,-7.331780407,994.1715312
1.0800,-13.74321258,-7.339704601,994.1719445
1.0850,-13.73998511,-7.346760855,994.1722506
1.0900,-13.73731215,-7.352805512,994.1724224
1.0950,-13.73504821,-7.357755055,994.17242
1.1000,-13.73303203,-7.361522078,994.1722147
1.1050,-13.73114656,-7.364029757,994.1717875
1.1100,-13.72926939,-7.36525161,994.1711208
1.1150,-13.72728708,-7.365123747,994.170208
1.1200,-13.72508979,-7.363674228,994.1690395
1.1250,-13.7226844,-7.360851402,994.1676321
1.1300,-13.72001618,-7.356721442,994.1659985
1.1350,-13.71703682,-7.351384611,994.1641807
1.1400,-13.7137681,-7.344869808,994.1621838
1.1450,-13.71021747,-7.337254167,994.1600526
1.1500,-13.7063859,-7.328606322,994.1577901
1.1550,-13.70230527,-7.319013147,994.1554224
1.1600,-13.69805032,-7.308594292,994.1529813
1.1650,-13.69365741,-7.297399086,994.1504679
1.1700,-13.68913688,-7.285514732,994.1478968
1.1750,-13.68454152,-7.273028004,994.1452749
1.1800,-13.67992196,-7.260006878,994.1426105
1.1850,-13.67530529,-7.246509682,994.1399014
1.1900,-13.67071632,-7.232618825,994.1371602
1.1950,-13.66620351,-7.218452947,994.1344085
1.2000,-13.66175757,-7.204080106,994.131658
1.2050,-13.6574545,-7.18957397,994.1289393
1.2100,-13.65335248,-7.174983605,994.1262773
1.2150,-13.64948307,-7.160403864,994.1237056
1.2200,-13.64586621,-7.14592175,994.1212456
1.2250,-13.64257014,-7.131603675,994.118929
1.2300,-13.63961739,-7.117517023,994.1167725
1.2350,-13.63706739,-7.103703529,994.1148046
1.2400,-13.63493747,-7.090216972,994.1130363
1.2450,-13.63333201,-7.077207797,994.111509
1.2500,-13.6322913,-7.064734701,994.1102423
1.2550,-13.63185699,-7.05286971,994.1092499
1.2600,-13.63207518,-7.041729529,994.1085362
1.2650,-13.63298705,-7.031340068,994.1080933
1.2700,-13.63463768,-7.021716398,994.1079166
1.2750,-13.63704321,-7.012897099,994.107997
1.2800,-13.64021879,-7.004898155,994.1083183
1.2850,-13.64416864,-6.997733602,994.1088605
1.2900,-13.64887959,-6.991392218,994.1096082
1.2950,-13.65436375,-6.985849593,994.1105309
1.3000,-13.66054373,-6.981109826,994.111591
1.3050,-13.66741545,-6.977137749,994.1127495
1.3100,-13.67491477,-6.973940558,994.1139693
1.3150,-13.68295909,-6.971479969,994.1152147
1.3200,-13.69149984,-6.969736367,994.1164482
1.3250,-13.70048041,-6.968673539,994.1176433
1.3300,-13.70982447,-6.968274263,994.1187715
1.3350,-13.71948094,-6.968527379,994.1198008
1.3400,-13.72939786,-6.96938853,994.1207093
1.3450,-13.73951358,-6.97080899,994.1214723
1.3500,-13.74977559,-6.972738714,994.1220763
1.3550,-13.76012716,-6.975151503,994.1225059
1.3600,-13.770558,-6.978047712,994.1227533
1.3650,-13.78096891,-6.981356782,994.122803
1.3700,-13.79136599,-6.985000112,994.1226511
1.3750,-13.80170075,-6.988920304,994.1222905
1.3800,-13.81189531,-6.993092612,994.1217136
1.3850,-13.82196633,-6.997429888,994.1209309
1.3900,-13.83185422,-7.001874656,994.119933
1.3950,-13.84149774,-7.006323299,994.1187305
1.4000,-13.8508822,-7.010747082,994.1173328
1.4050,-13.8599069,-7.015080219,994.1157409
1.4100,-13.86852272,-7.019286576,994.1139786
