type,name,time_units,begin_time,frequency,count,units
signal_4d,"Noraxon MyoMotion-Segments-Forearm RT-Orientation","s",0.0000,200,5328,""

time,x,y,z,w
0.0000,0.7312182742,-0.1350729821,-0.1401358604,0.6537867127
0.0050,0.7311476715,-0.1351661249,-0.1402412153,0.6538238315
0.0100,0.7310770498,-0.1352592641,-0.1403465666,0.6538609332
0.0150,0.7310064091,-0.1353523997,-0.1404519141,0.6538980177
0.0200,0.7309288938,-0.1354539703,-0.1405651202,0.65393931
0.0250,0.7308446901,-0.1355636315,-0.1406854775,0.6539848142
0.0300,0.7307540657,-0.1356809665,-0.1408122123,0.6540344728
0.0350,0.7306573591,-0.1358055179,-0.1409445373,0.654088161
0.0400,0.73055497,-0.1359368131,-0.1410816837,0.6541456849
0.0450,0.7304473539,-0.1360743818,-0.1412229074,0.654206784
0.0500,0.7303350212,-0.1362177592,-0.1413674719,0.654271134
0.0550,0.730218541,-0.1363664766,-0.1415146249,0.6543383509
0.0600,0.730098542,-0.136520044,-0.1416635685,0.6544079995
0.0650,0.7299757104,-0.1366779323,-0.1418134339,0.6544796062
0.0700,0.7298507828,-0.1368395529,-0.141963269,0.6545526731
0.0750,0.7297245381,-0.1370042318,-0.1421120417,0.6546266925
0.0800,0.7295977904,-0.1371711936,-0.1422586578,0.6547011549
0.0850,0.729471385,-0.1373395633,-0.1424019854,0.6547755473
0.0900,0.7293461952,-0.1375083778,-0.1425408809,0.6548493498
0.0950,0.7292231129,-0.1376765983,-0.1426742167,0.6549220364
0.1000,0.7291030353,-0.1378431313,-0.1428009088,0.6549930805
0.1050,0.7289868506,-0.1380068586,-0.1429199393,0.6550619585
0.1100,0.7288754279,-0.1381666629,-0.1430303773,0.6551281517
0.1150,0.7287696035,-0.1383214444,-0.1431313997,0.6551911519
0.1200,0.7286701661,-0.1384701294,-0.1432223055,0.6552504738
0.1250,0.7285778404,-0.1386116796,-0.1433025146,0.6553056707
0.1300,0.7284932692,-0.1387451058,-0.1433715628,0.6553563514
0.1350,0.7284169904,-0.1388694854,-0.1434291042,0.6554022018
0.1400,0.7283494096,-0.1389839852,-0.1434749235,0.6554430073
0.1450,0.7282907717,-0.1390879,-0.1435089532,0.6554786711
0.1500,0.7282411267,-0.1391807072,-0.1435312928,0.6555092373
0.1550,0.7280844004,-0.1393944765,-0.1436326818,0.6556156942
0.1600,0.7279354822,-0.1395962284,-0.1437223421,0.6557184725
0.1650,0.7277945205,-0.1397860007,-0.1437989524,0.6558177119
0.1700,0.7276608553,-0.1399621119,-0.1438628315,0.6559144552
0.1750,0.7275321082,-0.1401283397,-0.1439167744,0.6560099405
0.1800,0.7274079112,-0.1402839265,-0.1439622477,0.6561044292
0.1850,0.7272865734,-0.1404306463,-0.1440018617,0.6561988552
0.1900,0.7271675216,-0.140570086,-0.1440378211,0.6562930386
0.1950,0.7270495441,-0.1407025591,-0.1440722549,0.6563877936
