type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Forearm RT-Roll","s",0.0000,200,5328,"deg"

time,value
0.0000,-1.63211739
0.0050,-1.63223115
0.0100,-1.632342353
0.0150,-1.632450998
0.0200,-1.632403685
0.0250,-1.632169074
0.0300,-1.63171801
0.0350,-1.631025501
0.0400,-1.630071416
0.0450,-1.628839526
0.0500,-1.627315862
0.0550,-1.62548738
0.0600,-1.62334074
0.0650,-1.620861269
0.0700,-1.618033142
0.0750,-1.614841255
0.0800,-1.611273726
0.0850,-1.607323763
0.0900,-1.602990997
0.0950,-1.598282719
0.1000,-1.593214264
0.1050,-1.58780837
0.1100,-1.582094716
0.1150,-1.576110157
0.1200,-1.569898702
0.1250,-1.563510239
0.1300,-1.556998412
0.1350,-1.550418738
0.1400,-1.543827088
0.1450,-1.537277413
0.1500,-1.530818207
0.1550,-1.518826896
0.1600,-1.506942871
0.1650,-1.4950542
0.1700,-1.483287871
0.1750,-1.471533804
0.1800,-1.459962483
0.1850,-1.448615541
0.1900,-1.437551515
0.1950,-1.426891579
0.2000,-1.416553478
0.2050,-1.406685469
0.2100,-1.397236569
0.2150,-1.388164708
0.2200,-1.379268727
0.2250,-1.370684469
0.2300,-1.362324378
0.2350,-1.354437796
0.2400,-1.346763906
0.2450,-1.339396202
0.2500,-1.332456897
0.2550,-1.325821371
0.2600,-1.319598272
0.2650,-1.313720951
0.2700,-1.308249983
0.2750,-1.303200609
0.2800,-1.298604239
0.2850,-1.294374592
0.2900,-1.290456211
0.2950,-1.287018368
0.3000,-1.283943193
0.3050,-1.281269077
0.3100,-1.278793277
0.3150,-1.276744149
0.3200,-1.274874155
0.3250,-1.273437605
0.3300,-1.272350111
0.3350,-1.271769376
0.3400,-1.271539665
0.3450,-1.271721495
0.3500,-1.272279336
0.3550,-1.273225366
0.3600,-1.2745097
0.3650,-1.276179046
0.3700,-1.278310363
0.3750,-1.280640767
0.3800,-1.283278832
0.3850,-1.28614212
0.3900,-1.289116844
0.3950,-1.292402563
0.4000,-1.295890272
0.4050,-1.299510806
0.4100,-1.303365676
0.4150,-1.307302976
0.4200,-1.311418739
0.4250,-1.315623902
0.4300,-1.319800799
0.4350,-1.323829427
0.4400,-1.327704654
0.4450,-1.331317661
0.4500,-1.334952945
