type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Segments-Forearm RT-Acceleration","s",0.0000,200,6172,"mG"

time,x,y,z
0.0000,0.4991250914,-59.37868177,9.443109681
0.0050,-22.71581874,-42.68759237,7.717360503
0.0100,-39.47433024,-45.41663275,6.853800673
0.0150,-41.12043953,-45.99861129,5.347530715
0.0200,-39.31508988,-35.59891177,-7.955414787
0.0250,-30.27662735,-15.630757,-0.919713101
0.0300,-31.88241497,-33.24615125,-16.36805081
0.0350,-17.6416074,-15.89826787,-13.11117673
0.0400,-6.141991968,-1.078954997,-11.19551916
0.0450,-10.12113174,-19.22981331,-5.038874314
0.0500,0.9301090596,-22.54596415,0.7020537264
0.0550,-2.376560334,-41.17091653,4.175977166
0.0600,19.52310555,-36.65555077,-0.1426150056
0.0650,29.2967853,-40.56494658,-3.044563076
0.0700,25.87984996,-34.52335382,-4.055167316
0.0750,27.98839398,-32.26194123,9.791457975
0.0800,7.202119278,-33.37436348,4.73945229
0.0850,13.15451697,-22.29322103,-2.367474342
0.0900,15.59447527,-4.868480533,-2.340841251
0.0950,12.41109422,-9.807888151,15.01768994
0.1000,19.51726541,5.285889891,2.888334754
0.1050,23.58709868,19.27254935,2.321124236
0.1100,12.1634022,12.63902939,2.897290237
0.1150,8.901078255,2.201642925,9.681017274
0.1200,15.1891936,8.863180262,11.21205934
0.1250,3.293014896,10.06939511,15.33401374
0.1300,4.669980374,-13.78945763,20.2618882
0.1350,0.1702966492,-18.92674287,21.11779347
0.1400,11.12084295,-13.38628149,20.50882752
0.1450,14.464113,-28.5542012,28.93415726
0.1500,12.85797031,-46.12214171,35.16088235
0.1550,9.250589054,-31.49201628,37.00401106
0.1600,10.66942379,-30.93956447,35.63526621
0.1650,4.777626259,-16.50323516,32.39457335
0.1700,6.116208251,-14.77089573,25.24250103
0.1750,9.16152121,-1.587462682,33.8216434
0.1800,13.59798139,-13.67769916,33.34823584
0.1850,12.72426217,-0.2116061855,28.96393352
0.1900,23.43876793,7.821661779,34.2443689
0.1950,18.75352231,-2.355175613,26.92600599
0.2000,18.31216225,14.72131745,19.89020964
0.2050,17.47341606,-1.253048712,12.46383607
0.2100,33.27678036,-4.838425352,13.69719098
0.2150,46.78639674,-9.542945647,15.54927147
0.2200,56.70752006,-5.91970844,22.02458774
0.2250,68.8617868,-26.79552382,29.10012235
0.2300,71.67748221,-9.646215112,25.26213019
0.2350,63.99984951,-14.92662082,20.50474075
0.2400,52.92234838,-10.64849441,13.01898894
0.2450,44.67615051,-15.23990227,15.71175978
0.2500,40.07677455,-16.00965516,11.21765329
0.2550,38.89873292,-7.174931846,10.04214952
0.2600,53.13031517,-2.315172588,13.3880288
0.2650,57.81993745,-8.660151342,16.56512456
0.2700,54.16511064,-6.104588636,11.38762105
0.2750,61.81582479,-4.165774746,18.25045583
0.2800,52.23996222,-6.598832933,6.749744337
0.2850,59.66663904,-1.539667828,5.648856657
0.2900,56.50916583,-11.04582225,-0.5461705323
0.2950,46.70156418,-8.101854798,-5.934351873
0.3000,48.45530747,-10.19743751,-6.031347503
0.3050,51.17832663,-16.40628982,-1.094197845
0.3100,47.35520502,-17.30743434,-3.128317699
0.3150,46.41657504,-4.160527872,4.629004122
0.3200,38.88242083,-20.22760614,3.524380795
0.3250,35.52562071,-13.82659603,3.265966433
0.3300,24.93953034,-20.31509852,-13.39740929
0.3350,38.62714605,-24.82315085,0.3147081361
0.3400,32.06126129,-13.91572141,-8.652767245
0.3450,49.08563058,-28.12222939,1.204140149
0.3500,62.24107747,-14.64284767,9.704842489
0.3550,52.72848608,-27.81591077,7.392543561
0.3600,60.54066977,-7.381228327,5.564897731
0.3650,47.68236525,-26.05188571,5.495601291
0.3700,48.32154917,-5.430453304,12.09452102
0.3750,33.02081495,-13.29371335,11.71490994
0.3800,15.62099686,-6.571350504,3.403403783
0.3850,8.741450657,-9.800057186,9.673970728
0.3900,5.061803799,-15.27775492,11.90908902
0.3950,-10.96326532,-13.71439305,7.706273044
0.4000,-1.228678468,-17.86902141,8.935514822
0.4050,-17.39074007,-19.0181044,-5.25418961
0.4100,-8.348025805,-26.08659288,0.4671238063
0.4150,-2.396930638,-18.9403724,3.503057662
0.4200,6.471106831,-30.54747261,9.873104415
0.4250,12.31006645,-23.6213752,19.40977012
0.4300,18.1318571,-26.01386103,14.87935667
0.4350,14.50228802,-22.05295912,15.16138391
0.4400,21.1991795,-22.56619065,13.7209348
0.4450,27.8488714,-4.529497178,18.11769385
0.4500,14.85479635,0.9067704316,15.00612803
0.4550,10.40262053,-2.743502624,12.57376999
0.4600,11.54079355,-3.732864297,5.524979071
0.4650,18.44810569,5.720875274,7.210990388
0.4700,25.76483975,13.44581656,4.101617082
0.4750,37.23474836,-2.79442265,9.729871386
0.4800,29.24214698,5.812818603,1.087874509
0.4850,30.34655812,8.844464431,-1.529992515
0.4900,18.69689799,8.582906341,-1.943712776
0.4950,2.741579651,16.48941407,2.556636858
0.5000,-9.502787353,24.86412672,8.028964568
0.5050,-24.02363108,12.18300206,12.64431468
0.5100,-31.89779319,20.77862098,6.58282936
0.5150,-41.62077696,13.48369536,2.373345004
0.5200,-36.56289358,9.692707062,-2.32014205
0.5250,-33.56850874,3.732060313,-7.46890621
0.5300,-26.73159351,-4.999319521,-16.78256165
0.5350,-12.2167554,-18.78136145,-11.09020249
0.5400,9.580792134,-20.05552023,-9.546675177
0.5450,10.11762797,-17.76714867,-25.43458333
0.5500,24.25108555,-23.23619234,-27.25432474
0.5550,23.98373747,-10.16857172,-34.97345053
0.5600,40.79643502,-6.67129992,-36.31568287
0.5650,42.86451924,-0.3845972541,-36.49663044
0.5700,55.36702362,1.898148862,-33.60959133
0.5750,44.40302745,21.07563366,-40.04237151
0.5800,53.58780553,23.99509138,-33.77659599
0.5850,46.06116641,28.56227025,-36.84836964
0.5900,44.43056235,27.15357346,-38.4949166
0.5950,35.47321337,29.28173151,-36.08892965
0.6000,27.65005086,24.44496012,-36.95450714
0.6050,10.57664134,17.44950104,-31.32276504
0.6100,10.54798645,-1.857526078,-11.67015592
0.6150,4.288679967,-18.29341499,-7.409577329
0.6200,-0.3475379262,-28.9334419,-0.120854919
0.6250,-0.8055624634,-38.1346225,8.912863976
0.6300,-4.451176853,-54.85585894,14.77232654
0.6350,-16.12286786,-46.82202229,11.37375108
0.6400,-3.221264018,-57.17937141,15.1562454
0.6450,1.475125432,-45.8192972,9.1390609
0.6500,12.59749863,-35.33095726,11.2524807
