type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Forearm RT-Course","s",0.0000,200,6172,"deg"

time,value
0.0000,-164.2704084
0.0050,-164.2248675
0.0100,-164.1793556
0.0150,-164.1338729
0.0200,-164.084098
0.0250,-164.0301391
0.0300,-163.9721278
0.0350,-163.9102119
0.0400,-163.8445533
0.0450,-163.7753275
0.0500,-163.7027245
0.0550,-163.626952
0.0600,-163.548241
0.0650,-163.4668509
0.0700,-163.3830759
0.0750,-163.2972482
0.0800,-163.2097409
0.0850,-163.1209714
0.0900,-163.0314049
0.0950,-162.9415555
0.1000,-162.8519851
0.1050,-162.7633013
0.1100,-162.6761537
0.1150,-162.5912263
0.1200,-162.5092271
0.1250,-162.4308746
0.1300,-162.3568809
0.1350,-162.2879301
0.1400,-162.2246565
0.1450,-162.1676221
0.1500,-162.1172928
0.1550,-162.02201
0.1600,-161.9351926
0.1650,-161.8567291
0.1700,-161.7864967
0.1750,-161.7241356
0.1800,-161.669373
0.1850,-161.6215362
0.1900,-161.5803343
0.1950,-161.5454119
0.2000,-161.5161788
0.2050,-161.4920901
0.2100,-161.4723806
0.2150,-161.4564022
0.2200,-161.4434479
0.2250,-161.4329131
0.2300,-161.4240616
0.2350,-161.4162534
0.2400,-161.4090561
0.2450,-161.4023982
0.2500,-161.3956637
0.2550,-161.3885862
0.2600,-161.3809704
0.2650,-161.3730244
0.2700,-161.364277
0.2750,-161.3548274
0.2800,-161.3448027
0.2850,-161.3337445
0.2900,-161.3214846
0.2950,-161.307913
0.3000,-161.292894
0.3050,-161.2761321
0.3100,-161.2574938
0.3150,-161.2370259
0.3200,-161.2146068
0.3250,-161.1901939
0.3300,-161.1635646
0.3350,-161.1347014
0.3400,-161.1034231
0.3450,-161.0696097
0.3500,-161.0333369
0.3550,-160.9945857
0.3600,-160.9534032
0.3650,-160.9098653
0.3700,-160.8640783
0.3750,-160.8163843
0.3800,-160.7673383
0.3850,-160.7173991
0.3900,-160.6667549
0.3950,-160.6156546
0.4000,-160.5645745
0.4050,-160.5134142
0.4100,-160.4623631
0.4150,-160.4115467
0.4200,-160.3608887
0.4250,-160.3103633
0.4300,-160.2601226
0.4350,-160.2102558
0.4400,-160.1610002
0.4450,-160.1122854
0.4500,-160.0645296
0.4550,-160.0177597
0.4600,-159.9721883
0.4650,-159.9281385
0.4700,-159.885764
0.4750,-159.845143
0.4800,-159.8063379
0.4850,-159.769682
0.4900,-159.7352659
0.4950,-159.7028956
0.5000,-159.6725811
0.5050,-159.6441486
0.5100,-159.6178842
0.5150,-159.5935993
0.5200,-159.5711451
0.5250,-159.5504016
0.5300,-159.5311825
0.5350,-159.513127
0.5400,-159.4957632
0.5450,-159.4786522
0.5500,-159.461447
0.5550,-159.4438086
0.5600,-159.4252974
0.5650,-159.405343
0.5700,-159.3836482
0.5750,-159.3597935
0.5800,-159.3334132
0.5850,-159.3044779
0.5900,-159.272693
0.5950,-159.2382654
0.6000,-159.2010053
0.6050,-159.1612014
0.6100,-159.1190056
0.6150,-159.0743996
0.6200,-159.0274823
0.6250,-158.9781573
0.6300,-158.9268925
0.6350,-158.8738698
0.6400,-158.819461
0.6450,-158.7639546
0.6500,-158.707555
0.6550,-158.6507031
0.6600,-158.5937582
0.6650,-158.5370561
0.6700,-158.4808073
0.6750,-158.4255957
0.6800,-158.3712049
0.6850,-158.3179802
0.6900,-158.2662863
0.6950,-158.2163792
0.7000,-158.1682996
0.7050,-158.1225334
0.7100,-158.0793389
0.7150,-158.0389082
0.7200,-158.0015081
0.7250,-157.9671146
0.7300,-157.9357829
0.7350,-157.9074359
0.7400,-157.8815829
0.7450,-157.8581521
0.7500,-157.8370018
0.7550,-157.8177269
0.7600,-157.8001224
0.7650,-157.7837527
0.7700,-157.7685628
0.7750,-157.754416
0.7800,-157.7412533
0.7850,-157.7290079
0.7900,-157.7178042
0.7950,-157.707913
0.8000,-157.6996289
0.8050,-157.6933177
0.8100,-157.6891346
0.8150,-157.6873637
0.8200,-157.688226
0.8250,-157.6914267
