type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Segments-Forearm RT-Sensor Acceleration","s",0.0000,200,5184,"mG"

time,x,y,z
0.0000,1007.324219,-23.92578125,-25.87890625
0.0050,1005.859375,-32.2265625,-24.90234375
0.0100,1002.441406,-31.25,-30.2734375
0.0150,1003.417969,-33.203125,-36.1328125
0.0200,997.5585938,-29.296875,-30.2734375
0.0250,999.0234375,-27.83203125,-31.25
0.0300,1001.464844,-19.04296875,-35.15625
0.0350,1005.371094,-14.6484375,-25.390625
0.0400,1004.882813,-6.8359375,-45.8984375
0.0450,999.0234375,-14.6484375,-34.66796875
0.0500,992.6757813,-12.20703125,-45.8984375
0.0550,1010.253906,-0.48828125,-33.203125
0.0600,995.6054688,-12.6953125,-50.29296875
0.0650,999.5117188,-10.25390625,-39.55078125
0.0700,994.140625,-12.6953125,-33.69140625
0.0750,997.0703125,-22.4609375,-36.1328125
0.0800,994.6289063,-24.4140625,-35.64453125
0.0850,1000,-20.01953125,-21.484375
0.0900,999.0234375,-14.6484375,-25.87890625
0.0950,997.5585938,-16.6015625,-46.875
0.1000,986.8164063,-21.97265625,-34.1796875
0.1050,990.234375,-24.90234375,-48.828125
0.1100,988.7695313,-29.296875,-43.9453125
0.1150,995.6054688,-26.85546875,-39.55078125
0.1200,992.6757813,-19.53125,-41.015625
0.1250,1001.953125,-17.08984375,-39.55078125
0.1300,1001.464844,-14.16015625,-50.78125
0.1350,997.0703125,-22.4609375,-53.22265625
0.1400,997.5585938,-14.16015625,-41.9921875
0.1450,997.5585938,-17.08984375,-47.8515625
0.1500,996.09375,-19.04296875,-45.41015625
0.1550,1002.441406,-19.53125,-52.24609375
0.1600,998.5351563,-25.390625,-48.33984375
0.1650,992.1875,-32.71484375,-40.52734375
0.1700,993.1640625,-31.73828125,-41.9921875
0.1750,994.140625,-30.2734375,-50.29296875
0.1800,984.8632813,-26.3671875,-35.15625
0.1850,989.7460938,-18.5546875,-33.203125
0.1900,987.3046875,-10.25390625,-41.015625
0.1950,990.234375,-5.37109375,-46.38671875
0.2000,985.3515625,-0.48828125,-41.015625
0.2050,996.5820313,10.7421875,-46.875
0.2100,993.6523438,7.32421875,-48.33984375
0.2150,989.2578125,-1.46484375,-44.43359375
0.2200,986.328125,-15.13671875,-46.875
0.2250,989.2578125,-16.6015625,-46.38671875
0.2300,983.3984375,-28.80859375,-42.96875
0.2350,977.0507813,-38.0859375,-56.640625
0.2400,970.2148438,-34.1796875,-47.36328125
