type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Upper arm RT-Course","s",0.0000,200,5128,"deg"

time,value
0.0000,-147.7493704
0.0050,-147.8053501
0.0100,-147.8613306
0.0150,-147.9173121
0.0200,-147.9778916
0.0250,-148.0427623
0.0300,-148.1115627
0.0350,-148.1838911
0.0400,-148.2593198
0.0450,-148.3374071
0.0500,-148.4177068
0.0550,-148.4997746
0.0600,-148.583174
0.0650,-148.6674802
0.0700,-148.7522823
0.0750,-148.8371832
0.0800,-148.921797
0.0850,-149.0057464
0.0900,-149.0886606
0.0950,-149.1701725
0.1000,-149.2499186
0.1050,-149.3275398
0.1100,-149.4026828
0.1150,-149.4750036
0.1200,-149.5441714
0.1250,-149.6098747
0.1300,-149.6718278
0.1350,-149.7297796
0.1400,-149.7835229
0.1450,-149.8329066
0.1500,-149.8778491
0.1550,-149.9945407
0.1600,-150.1063044
0.1650,-150.2134262
0.1700,-150.3160024
0.1750,-150.4141483
0.1800,-150.5082573
0.1850,-150.5985694
0.1900,-150.6852132
0.1950,-150.7684343
0.2000,-150.8486444
0.2050,-150.9260121
0.2100,-151.0006962
0.2150,-151.0729657
0.2200,-151.1431293
0.2250,-151.2114497
0.2300,-151.2781495
0.2350,-151.3433356
0.2400,-151.4071555
0.2450,-151.4697276
0.2500,-151.5311337
0.2550,-151.5916801
0.2600,-151.6512361
0.2650,-151.7099219
0.2700,-151.76782
0.2750,-151.8249807
0.2800,-151.8812668
0.2850,-151.9369653
0.2900,-151.9916891
0.2950,-152.0455196
0.3000,-152.0982219
0.3050,-152.1496788
0.3100,-152.1997709
0.3150,-152.2484418
0.3200,-152.2954696
0.3250,-152.3408197
0.3300,-152.384471
0.3350,-152.4261411
0.3400,-152.4657236
0.3450,-152.5032112
0.3500,-152.5384905
0.3550,-152.5716512
0.3600,-152.602619
0.3650,-152.6314618
0.3700,-152.6584461
0.3750,-152.6834703
0.3800,-152.706652
0.3850,-152.728169
0.3900,-152.7481523
0.3950,-152.7668187
0.4000,-152.7841797
0.4050,-152.8001572
0.4100,-152.8151352
0.4150,-152.8288313
0.4200,-152.8415274
0.4250,-152.8530723
0.4300,-152.8634658
0.4350,-152.8726226
0.4400,-152.880543
0.4450,-152.8869238
0.4500,-152.8918573
0.4550,-152.8953241
0.4600,-152.8972556
0.4650,-152.8974359
0.4700,-152.8959374
0.4750,-152.8926999
0.4800,-152.8875698
0.4850,-152.8805695
0.4900,-152.8716129
0.4950,-152.8606868
0.5000,-152.8478652
0.5050,-152.8330105
0.5100,-152.8161297
0.5150,-152.7973668
0.5200,-152.776552
0.5250,-152.7538286
0.5300,-152.7293025
0.5350,-152.7030574
0.5400,-152.6753664
0.5450,-152.6461146
0.5500,-152.6156087
0.5550,-152.584006
0.5600,-152.5514634
0.5650,-152.5182624
0.5700,-152.4846511
0.5750,-152.4508712
0.5800,-152.4171084
0.5850,-152.3833721
0.5900,-152.3499575
0.5950,-152.3169705
0.6000,-152.2847399
0.6050,-152.2533307
0.6100,-152.2229099
0.6150,-152.1935375
0.6200,-152.1653305
0.6250,-152.1380716
0.6300,-152.1120459
0.6350,-152.0871032
0.6400,-152.0633591
0.6450,-152.0406207
0.6500,-152.0189812
0.6550,-151.9982362
0.6600,-151.9785215
0.6650,-151.9595833
0.6700,-151.9413523
0.6750,-151.9238194
0.6800,-151.9069382
0.6850,-151.8907175
0.6900,-151.8751691
0.6950,-151.8603921
0.7000,-151.8462786
0.7050,-151.8331532
0.7100,-151.8207577
0.7150,-151.8092069
0.7200,-151.7984597
0.7250,-151.7885186
0.7300,-151.7791879
0.7350,-151.770461
0.7400,-151.7619221
0.7450,-151.7536634
0.7500,-151.7454336
0.7550,-151.7370479
0.7600,-151.7284199
0.7650,-151.7194129
0.7700,-151.7100715
0.7750,-151.7001587
0.7800,-151.6897015
0.7850,-151.6785837
0.7900,-151.6667576
0.7950,-151.654371
0.8000,-151.641278
0.8050,-151.6272997
0.8100,-151.6128769
0.8150,-151.5978612
0.8200,-151.5824851
0.8250,-151.5666795
0.8300,-151.5504093
0.8350,-151.5339034
0.8400,-151.5169942
0.8450,-151.4998943
0.8500,-151.4822914
0.8550,-151.4642016
0.8600,-151.4455805
0.8650,-151.4263802
0.8700,-151.4065617
0.8750,-151.3862063
0.8800,-151.3653491
0.8850,-151.3441819
0.8900,-151.3227276
0.8950,-151.3011499
0.9000,-151.2794423
0.9050,-151.2579053
0.9100,-151.236379
0.9150,-151.2150837
0.9200,-151.1940458
0.9250,-151.1733408
0.9300,-151.1527602
0.9350,-151.1325344
0.9400,-151.1124521
0.9450,-151.0925425
0.9500,-151.0727658
0.9550,-151.053098
0.9600,-151.033335
0.9650,-151.0136557
0.9700,-150.9939484
0.9750,-150.9741142
0.9800,-150.9540581
0.9850,-150.9337179
0.9900,-150.9130685
0.9950,-150.8918748
1.0000,-150.8702436
1.0050,-150.8478954
1.0100,-150.8248972
1.0150,-150.8013116
1.0200,-150.7771149
1.0250,-150.7524745
1.0300,-150.7273156
1.0350,-150.7018634
1.0400,-150.6762134
1.0450,-150.6504098
1.0500,-150.6247868
1.0550,-150.5992033
1.0600,-150.5739566
1.0650,-150.5490422
1.0700,-150.5245896
1.0750,-150.5006709
1.0800,-150.477335
1.0850,-150.4546167
1.0900,-150.432726
1.0950,-150.4113961
1.1000,-150.3909413
1.1050,-150.3715483
1.1100,-150.353068
1.1150,-150.3354757
1.1200,-150.3189383
1.1250,-150.3034346
1.1300,-150.2890921
1.1350,-150.2755138
1.1400,-150.2629886
1.1450,-150.2514078
1.1500,-150.2408783
1.1550,-150.2314784
1.1600,-150.2232268
1.1650,-150.2160548
1.1700,-150.2099504
1.1750,-150.2049221
1.1800,-150.2010562
1.1850,-150.1981974
1.1900,-150.1965859
1.1950,-150.1962868
1.2000,-150.1971829
1.2050,-150.1994142
1.2100,-150.2031966
1.2150,-150.2084922
1.2200,-150.2152958
1.2250,-150.2239473
1.2300,-150.2343166
1.2350,-150.246505
1.2400,-150.2605465
1.2450,-150.2765872
1.2500,-150.2942918
1.2550,-150.3137354
1.2600,-150.3348066
1.2650,-150.3572778
1.2700,-150.3810973
1.2750,-150.4061943
1.2800,-150.4325029
1.2850,-150.4599578
1.2900,-150.4883651
1.2950,-150.517656
1.3000,-150.5475568
1.3050,-150.5780963
1.3100,-150.6090518
1.3150,-150.6404263
1.3200,-150.6722056
1.3250,-150.7040642
1.3300,-150.7361869
1.3350,-150.7685009
1.3400,-150.8008715
1.3450,-150.8333218
1.3500,-150.8655018
1.3550,-150.8973688
1.3600,-150.9286819
1.3650,-150.9594332
1.3700,-150.9893313
1.3750,-151.0181361
1.3800,-151.0457297
1.3850,-151.0719457
1.3900,-151.0965243
1.3950,-151.1195056
1.4000,-151.1405521
1.4050,-151.1596266
1.4100,-151.1764928
1.4150,-151.1913581
1.4200,-151.2039699
1.4250,-151.2143186
1.4300,-151.2223597
1.4350,-151.2284366
1.4400,-151.2324611
1.4450,-151.234731
1.4500,-151.2355383
1.4550,-151.2349593
