type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Ulnar styloid process RT","s",0.0000,200,5128,"mm"

time,x,y,z
0.0000,-108.7652291,145.339476,905.7202225
0.0050,-108.6826091,145.2297277,905.7238584
0.0100,-108.5998764,145.1200695,905.7275659
0.0150,-108.5170312,145.0105016,905.731345
0.0200,-108.4268191,144.8915637,905.7355451
0.0250,-108.3296572,144.7639199,905.7401674
0.0300,-108.2260905,144.6284342,905.745205
0.0350,-108.1167731,144.4861551,905.7506421
0.0400,-108.0024495,144.3382925,905.7564526
0.0450,-107.8839317,144.1861865,905.7625999
0.0500,-107.7620758,144.0312693,905.7690365
0.0550,-107.6377621,143.8750257,905.7757066
0.0600,-107.5118712,143.7189509,905.7825473
0.0650,-107.3852545,143.5645077,905.7894903
0.0700,-107.2587091,143.4130874,905.7964627
0.0750,-107.1329657,143.2659799,905.8033888
0.0800,-107.0086766,143.1243522,905.810191
0.0850,-106.8864004,142.9892374,905.8167895
0.0900,-106.7665876,142.8615315,905.8231025
0.0950,-106.6495712,142.7419987,905.8290457
0.1000,-106.535569,142.6312782,905.8345333
0.1050,-106.424702,142.5298891,905.8394799
0.1100,-106.3170209,142.4382438,905.8438035
0.1150,-106.212527,142.3566682,905.8474263
0.1200,-106.1111887,142.2854181,905.8502759
0.1250,-106.0129611,142.2246833,905.8522881
0.1300,-105.9178086,142.1745802,905.8534103
0.1350,-105.8257219,142.1351416,905.8536062
0.1400,-105.736728,142.1063031,905.8528586
0.1450,-105.6508921,142.0878893,905.8511726
0.1500,-105.5683116,142.0796035,905.8485753
0.1550,-105.3692122,141.9806401,905.8511292
0.1600,-105.1743696,141.890641,905.8530613
0.1650,-104.9831231,141.8074095,905.8545977
0.1700,-104.7967715,141.7313034,905.8557679
0.1750,-104.6162419,141.6612143,905.8567524
0.1800,-104.4406738,141.5959605,905.8574511
0.1850,-104.2710833,141.5354051,905.8581062
0.1900,-104.1067179,141.4777251,905.8588717
0.1950,-103.9494583,141.4228859,905.8597828
0.2000,-103.7976793,141.3689496,905.8609354
0.2050,-103.6519205,141.3154995,905.8624459
0.2100,-103.5133895,141.2618032,905.8644897
0.2150,-103.3810701,141.2072901,905.8670465
0.2200,-103.2528265,141.1509336,905.8701266
0.2250,-103.1308936,141.092107,905.8739162
0.2300,-103.0145153,141.0296554,905.8785081
0.2350,-102.9029924,140.9627254,905.8838961
0.2400,-102.796673,140.8911569,905.8900551
0.2450,-102.695888,140.8143283,905.8971321
0.2500,-102.5984948,140.7323572,905.9049503
0.2550,-102.5040138,140.6447268,905.9134132
0.2600,-102.4138173,140.5509646,905.9226814
0.2650,-102.3279454,140.4497571,905.932967
0.2700,-102.2453412,140.3413481,905.9440457
0.2750,-102.1659219,140.2262448,905.9559181
0.2800,-102.091189,140.1043179,905.9686093
0.2850,-102.0201785,139.9740339,905.9822269
0.2900,-101.953667,139.8364485,905.9967184
0.2950,-101.8914466,139.6900633,906.012213
0.3000,-101.8338877,139.536109,906.0286721
0.3050,-101.7830069,139.3742949,906.0462808
0.3100,-101.7385526,139.2040341,906.0650658
0.3150,-101.7013849,139.0256577,906.0850122
0.3200,-101.6726721,138.8405799,906.10612
0.3250,-101.652638,138.6481458,906.1284554
0.3300,-101.6400689,138.4482573,906.1518764
0.3350,-101.6361536,138.2413208,906.1765499
0.3400,-101.640651,138.0293974,906.2022349
0.3450,-101.6553581,137.8110285,906.2292542
0.3500,-101.6805052,137.5877123,906.2575645
0.3550,-101.7157013,137.3603189,906.2869885
0.3600,-101.760702,137.1292345,906.3174974
0.3650,-101.8163695,136.8947474,906.3491416
0.3700,-101.8825584,136.6572404,906.381839
0.3750,-101.959501,136.4183825,906.415497
0.3800,-102.0462759,136.1781596,906.4500047
0.3850,-102.1434055,135.9363144,906.485438
0.3900,-102.2508018,135.6935763,906.5216807
0.3950,-102.366751,135.4492882,906.5587245
0.4000,-102.4924986,135.2039787,906.5965775
0.4050,-102.6266619,134.9580041,906.6351074
0.4100,-102.7678272,134.7113283,906.6741892
0.4150,-102.9160001,134.4645839,906.7137888
0.4200,-103.0704932,134.2175359,906.7539144
0.4250,-103.2300822,133.9696473,906.7945597
0.4300,-103.3956487,133.7226938,906.8356193
0.4350,-103.565543,133.475483,906.8770185
0.4400,-103.7396087,133.229537,906.9186594
0.4450,-103.9177423,132.9842083,906.9606101
0.4500,-104.1003468,132.7396486,907.0028538
0.4550,-104.2865112,132.4977938,907.0451629
0.4600,-104.4761103,132.2569923,907.0877536
0.4650,-104.6693666,132.0200043,907.1302635
0.4700,-104.8655832,131.7857898,907.1727698
0.4750,-105.0642975,131.5541918,907.215337
0.4800,-105.2670422,131.3254272,907.258121
0.4850,-105.4727495,131.0979777,907.3011522
0.4900,-105.6825962,130.8727066,907.3443777
0.4950,-105.8956618,130.6499751,907.3877185
0.5000,-106.1126906,130.4302878,907.4311637
0.5050,-106.3337702,130.2137412,907.4747373
0.5100,-106.5571125,129.9993176,907.5183182
0.5150,-106.7839908,129.7873942,907.5621177
0.5200,-107.0135445,129.5784778,907.6058524
0.5250,-107.2451601,129.3722532,907.6495475
0.5300,-107.4771446,129.1686204,907.6930515
0.5350,-107.7107371,128.9683396,907.736401
0.5400,-107.9439769,128.7700021,907.7796421
0.5450,-108.1767489,128.5747506,907.8225372
0.5500,-108.4097487,128.384218,907.8650091
0.5550,-108.6424015,128.1971714,907.9071422
0.5600,-108.874446,128.0143692,907.9488485
0.5650,-109.1041761,127.8357871,907.9899182
0.5700,-109.3331347,127.6632032,908.0303155
0.5750,-109.5602111,127.49586,908.0699938
0.5800,-109.785388,127.3334511,908.1090102
0.5850,-110.0083967,127.1767632,908.1471988
0.5900,-110.228,127.0249407,908.1845388
0.5950,-110.4442882,126.8766246,908.2213382
0.6000,-110.657351,126.7310672,908.257602
0.6050,-110.8652321,126.5873394,908.2932782
0.6100,-111.0681585,126.4457907,908.3282961
0.6150,-111.2652291,126.3057734,908.3627185
0.6200,-111.4551873,126.1659588,908.3965568
0.6250,-111.6376908,126.0261122,908.4298474
0.6300,-111.8124352,125.8859089,908.4625274
0.6350,-111.9795568,125.7438661,908.4948788
0.6400,-112.1386535,125.5981726,908.527086
0.6450,-112.288492,125.449853,908.558849
0.6500,-112.4288452,125.2979378,908.590361
0.6550,-112.5602127,125.1412269,908.6218181
0.6600,-112.6816908,124.9794898,908.6532305
0.6650,-112.7937753,124.8130886,908.6846669
0.6700,-112.8972414,124.6404085,908.7164651
0.6750,-112.9918711,124.4609484,908.7486684
0.6800,-113.0805864,124.2733933,908.7818324
0.6850,-113.1636944,124.0793588,908.8158206
0.6900,-113.2419248,123.8778503,908.8508712
0.6950,-113.3164255,123.6683536,908.8872192
0.7000,-113.3864607,123.450967,908.9248794
0.7050,-113.4527665,123.224825,908.9639621
0.7100,-113.5161302,122.9890572,909.0046806
0.7150,-113.5747199,122.7434032,909.0468917
0.7200,-113.6290831,122.4890066,909.0904972
0.7250,-113.678905,122.2255103,909.1355438
0.7300,-113.7229379,121.9513798,909.1821461
0.7350,-113.7620522,121.668439,909.2302203
0.7400,-113.7965045,121.3754448,909.279998
0.7450,-113.8252619,121.0738815,909.3312357
0.7500,-113.8493971,120.7633443,909.3841766
0.7550,-113.8694877,120.4442296,909.4388985
0.7600,-113.8871247,120.1184449,909.4953701
0.7650,-113.9033368,119.7855715,909.5538644
0.7700,-113.9190532,119.4462002,909.6144422
0.7750,-113.9364591,119.1020348,909.6770809
0.7800,-113.9547288,118.7528665,909.7417799
0.7850,-113.9748687,118.399319,909.8087211
0.7900,-113.9973262,118.0432826,909.8777092
0.7950,-114.0235008,117.6843022,909.9489577
0.8000,-114.0538315,117.322963,910.0223889
0.8050,-114.0881641,116.9592642,910.0980338
0.8100,-114.1284161,116.5950901,910.1758253
0.8150,-114.1746337,116.2308358,910.2555917
0.8200,-114.2286264,115.8662739,910.3376467
0.8250,-114.2913414,115.5019283,910.421996
0.8300,-114.3650937,115.1388249,910.5087119
0.8350,-114.4489916,114.7767773,910.5977212
0.8400,-114.5453816,114.4187195,910.6887939
0.8450,-114.653866,114.0634462,910.7820619
0.8500,-114.7746291,113.7112749,910.8774748
0.8550,-114.9072465,113.3628666,910.9748353
0.8600,-115.05069,113.0182405,911.0740132
0.8650,-115.2053086,112.6783549,911.1749803
0.8700,-115.370182,112.3425888,911.2775751
0.8750,-115.5451054,112.0109257,911.3819025
0.8800,-115.7300604,111.6838241,911.4878176
0.8850,-115.926721,111.3613564,911.5955673
0.8900,-116.1363853,111.0442034,911.7052095
0.8950,-116.3607462,110.7333846,911.8166947
0.9000,-116.5997613,110.4285078,911.9301526
0.9050,-116.8548568,110.1305254,912.0455418
0.9100,-117.1276725,109.8391934,912.1630692
0.9150,-117.4167155,109.5542379,912.2825824
0.9200,-117.7234487,109.2747856,912.4043916
0.9250,-118.0477362,109.0003308,912.5285322
0.9300,-118.3894727,108.7303035,912.6551789
0.9350,-118.7474942,108.4640283,912.7842815
0.9400,-119.1217408,108.2013199,912.9160952
0.9450,-119.5104084,107.9406889,913.050734
0.9500,-119.9131183,107.6820484,913.188201
0.9550,-120.329277,107.4248784,913.3288216
0.9600,-120.7576136,107.1678128,913.4728784
0.9650,-121.1970338,106.9106256,913.6203628
0.9700,-121.6464324,106.6535789,913.7714218
0.9750,-122.1052155,106.3965268,913.9262294
0.9800,-122.5710614,106.1396169,914.08474
0.9850,-123.0441031,105.882396,914.2471715
0.9900,-123.5243584,105.6250524,914.4136605
0.9950,-124.0117245,105.3675874,914.5842342
1.0000,-124.5074165,105.1103788,914.7589936
1.0050,-125.0128022,104.8551167,914.9376549
1.0100,-125.5280007,104.6013414,915.1206768
1.0150,-126.0562231,104.3501934,915.3080581
1.0200,-126.597552,104.1016026,915.4999017
1.0250,-127.1537363,103.8555478,915.6964418
1.0300,-127.7261267,103.6128462,915.8976533
1.0350,-128.3153269,103.3734391,916.1036343
1.0400,-128.9228864,103.1367686,916.3145832
1.0450,-129.5494545,102.9023301,916.5308422
1.0500,-130.1939914,102.6702039,916.752359
1.0550,-130.8567695,102.4395498,916.9795359
1.0600,-131.5367827,102.210706,917.2121172
1.0650,-132.2335913,101.9821297,917.4505481
1.0700,-132.9455282,101.7533097,917.6951147
1.0750,-133.6713956,101.522781,917.9459421
1.0800,-134.4110101,101.2901402,918.203385
1.0850,-135.1638938,101.0564486,918.4673116
1.0900,-135.9292617,100.8196288,918.7383822
1.0950,-136.7060152,100.5792524,919.0168972
1.1000,-137.4943626,100.3356551,919.3031795
1.1050,-138.2940954,100.0881524,919.5975227
1.1100,-139.1056358,99.83618519,919.9005899
1.1150,-139.9291906,99.58059255,920.2124076
1.1200,-140.7651737,99.32091956,920.5333511
1.1250,-141.6115423,99.05760914,920.8632503
1.1300,-142.4681504,98.79175592,921.2018396
1.1350,-143.3362525,98.52422339,921.5493223
1.1400,-144.2146161,98.25422701,921.9056043
1.1450,-145.1041519,97.98263658,922.2705746
1.1500,-146.0040786,97.70915635,922.6441811
1.1550,-146.9149702,97.43429735,923.0262744
1.1600,-147.837909,97.15866415,923.4168686
1.1650,-148.7739361,96.88381632,923.8155896
1.1700,-149.7237535,96.60945786,924.2227722
1.1750,-150.6876368,96.33579969,924.6381577
1.1800,-151.6656227,96.0637999,925.0617122
1.1850,-152.6561055,95.79271565,925.4931681
1.1900,-153.6595553,95.52258839,925.9324932
1.1950,-154.6747164,95.25355591,926.3794037
1.2000,-155.7011768,94.98381313,926.8342541
1.2050,-156.7380767,94.71470194,927.2967441
1.2100,-157.783726,94.44449992,927.767251
1.2150,-158.8388749,94.17261755,928.2459082
1.2200,-159.9022122,93.89941948,928.7326718
1.2250,-160.9734375,93.62498505,929.2276653
1.2300,-162.050765,93.34898101,929.7307097
1.2350,-163.1349491,93.07174326,930.242082
1.2400,-164.2256995,92.79327043,930.7614897
1.2450,-165.3228966,92.51492812,931.2889068
1.2500,-166.4266039,92.23679923,931.8243188
1.2550,-167.5368829,91.96026296,932.3674137
1.2600,-168.6546169,91.68481255,932.9184528
1.2650,-169.7808806,91.41139715,933.4776249
1.2700,-170.9157723,91.14135438,934.0446637
1.2750,-172.0596147,90.87359602,934.6198334
1.2800,-173.2122469,90.60866202,935.2030311
1.2850,-174.3732422,90.34607802,935.7941364
1.2900,-175.5410915,90.08604682,936.3932224
1.2950,-176.7154431,89.82864207,937.0002935
1.3000,-177.8951896,89.57281134,937.6156248
1.3050,-179.0792399,89.3178864,938.2397142
1.3100,-180.2665962,89.06401585,938.8722491
1.3150,-181.4571884,88.81150154,939.5138691
1.3200,-182.6510002,88.5588877,940.1649089
1.3250,-183.8482409,88.30932709,940.8252511
1.3300,-185.0488732,88.06208461,941.4952302
1.3350,-186.2529524,87.81760042,942.1748752
1.3400,-187.4607975,87.57616631,942.8650259
1.3450,-188.6720264,87.33698649,943.5655917
1.3500,-189.8863478,87.10165205,944.2766184
1.3550,-191.1051788,86.86896293,944.9987027
1.3600,-192.3279908,86.63816374,945.7323044
1.3650,-193.5548193,86.40927643,946.4775176
1.3700,-194.7868481,86.18293556,947.2343816
1.3750,-196.0237988,85.95836045,948.0037585
1.3800,-197.2657417,85.73635787,948.7854528
