type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Joints-Elbow RT-Flexion","s",0.0000,200,5324,"deg"

time,value
0.0000,-0.5168018801
0.0050,-0.5299849232
0.0100,-0.543167341
0.0150,-0.5563491351
0.0200,-0.5707914395
0.0250,-0.5864578609
0.0300,-0.6032993932
0.0350,-0.6212587798
0.0400,-0.6402739324
0.0450,-0.6602792067
0.0500,-0.6812055487
0.0550,-0.7029807675
0.0600,-0.7255302077
0.0650,-0.7487776044
0.0700,-0.7726452176
0.0750,-0.7970527047
0.0800,-0.8219149644
0.0850,-0.8471388277
0.0900,-0.8726193914
0.0950,-0.8982378508
0.1000,-0.9238607688
0.1050,-0.9493395337
0.1100,-0.9745106793
0.1150,-0.9991986749
0.1200,-1.023221233
0.1250,-1.04639566
0.1300,-1.068545444
0.1350,-1.089507538
0.1400,-1.109139416
0.1450,-1.127324044
0.1500,-1.143973846
0.1550,-1.179887922
0.1600,-1.213956812
0.1650,-1.246350996
0.1700,-1.277216193
0.1750,-1.306266852
0.1800,-1.333635613
0.1850,-1.359403358
0.1900,-1.384050083
0.1950,-1.407334564
0.2000,-1.429465189
0.2050,-1.450461222
0.2100,-1.470338786
0.2150,-1.489198157
0.2200,-1.507379853
0.2250,-1.52483604
0.2300,-1.541690733
0.2350,-1.558254381
0.2400,-1.574225653
0.2450,-1.589656604
0.2500,-1.604856834
0.2550,-1.619576331
0.2600,-1.633858329
0.2650,-1.647590817
0.2700,-1.660789751
0.2750,-1.673434958
0.2800,-1.685688548
0.2850,-1.697317013
0.2900,-1.708795424
0.2950,-1.719964959
0.3000,-1.73071535
0.3050,-1.741176288
0.3100,-1.751520414
0.3150,-1.761669917
0.3200,-1.771626364
0.3250,-1.78141856
0.3300,-1.791144103
0.3350,-1.800753233
0.3400,-1.810051181
0.3450,-1.81946495
0.3500,-1.82841635
0.3550,-1.837034559
0.3600,-1.845483212
0.3650,-1.85361933
0.3700,-1.861410419
0.3750,-1.868904935
0.3800,-1.876049644
0.3850,-1.882510775
0.3900,-1.888796451
0.3950,-1.89456945
0.4000,-1.899857209
0.4050,-1.904472992
0.4100,-1.908664486
0.4150,-1.912617926
0.4200,-1.916148653
0.4250,-1.91931965
0.4300,-1.9220593
0.4350,-1.924350851
0.4400,-1.926277455
0.4450,-1.928079964
0.4500,-1.929745171
0.4550,-1.931246562
0.4600,-1.932641886
0.4650,-1.933928167
0.4700,-1.935152425
