type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Radial styloid process RT","s",0.0000,200,5324,"mm"

time,x,y,z
0.0000,-128.8531058,165.19998,901.6362343
0.0050,-128.8815258,165.174818,901.6382837
0.0100,-128.9099425,165.1496619,901.6403499
0.0150,-128.9383559,165.1245118,901.6424331
0.0200,-128.9686624,165.0965342,901.64468
0.0250,-129.000608,165.0657343,901.6470756
0.0300,-129.0338924,165.0321422,901.6496004
0.0350,-129.0681758,164.9958007,901.6522306
0.0400,-129.1030976,164.95676,901.6549407
0.0450,-129.1382989,164.9150743,901.6577057
0.0500,-129.1734393,164.8707957,901.660503
0.0550,-129.2082024,164.8239695,901.6633141
0.0600,-129.242297,164.7746354,901.6661233
0.0650,-129.2754588,164.7228383,901.6689177
0.0700,-129.3074576,164.6686391,901.6716867
0.0750,-129.3381002,164.6121223,901.6744218
0.0800,-129.3672279,164.5533998,901.6771169
0.0850,-129.3947108,164.492616,901.6797669
0.0900,-129.4204417,164.4299546,901.6823677
0.0950,-129.4443253,164.3656434,901.6849147
0.1000,-129.4662663,164.2999538,901.6874014
0.1050,-129.4861633,164.2332025,901.6898189
0.1100,-129.5039142,164.1657552,901.6921562
0.1150,-129.5194231,164.0980265,901.6944004
0.1200,-129.5326081,164.0304729,901.6965379
0.1250,-129.5434061,163.9635777,901.6985544
0.1300,-129.5517741,163.8978311,901.7004357
0.1350,-129.5576884,163.8337084,901.7021685
0.1400,-129.5611455,163.7716549,901.7037399
0.1450,-129.562164,163.7120787,901.7051379
0.1500,-129.5607885,163.6553371,901.7063519
0.1550,-129.5376845,163.5296321,901.7067246
0.1600,-129.5100633,163.4069962,901.7067625
0.1650,-129.4783309,163.2866622,901.7065328
0.1700,-129.4419783,163.1694174,901.7058985
0.1750,-129.4025525,163.0557673,901.7050196
0.1800,-129.3588417,162.9461325,901.7036625
0.1850,-129.3105565,162.8397639,901.7018248
0.1900,-129.2584976,162.7359817,901.699588
0.1950,-129.2024229,162.6357076,901.6968762
0.2000,-129.1429339,162.5381942,901.6937694
0.2050,-129.0809908,162.4430601,901.6904199
0.2100,-129.0168472,162.349802,901.6868909
0.2150,-128.9505566,162.2589248,901.6831073
0.2200,-128.8818652,162.1705391,901.6789677
0.2250,-128.8107774,162.0845068,901.6744939
0.2300,-128.7385641,161.9999791,901.6698905
0.2350,-128.6637976,161.9175642,901.6648633
0.2400,-128.5880982,161.8358265,901.6597844
0.2450,-128.5113877,161.7563677,901.6545001
0.2500,-128.4325831,161.6777989,901.6489257
0.2550,-128.3519648,161.6004788,901.6431127
0.2600,-128.269384,161.5242884,901.637044
0.2650,-128.1853766,161.4496897,901.6307593
0.2700,-128.0998102,161.3777001,901.6241496
0.2750,-128.0127366,161.307498,901.6173066
0.2800,-127.9243203,161.2395621,901.6101649
0.2850,-127.8343546,161.1730082,901.6028259
0.2900,-127.7426741,161.1075288,901.5952211
0.2950,-127.6496256,161.0434388,901.5873949
0.3000,-127.5550955,160.9806605,901.5793509
0.3050,-127.4583374,160.9203437,901.5708849
0.3100,-127.361052,160.8614608,901.5622587
0.3150,-127.2623121,160.8044163,901.5533451
0.3200,-127.1632774,160.7484604,901.5443528
0.3250,-127.0647575,160.6947437,901.5352692
0.3300,-126.9660225,160.6416073,901.5261281
0.3350,-126.8672637,160.589659,901.5169053
0.3400,-126.7687592,160.5398703,901.507595
0.3450,-126.6704915,160.491359,901.498199
0.3500,-126.5733016,160.4443182,901.4888954
0.3550,-126.4773605,160.3991953,901.4796358
0.3600,-126.3824668,160.3546491,901.4705011
0.3650,-126.2882796,160.3114125,901.4613964
0.3700,-126.1949188,160.2697234,901.4523302
0.3750,-126.1032855,160.2293321,901.4434163
0.3800,-126.012206,160.1888071,901.434653
0.3850,-125.9222336,160.1497882,901.4260141
0.3900,-125.8341347,160.1114917,901.4175791
0.3950,-125.7465208,160.0743437,901.409195
0.4000,-125.6605349,160.03765,901.4010594
0.4050,-125.5756632,160.0025506,901.3930375
0.4100,-125.4917572,159.9682748,901.3851394
0.4150,-125.4101123,159.9347697,901.3775067
0.4200,-125.3296442,159.9019804,901.3700339
0.4250,-125.2503323,159.8684604,901.3628459
0.4300,-125.1717562,159.8353188,901.3557985
0.4350,-125.0939324,159.8029463,901.3488599
0.4400,-125.0175851,159.7716488,901.342081
0.4450,-124.942158,159.7389883,901.33558
0.4500,-124.8680741,159.7060785,901.3293057
0.4550,-124.7966465,159.6737922,901.3233436
0.4600,-124.7263149,159.6408009,901.3176182
0.4650,-124.6574173,159.607523,901.3121309
0.4700,-124.5901739,159.5751869,901.3067782
0.4750,-124.524401,159.5430872,901.3016016
0.4800,-124.4606314,159.5095545,901.2968037
