type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Segments-Upper arm RT-Acceleration","s",0.0000,200,5728,"mG"

time,x,y,z
0.0000,-24.76897469,27.40277083,2.325243414
0.0050,-27.54905487,11.57995268,-0.08019593311
0.0100,-21.33440987,20.50905941,2.78071006
0.0150,-13.02048222,11.74457102,3.890383837
0.0200,-16.20931894,13.58257785,0.9188231202
0.0250,-12.74503415,23.81921302,1.21103336
0.0300,-11.8129488,9.717597371,-4.615272806
0.0350,-7.929872787,8.884601982,-1.812411516
0.0400,-9.275942197,11.59144866,-9.285459104
0.0450,-1.363034565,11.24851504,-1.373936117
0.0500,-5.407612466,13.35954128,-12.23240376
0.0550,2.641373412,19.94126021,-4.525787246
0.0600,7.05550407,8.362697236,-9.321278057
0.0650,3.552687048,5.319665496,-4.740343369
0.0700,4.062361408,12.22365429,-5.524627869
0.0750,2.215751198,14.50175626,-5.853098617
0.0800,6.751394212,12.72240358,1.906357642
0.0850,5.5049435,7.048338367,0.2129477007
0.0900,8.978285654,18.06716646,1.413155496
0.0950,6.861950657,2.786668767,-0.6471660346
0.1000,4.095902228,24.88180802,1.273884325
0.1050,6.817624395,14.85016345,1.188893492
0.1100,2.307379606,25.13318556,0.1272149332
0.1150,7.727712841,30.63008591,3.999748344
0.1200,16.30897512,16.81854723,1.529236262
0.1250,15.54301136,21.7217876,-4.285255358
0.1300,10.94237769,17.63496749,-4.89977586
0.1350,9.344411486,17.19096807,-1.009947847
0.1400,5.549890655,14.60235838,-1.934675672
0.1450,8.238569863,16.40158568,4.339339652
0.1500,5.133464958,16.56378432,-1.013348354
0.1550,-1.298925264,4.88760252,-0.4862862586
0.1600,0.8190964695,12.06044842,-1.116290166
0.1650,2.458540249,15.3039041,-1.266649633
0.1700,2.75698587,3.193831847,-4.631236308
0.1750,0.04525421432,17.90549751,-2.474356953
0.1800,-2.922655157,8.104637462,-3.364899286
0.1850,0.1230922235,14.84218508,0.3480271428
0.1900,0.7448926248,7.740647068,-3.563511589
0.1950,-8.540905615,18.47779975,-3.160346912
0.2000,-7.090221457,8.413949835,-2.448431351
0.2050,-6.496715507,6.099022092,-3.336398535
0.2100,-6.013348959,10.59948977,2.678515197
0.2150,-8.092044094,20.01976708,-2.283640017
0.2200,-17.12517324,9.220603597,-3.79132717
0.2250,-18.5406672,3.694448015,-2.408432445
0.2300,-14.33198971,9.491769412,0.6818336082
0.2350,-18.66953585,11.9854744,2.385816076
0.2400,-27.5326384,12.76751094,-5.802320976
0.2450,-18.12576612,12.59972048,1.772874344
0.2500,-33.76541882,3.580085551,-5.995088457
0.2550,-18.8910535,14.21540012,2.8345461
0.2600,-17.34208977,16.62316749,-0.7186658259
0.2650,-14.54090643,17.82600045,3.098260694
0.2700,-8.758347185,6.122585017,2.045807624
0.2750,-8.574795842,9.397773755,3.741319426
0.2800,-14.15572954,5.7107753,-3.205222234
0.2850,-20.20154085,12.48459204,-0.06037539876
0.2900,-18.91325158,-0.668890126,-6.507617301
0.2950,-20.67718255,2.87523764,-0.9869357457
0.3000,-18.21952513,5.626699223,-2.273771657
0.3050,-16.10205244,-3.278453662,-0.3021892587
0.3100,-25.03942906,13.17513316,-8.581237634
0.3150,-18.77528328,4.027191678,-3.962926197
0.3200,-24.00748897,14.39997353,-8.386992092
0.3250,-14.43792348,7.86498926,-1.695612485
0.3300,-17.31132541,17.89953029,-0.5617269556
0.3350,-28.56452793,23.02461558,-5.187113179
0.3400,-4.004536093,6.063601156,6.369869814
0.3450,-16.24405533,5.344583286,-1.93312534
0.3500,-8.917937978,12.08888386,2.362972364
0.3550,-13.2538963,18.08792772,3.723358333
0.3600,-19.4835226,6.696426038,-5.805448651
0.3650,-5.162918445,11.689133,1.680405361
0.3700,-23.66998739,17.58722892,-10.47425696
0.3750,-12.10604731,9.047154932,-2.043428873
0.3800,-25.32263739,11.40665179,-5.947546126
0.3850,-22.8373559,13.84805378,-4.251200646
0.3900,-19.45841282,5.662859053,-3.10815705
0.3950,-13.63559959,12.40128791,3.985343777
0.4000,-20.64495032,10.47440359,-1.811576617
0.4050,-21.52603078,9.978646008,-1.562762153
0.4100,-17.18909768,27.35634309,-1.766353348
0.4150,-20.92298487,2.587486237,-1.406135579
0.4200,-22.33083161,7.241996422,-3.0691675
0.4250,-19.42457835,23.68308634,-5.871019455
0.4300,-4.965647763,4.31661299,-2.442550449
