type,name,time_units,begin_time,frequency,count,units
signal,"Noraxon MyoMotion-Segments-Upper arm RT-Roll","s",0.0000,200,5728,"deg"

time,value
0.0000,-2.366499185
0.0050,-2.369449326
0.0100,-2.372399656
0.0150,-2.375350174
0.0200,-2.378493262
0.0250,-2.381795904
0.0300,-2.385219582
0.0350,-2.388722331
0.0400,-2.39226057
0.0450,-2.395791215
0.0500,-2.399273795
0.0550,-2.402672105
0.0600,-2.40595552
0.0650,-2.409099955
0.0700,-2.412088597
0.0750,-2.414912303
0.0800,-2.41756916
0.0850,-2.420063431
0.0900,-2.422404171
0.0950,-2.424603403
0.1000,-2.426674222
0.1050,-2.428629205
0.1100,-2.430478957
0.1150,-2.432231039
0.1200,-2.433889833
0.1250,-2.435456857
0.1300,-2.436930997
0.1350,-2.438309049
0.1400,-2.439586595
0.1450,-2.44075896
0.1500,-2.441822451
0.1550,-2.446380958
0.1600,-2.450919716
0.1650,-2.455294564
0.1700,-2.459592352
0.1750,-2.463680521
0.1800,-2.467756651
0.1850,-2.471855339
0.1900,-2.475761226
0.1950,-2.479690392
0.2000,-2.483683875
0.2050,-2.487713065
0.2100,-2.49183578
0.2150,-2.496018015
0.2200,-2.500280895
0.2250,-2.504714618
0.2300,-2.509191771
0.2350,-2.513700657
0.2400,-2.518196134
0.2450,-2.522744232
0.2500,-2.527300399
0.2550,-2.531998921
0.2600,-2.536641986
0.2650,-2.541306314
0.2700,-2.545914114
0.2750,-2.550635742
0.2800,-2.555291545
0.2850,-2.559952337
0.2900,-2.564547208
0.2950,-2.569008129
0.3000,-2.573412024
0.3050,-2.577766087
0.3100,-2.582072427
0.3150,-2.586257129
0.3200,-2.590419959
0.3250,-2.59449882
0.3300,-2.598498954
0.3350,-2.602505459
0.3400,-2.606439809
0.3450,-2.610205056
0.3500,-2.613929191
0.3550,-2.617651963
0.3600,-2.62133284
0.3650,-2.624739155
0.3700,-2.627937775
0.3750,-2.631031403
0.3800,-2.633946957
0.3850,-2.636618333
0.3900,-2.639249767
0.3950,-2.641766224
0.4000,-2.644130446
0.4050,-2.646393616
0.4100,-2.648742583
0.4150,-2.650989875
0.4200,-2.653139907
0.4250,-2.655173369
0.4300,-2.65704278
0.4350,-2.658936134
0.4400,-2.660691564
0.4450,-2.662351391
0.4500,-2.664200265
0.4550,-2.666011328
0.4600,-2.667903752
0.4650,-2.669728305
0.4700,-2.671665527
0.4750,-2.673587989
0.4800,-2.675564334
0.4850,-2.67743058
0.4900,-2.679551905
0.4950,-2.681699107
0.5000,-2.683899217
0.5050,-2.686212063
0.5100,-2.688571383
0.5150,-2.691068099
0.5200,-2.69362706
0.5250,-2.696237506
0.5300,-2.698882325
0.5350,-2.701580424
0.5400,-2.704457091
0.5450,-2.707381726
0.5500,-2.710269746
0.5550,-2.713003215
0.5600,-2.715691648
0.5650,-2.718325807
0.5700,-2.720676482
0.5750,-2.722783451
0.5800,-2.724641614
0.5850,-2.72604052
0.5900,-2.727117765
0.5950,-2.727873581
0.6000,-2.728152133
0.6050,-2.7279355
0.6100,-2.72725721
0.6150,-2.726106425
0.6200,-2.724394098
0.6250,-2.722181605
0.6300,-2.719423114
0.6350,-2.716098778
0.6400,-2.712347287
0.6450,-2.70815048
0.6500,-2.703445275
0.6550,-2.698231881
0.6600,-2.692720535
0.6650,-2.686800774
0.6700,-2.680623721
0.6750,-2.674130348
0.6800,-2.667313943
0.6850,-2.66028733
0.6900,-2.652848519
0.6950,-2.645196091
0.7000,-2.637273595
0.7050,-2.629168378
0.7100,-2.620664523
0.7150,-2.611936242
0.7200,-2.603022309
0.7250,-2.593942894
0.7300,-2.584717132
0.7350,-2.575266609
0.7400,-2.565705859
0.7450,-2.556047566
0.7500,-2.546286735
0.7550,-2.536450561
0.7600,-2.526650776
0.7650,-2.517158974
0.7700,-2.507750648
0.7750,-2.498553815
0.7800,-2.489659444
0.7850,-2.481252404
0.7900,-2.473265665
0.7950,-2.465666406
0.8000,-2.458604884
0.8050,-2.452081174
0.8100,-2.445987034
0.8150,-2.440474368
0.8200,-2.435434042
0.8250,-2.430853647
0.8300,-2.426813393
0.8350,-2.423097393
0.8400,-2.41978048
0.8450,-2.41659673
0.8500,-2.413605341
0.8550,-2.410624904
0.8600,-2.407809889
0.8650,-2.404912992
0.8700,-2.401953549
0.8750,-2.398990341
0.8800,-2.395830958
0.8850,-2.392822523
0.8900,-2.389773208
0.8950,-2.38670137
0.9000,-2.383796001
0.9050,-2.381046049
0.9100,-2.378397298
0.9150,-2.375936979
0.9200,-2.373762345
0.9250,-2.371715296
0.9300,-2.36993243
0.9350,-2.36833986
0.9400,-2.36691598
0.9450,-2.365699559
0.9500,-2.364777697
0.9550,-2.363905006
0.9600,-2.362901056
0.9650,-2.362036676
0.9700,-2.360885552
0.9750,-2.359585087
0.9800,-2.358141046
0.9850,-2.356392903
0.9900,-2.354431119
0.9950,-2.352179802
1.0000,-2.349852182
1.0050,-2.347331802
1.0100,-2.344806748
