type,name,time_units,begin_time,frequency,count,units
signal_3d,"Noraxon MyoMotion-Trajectories-Elbow RT","s",0.0000,200,5728,"mm"

time,x,y,z
0.0000,-79.41030159,198.5829698,1139.975425
0.0050,-79.42360521,198.5742477,1139.977679
0.0100,-79.43690653,198.5655222,1139.979933
0.0150,-79.45020554,198.5567934,1139.982188
0.0200,-79.46443641,198.547129,1139.984616
0.0250,-79.47945895,198.5365241,1139.987198
0.0300,-79.49510654,198.5249805,1139.989912
0.0350,-79.51119493,198.5125105,1139.992735
0.0400,-79.52752977,198.4991394,1139.995637
0.0450,-79.54391633,198.4849093,1139.998593
0.0500,-79.5601698,198.4698809,1140.001573
0.0550,-79.57612386,198.4541356,1140.004551
0.0600,-79.59163764,198.4377765,1140.007502
0.0650,-79.60660097,198.4209268,1140.010404
0.0700,-79.62093898,198.4037251,1140.013239
0.0750,-79.63461493,198.3863202,1140.015991
0.0800,-79.64762836,198.3688674,1140.018651
0.0850,-79.66000977,198.351524,1140.021211
0.0900,-79.67181372,198.3344444,1140.023669
0.0950,-79.68310924,198.3177758,1140.026022
0.1000,-79.69396966,198.3016539,1140.028273
0.1050,-79.70446393,198.2862004,1140.03042
0.1100,-79.71464896,198.2715211,1140.032465
0.1150,-79.72456448,198.257702,1140.034407
0.1200,-79.7342333,198.2448047,1140.036245
0.1250,-79.74366367,198.2328633,1140.037978
0.1300,-79.75284979,198.2218865,1140.039606
0.1350,-79.76177413,198.2118605,1140.041127
0.1400,-79.7704122,198.2027503,1140.042542
0.1450,-79.7787373,198.1945023,1140.043852
0.1500,-79.78672624,198.1870482,1140.04506
0.1550,-79.81547288,198.1644118,1140.049493
0.1600,-79.84451134,198.1423736,1140.053907
0.1650,-79.87289207,198.1212411,1140.058165
0.1700,-79.90125068,198.1002463,1140.062405
0.1750,-79.92874157,198.0796829,1140.066512
0.1800,-79.95666964,198.0587846,1140.070686
0.1850,-79.98489092,198.0384858,1140.074855
0.1900,-80.01236912,198.017914,1140.078955
0.1950,-80.04019902,197.9973198,1140.083095
0.2000,-80.06851753,197.9766817,1140.087289
0.2050,-80.09705672,197.9563784,1140.091502
0.2100,-80.12609941,197.9361091,1140.095784
0.2150,-80.15545526,197.9162068,1140.100088
0.2200,-80.18499541,197.8973906,1140.104364
0.2250,-80.21531193,197.8789521,1140.108712
0.2300,-80.24569453,197.8609254,1140.113061
0.2350,-80.27605868,197.8433077,1140.11739
0.2400,-80.30598438,197.8264431,1140.121644
0.2450,-80.33604522,197.8096234,1140.125924
0.2500,-80.36583486,197.7931988,1140.130163
0.2550,-80.39597598,197.7777702,1140.134398
0.2600,-80.42570178,197.7620816,1140.138619
0.2650,-80.455061,197.7473896,1140.142749
0.2700,-80.48373884,197.7333462,1140.146775
0.2750,-80.51289322,197.7192289,1140.15087
0.2800,-80.54136679,197.7056783,1140.154867
